NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"21 Nov 2001 ","14:24:20",
CHAN,MEAS,FORMAT
1,S11,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1E1,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-4.893,
114750000,-2.432,
179500000,-1.070,
244250000,-.634,
309000000,-8.897,
373750000,-1.603,
438500000,-2.323,
503250000,-4.861,
568000000,-13.735,
632750000,-7.670,
697500000,-7.027,
762250000,-7.557,
827000000,-11.156,
891750000,-21.714,
956500000,-8.667,
1021250000,-8.058,
1086000000,-10.19,
1150750000,-14.644,
1215500000,-24.587,
1280250000,-18.075,
1345000000,-13.811,
1409750000,-14.35,
1474500000,-28.839,
1539250000,-17.927,
1604000000,-14.158,
1668750000,-19.101,
1733500000,-22.367,
1798250000,-14.73,
1863000000,-20.381,
1927750000,-18.98,
1992500000,-12.483,
2057250000,-11.599,
2122000000,-19.45,
2186750000,-18.681,
2251500000,-14.357,
2316250000,-19.783,
2381000000,-21.467,
2445750000,-15.017,
2510500000,-17.645,
2575250000,-24.443,
2640000000,-17.154,
2704750000,-18.343,
2769500000,-26.496,
2834250000,-19.799,
2899000000,-19.16,
2963750000,-21.409,
3028500000,-17.356,
3093250000,-18.649,
3158000000,-20.14,
3222750000,-15.637,
3287500000,-14.143,
3352250000,-17.84,
3417000000,-19.667,
3481750000,-13.56,
3546500000,-15.088,
3611250000,-20.129,
3676000000,-17.755,
3740750000,-16.218,
3805500000,-18.268,
3870250000,-24.491,
3935000000,-24.151,
3999750000,-28.236,
4064500000,-17.987,
4129250000,-17.84,
4194000000,-22.405,
4258750000,-18.819,
4323500000,-12.544,
4388250000,-16.701,
4453000000,-20.93,
4517750000,-16.421,
4582500000,-15.272,
4647250000,-16.972,
4712000000,-15.727,
4776750000,-13.458,
4841500000,-17.108,
4906250000,-24.509,
4971000000,-23.277,
5035750000,-21.895,
5100500000,-25.345,
5165250000,-20.346,
5230000000,-21.233,
5294750000,-24.888,
5359500000,-17.864,
5424250000,-17.846,
5489000000,-22.288,
5553750000,-16.186,
5618500000,-16.427,
5683250000,-19.827,
5748000000,-19.298,
5812750000,-16.695,
5877500000,-18.421,
5942250000,-24.06,
6007000000,-19.105,
6071750000,-16.968,
6136500000,-24.619,
6201250000,-26.288,
6266000000,-21.856,
6330750000,-25.017,
6395500000,-20.009,
6460250000,-18.727,
6525000000,-22.959,
6589750000,-22.421,
6654500000,-17.609,
6719250000,-19.688,
6784000000,-22.631,
6848750000,-18.589,
6913500000,-15.18,
6978250000,-20.623,
7043000000,-21.233,
7107750000,-16.35,
7172500000,-18.507,
7237250000,-23.202,
7302000000,-21.503,
7366750000,-20.433,
7431500000,-25.923,
7496250000,-20.197,
7561000000,-18.369,
7625750000,-22.383,
7690500000,-18.12,
7755250000,-16.586,
7820000000,-20.8,
7884750000,-22.66,
7949500000,-15.789,
8014250000,-17.144,
8079000000,-23.15,
8143750000,-19.719,
8208500000,-15.265,
8273250000,-18.575,
8338000000,-20.499,
8402750000,-15.885,
8467500000,-21.164,
8532250000,-22.429,
8597000000,-16.72,
8661750000,-15.53,
8726500000,-20.23,
8791250000,-17.091,
8856000000,-18.376,
8920750000,-23.541,
8985500000,-17.306,
9050250000,-17.116,
9115000000,-22.7,
9179750000,-21.883,
9244500000,-19.438,
9309250000,-22.678,
9374000000,-20.684,
9438750000,-15.293,
9503500000,-18.02,
9568250000,-18.666,
9633000000,-13.48,
9697750000,-13.724,
9762500000,-18.326,
9827250000,-18.792,
9892000000,-19.908,
9956750000,-20.498,
10021500000,-13.824,
10086250000,-14.357,
10151000000,-19.588,
10215750000,-13.828,
10280500000,-10.432,
10345250000,-13.093,
10410000000,-20.861,
10474750000,-24.078,
10539500000,-22.203,
10604250000,-10.683,
10669000000,-9.102,
10733750000,-10.206,
10798500000,-10.548,
10863250000,-8.002,
10928000000,-8.160,
10992750000,-9.943,
11057500000,-10.684,
11122250000,-14.577,
11187000000,-13.651,
11251750000,-9.885,
11316500000,-7.972,
11381250000,-8.262,
11446000000,-9.662,
11510750000,-8.916,
11575500000,-7.298,
11640250000,-5.680,
11705000000,-7.450,
11769750000,-16.849,
11834500000,-16.35,
11899250000,-7.467,
11964000000,-4.674,
12028750000,-6.501,
12093500000,-8.444,
12158250000,-10.842,
12223000000,-12.052,
12287750000,-12.57,
12352500000,-16.42,
12417250000,-16.665,
12482000000,-9.949,
12546750000,-8.031,
12611500000,-8.690,
12676250000,-8.224,
12741000000,-7.742,
12805750000,-12.573,
12870500000,-19.562,
12935250000,-12.993,
13000000000,-7.610,

