NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"22 Nov 2001 ","14:48:30",
CHAN,MEAS,FORMAT
1,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1E1,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-.511,
114750000,-2.140,
179500000,-4.597,
244250000,-6.244,
309000000,-4.638,
373750000,-6.578,
438500000,-4.817,
503250000,-2.534,
568000000,-1.411,
632750000,-1.200,
697500000,-1.430,
762250000,-1.488,
827000000,-.902,
891750000,-.747,
956500000,-1.487,
1021250000,-1.691,
1086000000,-.907,
1150750000,-.707,
1215500000,-.863,
1280250000,-.942,
1345000000,-1.163,
1409750000,-.940,
1474500000,-.886,
1539250000,-1.145,
1604000000,-1.424,
1668750000,-1.033,
1733500000,-1.111,
1798250000,-1.229,
1863000000,-1.216,
1927750000,-1.828,
1992500000,-1.691,
2057250000,-1.395,
2122000000,-1.286,
2186750000,-1.904,
2251500000,-1.257,
2316250000,-1.138,
2381000000,-1.102,
2445750000,-1.275,
2510500000,-1.320,
2575250000,-1.290,
2640000000,-1.346,
2704750000,-1.366,
2769500000,-1.469,
2834250000,-1.402,
2899000000,-1.374,
2963750000,-1.422,
3028500000,-1.628,
3093250000,-1.575,
3158000000,-1.474,
3222750000,-1.609,
3287500000,-2.067,
3352250000,-1.702,
3417000000,-1.520,
3481750000,-1.767,
3546500000,-2.019,
3611250000,-1.695,
3676000000,-1.792,
3740750000,-1.905,
3805500000,-1.932,
3870250000,-1.876,
3935000000,-1.578,
3999750000,-1.594,
4064500000,-1.812,
4129250000,-2.194,
4194000000,-1.727,
4258750000,-1.770,
4323500000,-2.041,
4388250000,-1.930,
4453000000,-1.810,
4517750000,-2.2,
4582500000,-1.991,
4647250000,-1.921,
4712000000,-1.842,
4776750000,-2.038,
4841500000,-1.893,
4906250000,-1.807,
4971000000,-1.843,
5035750000,-1.711,
5100500000,-1.773,
5165250000,-1.862,
5230000000,-1.856,
5294750000,-1.816,
5359500000,-1.92,
5424250000,-1.964,
5489000000,-1.832,
5553750000,-2.116,
5618500000,-2.135,
5683250000,-1.96,
5748000000,-1.952,
5812750000,-2.182,
5877500000,-2.091,
5942250000,-1.871,
6007000000,-1.983,
6071750000,-1.983,
6136500000,-1.862,
6201250000,-1.939,
6266000000,-1.950,
6330750000,-1.872,
6395500000,-2.030,
6460250000,-2.051,
6525000000,-1.930,
6589750000,-2.145,
6654500000,-2.226,
6719250000,-2.006,
6784000000,-1.992,
6848750000,-2.138,
6913500000,-2.061,
6978250000,-1.887,
7043000000,-2.082,
7107750000,-2.121,
7172500000,-2.046,
7237250000,-1.996,
7302000000,-2.041,
7366750000,-2.078,
7431500000,-2.029,
7496250000,-2.151,
7561000000,-2.240,
7625750000,-2.093,
7690500000,-2.217,
7755250000,-2.294,
7820000000,-2.169,
7884750000,-2.266,
7949500000,-2.504,
8014250000,-2.337,
8079000000,-2.199,
8143750000,-2.655,
8208500000,-2.609,
8273250000,-2.446,
8338000000,-2.392,
8402750000,-2.592,
8467500000,-2.389,
8532250000,-2.618,
8597000000,-2.927,
8661750000,-2.690,
8726500000,-2.574,
8791250000,-2.655,
8856000000,-2.512,
8920750000,-2.769,
8985500000,-2.830,
9050250000,-2.793,
9115000000,-2.828,
9179750000,-2.894,
9244500000,-2.919,
9309250000,-2.840,
9374000000,-3.016,
9438750000,-2.961,
9503500000,-2.970,
9568250000,-3.07,
9633000000,-3.169,
9697750000,-3.210,
9762500000,-2.958,
9827250000,-2.837,
9892000000,-3.033,
9956750000,-2.839,
10021500000,-3.322,
10086250000,-3.386,
10151000000,-2.859,
10215750000,-3.013,
10280500000,-3.295,
10345250000,-2.845,
10410000000,-2.645,
10474750000,-2.895,
10539500000,-3.603,
10604250000,-5.050,
10669000000,-5.251,
10733750000,-4.026,
10798500000,-3.001,
10863250000,-5.255,
10928000000,-5.244,
10992750000,-5.167,
11057500000,-4.376,
11122250000,-5.108,
11187000000,-6.064,
11251750000,-6.398,
11316500000,-5.093,
11381250000,-3.660,
11446000000,-4.447,
11510750000,-6.920,
11575500000,-6.300,
11640250000,-6.257,
11705000000,-5.507,
11769750000,-5.815,
11834500000,-6.716,
11899250000,-7.269,
11964000000,-7.229,
12028750000,-5.747,
12093500000,-4.007,
12158250000,-2.784,
12223000000,-2.340,
12287750000,-2.250,
12352500000,-2.233,
12417250000,-2.471,
12482000000,-3.091,
12546750000,-4.608,
12611500000,-5.423,
12676250000,-4.960,
12741000000,-3.302,
12805750000,-2.336,
12870500000,-2.397,
12935250000,-3.127,
13000000000,-4.050,

