NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"22 Nov 2001 ","14:42:30",
CHAN,MEAS,FORMAT
1,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1E1,3000
FREQUENCY,UNITS,
Hz,dB,
50000000, 1.169,
114750000, 1.594,
179500000, 2.218,
244250000, 3.338,
309000000, .102,
373750000,-.768,
438500000,-.061,
503250000,-.167,
568000000,-.264,
632750000, .694,
697500000, .216,
762250000, .266,
827000000, .233,
891750000, .542,
956500000, .126,
1021250000, .176,
1086000000, .123,
1150750000, .016,
1215500000,-.051,
1280250000,-.070,
1345000000, .069,
1409750000,-.075,
1474500000,-.068,
1539250000,-.173,
1604000000, .065,
1668750000,-.147,
1733500000,-.175,
1798250000,-.140,
1863000000, .146,
1927750000,-.577,
1992500000,-.165,
2057250000, .037,
2122000000, .068,
2186750000,-.231,
2251500000, .000,
2316250000, .117,
2381000000, .099,
2445750000, .352,
2510500000,-.175,
2575250000, .126,
2640000000, .162,
2704750000, .208,
2769500000, .158,
2834250000, .135,
2899000000, .134,
2963750000, .153,
3028500000, .192,
3093250000, .264,
3158000000, .160,
3222750000, .095,
3287500000, .202,
3352250000, .059,
3417000000, .091,
3481750000, .136,
3546500000, .150,
3611250000,-.323,
3676000000, .037,
3740750000, .196,
3805500000, .099,
3870250000,-.443,
3935000000,-.012,
3999750000, .015,
4064500000, .015,
4129250000,-.214,
4194000000,-.095,
4258750000, .018,
4323500000, .172,
4388250000, .073,
4453000000,-.001,
4517750000, .102,
4582500000, .280,
4647250000, .168,
4712000000, .049,
4776750000, .300,
4841500000, .245,
4906250000, .097,
4971000000, .113,
5035750000, .154,
5100500000, .093,
5165250000, .129,
5230000000, .075,
5294750000,-.091,
5359500000,-.074,
5424250000,-.053,
5489000000,-.039,
5553750000, .076,
5618500000, .305,
5683250000, .173,
5748000000, .234,
5812750000, .518,
5877500000, .322,
5942250000, .254,
6007000000, .369,
6071750000, .445,
6136500000, .286,
6201250000, .357,
6266000000, .480,
6330750000, .299,
6395500000, .467,
6460250000, .515,
6525000000, .342,
6589750000, .432,
6654500000, .478,
6719250000, .446,
6784000000, .447,
6848750000, .512,
6913500000, .442,
6978250000, .437,
7043000000, .591,
7107750000, .509,
7172500000, .387,
7237250000, .560,
7302000000, .471,
7366750000, .426,
7431500000, .486,
7496250000, .399,
7561000000, .293,
7625750000, .314,
7690500000, .297,
7755250000, .074,
7820000000, .164,
7884750000, .196,
7949500000, .018,
8014250000, .115,
8079000000, .142,
8143750000, .197,
8208500000, .049,
8273250000, .165,
8338000000, .274,
8402750000, .173,
8467500000, .282,
8532250000, .310,
8597000000, .371,
8661750000, .230,
8726500000, .214,
8791250000, .322,
8856000000, .256,
8920750000, .169,
8985500000, .129,
9050250000, .041,
9115000000, .065,
9179750000,-.055,
9244500000, .009,
9309250000,-.086,
9374000000,-.261,
9438750000,-.023,
9503500000,-.261,
9568250000,-.347,
9633000000,-.191,
9697750000,-.353,
9762500000,-.556,
9827250000,-.417,
9892000000,-.566,
9956750000,-.782,
10021500000,-.616,
10086250000,-.704,
10151000000,-.985,
10215750000,-.777,
10280500000,-.854,
10345250000,-1.113,
10410000000,-.991,
10474750000,-.805,
10539500000,-1.087,
10604250000,-1.047,
10669000000,-.995,
10733750000,-1.658,
10798500000,-1.019,
10863250000,-1.214,
10928000000,-1.682,
10992750000,-.846,
11057500000,-.435,
11122250000,-.367,
11187000000,-.807,
11251750000,-1.538,
11316500000,-1.44,
11381250000,-1.273,
11446000000,-.924,
11510750000,-1.223,
11575500000,-.844,
11640250000, .244,
11705000000, .321,
11769750000,-.377,
11834500000,-1.060,
11899250000,-1.808,
11964000000,-.998,
12028750000,-.656,
12093500000, .343,
12158250000,-.321,
12223000000,-.672,
12287750000,-.497,
12352500000,-.641,
12417250000,-.885,
12482000000,-.670,
12546750000,-1.028,
12611500000,-.088,
12676250000, .042,
12741000000,-.063,
12805750000,-.672,
12870500000,-1.013,
12935250000,-1.274,
13000000000,-1.095,

