NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"22 Nov 2001 ","14:36:24",
CHAN,MEAS,FORMAT
1,S21,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1E1,3000
FREQUENCY,UNITS,
Hz,deg,
50000000,-1.7166E+2,
114750000,-1.799E+2,
179500000, 1.7705E+2,
244250000, 1.7585E+2,
309000000,-5.9847E+1,
373750000,-1.7737E+2,
438500000,-1.7934E+2,
503250000, 1.7882E+2,
568000000, 1.6986E+2,
632750000,-1.7792E+2,
697500000, 1.7742E+2,
762250000, 1.7745E+2,
827000000, 1.7672E+2,
891750000, 1.7897E+2,
956500000, 1.7713E+2,
1021250000, 1.7711E+2,
1086000000, 1.7739E+2,
1150750000, 1.784E+2,
1215500000, 1.7807E+2,
1280250000, 1.7807E+2,
1345000000, 1.7815E+2,
1409750000, 1.7881E+2,
1474500000, 1.7986E+2,
1539250000, 1.7911E+2,
1604000000, 1.7939E+2,
1668750000, 1.7949E+2,
1733500000,-1.7988E+2,
1798250000,-1.7991E+2,
1863000000,-1.7948E+2,
1927750000, 1.7969E+2,
1992500000, 1.7876E+2,
2057250000, 1.7921E+2,
2122000000,-1.7994E+2,
2186750000,-1.7864E+2,
2251500000, 1.7739E+2,
2316250000, 1.7832E+2,
2381000000, 1.7822E+2,
2445750000, 1.7982E+2,
2510500000, 1.7619E+2,
2575250000, 1.7704E+2,
2640000000, 1.7628E+2,
2704750000, 1.7642E+2,
2769500000, 1.7656E+2,
2834250000, 1.7557E+2,
2899000000, 1.7524E+2,
2963750000, 1.7472E+2,
3028500000, 1.7396E+2,
3093250000, 1.7455E+2,
3158000000, 1.745E+2,
3222750000, 1.7398E+2,
3287500000, 1.7399E+2,
3352250000, 1.7346E+2,
3417000000, 1.7366E+2,
3481750000, 1.7328E+2,
3546500000, 1.7487E+2,
3611250000, 1.7214E+2,
3676000000, 1.7246E+2,
3740750000, 1.7346E+2,
3805500000, 1.7499E+2,
3870250000, 1.7191E+2,
3935000000, 1.7262E+2,
3999750000, 1.7326E+2,
4064500000, 1.7399E+2,
4129250000, 1.7203E+2,
4194000000, 1.7253E+2,
4258750000, 1.7248E+2,
4323500000, 1.7278E+2,
4388250000, 1.7362E+2,
4453000000, 1.7283E+2,
4517750000, 1.7224E+2,
4582500000, 1.729E+2,
4647250000, 1.7475E+2,
4712000000, 1.7249E+2,
4776750000, 1.7229E+2,
4841500000, 1.7409E+2,
4906250000, 1.7379E+2,
4971000000, 1.7268E+2,
5035750000, 1.7285E+2,
5100500000, 1.7258E+2,
5165250000, 1.7186E+2,
5230000000, 1.7218E+2,
5294750000, 1.7254E+2,
5359500000, 1.72E+2,
5424250000, 1.7235E+2,
5489000000, 1.7195E+2,
5553750000, 1.7085E+2,
5618500000, 1.7162E+2,
5683250000, 1.7241E+2,
5748000000, 1.7119E+2,
5812750000, 1.7139E+2,
5877500000, 1.724E+2,
5942250000, 1.7136E+2,
6007000000, 1.7058E+2,
6071750000, 1.712E+2,
