NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"22 Nov 2001 ","14:40:40",
CHAN,MEAS,FORMAT
1,S21,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1E1,3000
FREQUENCY,UNITS,
Hz,deg,
50000000, 1.7204E+2,
114750000,-1.7998E+2,
179500000,-1.7699E+2,
244250000,-1.7561E+2,
309000000, 6.1604E+1,
373750000, 1.776E+2,
438500000, 1.7947E+2,
503250000,-1.7839E+2,
568000000,-1.6943E+2,
632750000, 1.7831E+2,
697500000,-1.7702E+2,
762250000,-1.7717E+2,
827000000,-1.7627E+2,
891750000,-1.7871E+2,
956500000,-1.7677E+2,
1021250000,-1.768E+2,
1086000000,-1.7693E+2,
1150750000,-1.7761E+2,
1215500000,-1.7755E+2,
1280250000,-1.7748E+2,
1345000000,-1.7756E+2,
1409750000,-1.7816E+2,
1474500000,-1.7952E+2,
1539250000,-1.7873E+2,
1604000000,-1.7903E+2,
1668750000,-1.788E+2,
1733500000,-1.7959E+2,
1798250000,-1.7937E+2,
1863000000, 1.798E+2,
1927750000,-1.7883E+2,
1992500000,-1.78E+2,
2057250000,-1.7878E+2,
2122000000,-1.7952E+2,
2186750000, 1.7968E+2,
2251500000,-1.7686E+2,
2316250000,-1.7755E+2,
2381000000,-1.7741E+2,
2445750000,-1.7916E+2,
2510500000,-1.7546E+2,
2575250000,-1.7615E+2,
2640000000,-1.7556E+2,
2704750000,-1.7574E+2,
2769500000,-1.7587E+2,
2834250000,-1.7474E+2,
2899000000,-1.743E+2,
2963750000,-1.7394E+2,
3028500000,-1.7319E+2,
3093250000,-1.7373E+2,
3158000000,-1.7368E+2,
3222750000,-1.7309E+2,
3287500000,-1.7299E+2,
3352250000,-1.7274E+2,
3417000000,-1.7286E+2,
3481750000,-1.7238E+2,
3546500000,-1.7387E+2,
3611250000,-1.7125E+2,
3676000000,-1.7148E+2,
3740750000,-1.7254E+2,
3805500000,-1.7393E+2,
3870250000,-1.7101E+2,
3935000000,-1.7153E+2,
3999750000,-1.7223E+2,
4064500000,-1.7273E+2,
4129250000,-1.7121E+2,
4194000000,-1.7197E+2,
4258750000,-1.7146E+2,
4323500000,-1.7182E+2,
4388250000,-1.7273E+2,
4453000000,-1.7196E+2,
4517750000,-1.7155E+2,
4582500000,-1.7239E+2,
4647250000,-1.7396E+2,
4712000000,-1.7176E+2,
4776750000,-1.7169E+2,
4841500000,-1.7346E+2,
4906250000,-1.7325E+2,
4971000000,-1.7225E+2,
5035750000,-1.7244E+2,
5100500000,-1.7241E+2,
5165250000,-1.7152E+2,
5230000000,-1.7179E+2,
5294750000,-1.716E+2,
5359500000,-1.7079E+2,
5424250000,-1.7054E+2,
5489000000,-1.6957E+2,
5553750000,-1.6888E+2,
5618500000,-1.6882E+2,
5683250000,-1.6955E+2,
5748000000,-1.6825E+2,
5812750000,-1.6866E+2,
5877500000,-1.6918E+2,
5942250000,-1.6876E+2,
6007000000,-1.6814E+2,
6071750000,-1.6853E+2,
