
Terminating impedances in Ohms.
 No. 1 port: Zc = (200.000,   0.000)
 No. 2 port: Zc = (100.000,   0.000)

dB(Sij) in dB and Ang(Sij) in degree.

                                       

Freq[GHz]    dB[S(1,1)]   dB[S(2,1)]   

0.2          -10.24       -0.6758      
0.22         -10.27       -0.6753      
0.24         -10.3        -0.6734      
0.26         -10.33       -0.6708      
0.28         -10.36       -0.6679      
0.3          -10.39       -0.6653      
0.32         -10.42       -0.6629      
0.34         -10.45       -0.6611      
0.36         -10.47       -0.6598      
0.38         -10.49       -0.659       
0.4          -10.51       -0.6587      
0.42         -10.52       -0.6588      
0.44         -10.53       -0.6593      
0.46         -10.54       -0.66        
0.48         -10.55       -0.661       
0.5          -10.55       -0.6621      
0.52         -10.56       -0.6632      
0.54         -10.56       -0.6645      
0.56         -10.57       -0.6658      
0.58         -10.58       -0.6673      
0.6          -10.59       -0.6691      
0.62         -10.6        -0.6711      
0.64         -10.63       -0.6735      
0.66         -10.65       -0.6763      
0.68         -10.69       -0.6793      
0.7          -10.73       -0.6829      
0.72         -10.78       -0.6874      
0.74         -10.84       -0.6934      
0.76         -10.92       -0.7019      
0.78         -11.01       -0.7142      
0.8          -11.12       -0.7319      
0.82         -11.26       -0.7578      
0.84         -11.43       -0.7956      
0.86         -11.66       -0.851       
0.88         -11.96       -0.9325      
0.9          -12.41       -1.052       
0.92         -13.08       -1.225       
0.94         -14.19       -1.457       
0.96         -16.1        -1.715       
0.98         -19.46       -1.896       
1.           -25.84       -1.881       
1.02         -41.41       -1.687       
1.04         -28.03       -1.432       
1.06         -23.65       -1.202       
1.08         -21.7        -1.021       
1.1          -20.73       -0.8845      
1.12         -20.27       -0.7809      
1.14         -20.12       -0.7013      
1.16         -20.18       -0.6388      
1.18         -20.37       -0.5887      
1.2          -20.68       -0.5477      
1.22         -21.08       -0.5136      
1.24         -21.55       -0.4849      
1.26         -22.08       -0.4604      
1.28         -22.68       -0.4394      
1.3          -23.33       -0.4212      
1.32         -24.04       -0.4054      
1.34         -24.8        -0.3917      
1.36         -25.61       -0.3798      
1.38         -26.47       -0.3693      
1.4          -27.38       -0.3602      
1.42         -28.33       -0.3523      
1.44         -29.34       -0.3453      
1.46         -30.39       -0.3391      
