"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
0.1,-9.52352940808927,-3.54973430070951,-3.54688231836772
0.125,-9.49205843520248,-3.55811496946142,-3.55378603188101
0.15,-9.45287161487028,-3.56746430454637,-3.56134388684105
0.175,-9.4069271011365,-3.57775484605308,-3.56952798334924
0.2,-9.35521225408791,-3.58893091634715,-3.57828328463526
0.225,-9.29874050999469,-3.60091539602696,-3.58753479634713
0.25,-9.23854182766238,-3.61361466394127,-3.59719303872694
0.275,-9.17564824445819,-3.62692193028624,-3.60715799764102
0.3,-9.11107821277441,-3.64071958120702,-3.6173221863011
0.325,-9.04582212875548,-3.6548810110094,-3.62757318691121
0.35,-8.98083036079685,-3.66927214119785,-3.63779590898624
0.375,-8.91700421897552,-3.68375281070135,-3.64787462130123
0.4,-8.85518996208497,-3.69817808260992,-3.65769480507175
0.425,-8.79617557991444,-3.71239955634646,-3.66714480066211
0.45,-8.74068999677165,-3.72626671355658,-3.67611723814306
0.475,-8.68940428297025,-3.73962834976596,-3.68451020514267
0.5,-8.64293444552007,-3.75233411247441,-3.69222813489027
0.525,-8.60184541085859,-3.76423615498546,-3.69918240351399
0.55,-8.56665584788793,-3.77519092245352,-3.7052916229124
0.575,-8.53784353587843,-3.78506102964408,-3.71048167278359
0.6,-8.51585106538501,-3.79371719127391,-3.71468550567901
0.625,-8.50109166311157,-3.80104014053333,-3.71784280076434
0.65,-8.49395502606507,-3.80692245041054,-3.71989954706263
0.675,-8.49481306406947,-3.81127017180575,-3.72080764600715
0.7,-8.50402548754236,-3.81400421179251,-3.72052461239941
0.725,-8.52194523814731,-3.81506137213214,-3.71901344475996
0.75,-8.5489237127408,-3.81439502699745,-3.71624270187093
0.775,-8.58531582800896,-3.81197541576943,-3.71218679943938
0.8,-8.63148494099151,-3.80778957612749,-3.70682650871588
0.825,-8.68780765505524,-3.80184096651493,-3.7001496153153
