"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
0.1,-9.52119171931404,-3.55206805225434,-3.54511256020374
0.125,-9.48851833859658,-3.5609510634986,-3.55185177065598
0.15,-9.44790076585153,-3.57054864633412,-3.55957183553063
0.175,-9.40031647298642,-3.58082291405964,-3.56825326849329
0.2,-9.34677380542063,-3.59173027164957,-3.57782681092103
0.225,-9.28830768522152,-3.60321374974751,-3.58819500255846
0.25,-9.2259690949498,-3.61520110115343,-3.5992444666114
0.275,-9.16080990433184,-3.62760564811656,-3.61085232679137
0.3,-9.09386655650254,-3.64032831072511,-3.62288961162102
0.325,-9.02614525163195,-3.65325995982371,-3.63522327682259
0.35,-8.95860970508081,-3.66628377573551,-3.64771765587199
0.375,-8.89217198728607,-3.67927747029851,-3.66023569609359
0.4,-8.82768652152769,-3.69211531757249,-3.67264012379193
0.425,-8.76594697499832,-3.70467000096864,-3.68479458225612
0.45,-8.70768552962833,-3.71681431355066,-3.69656476315152
0.475,-8.65357429460743,-3.72842268307459,-3.70781950281249
0.5,-8.60422826829761,-3.73937256617306,-3.71843184305587
0.525,-8.56020948481976,-3.74954571296825,-3.72828004030466
0.55,-8.52203202771516,-3.75882930295196,-3.73724850696488
0.575,-8.4901675542237,-3.76711696923788,-3.74522868633475
0.6,-8.46505113621731,-3.7743097100998,-3.75211984908025
0.625,-8.44708717955596,-3.78031670482919,-3.75782981551685
0.65,-8.43665540356861,-3.78505601224278,-3.76227559061923
0.675,-8.43411661896035,-3.78845519695898,-3.76538392983583
0.7,-8.43981839087648,-3.79045185392782,-3.76709182250736
0.725,-8.45410046877473,-3.79099405776449,-3.76734690389037
0.75,-8.47730003700591,-3.79004072548664,-3.76610779278177
0.775,-8.50975673916889,-3.78756191175128,-3.76334436228095
0.8,-8.55181754550205,-3.78353902975396,-3.75903794117116
0.825,-8.6038414872236,-3.77796500197507,-3.75318145108782
0.85,-8.6662042824333,-3.77084434971267,-3.74577948135507
0.875,-8.7393029581856,-3.76219321160633,-3.73684829735709
0.9,-8.82356051013006,-3.75203929675671,-3.72641578573733
0.925,-8.91943062153544,-3.7404217834205,-3.71452134124196
0.95,-9.02740266501504,-3.72739113356333,-3.70121567908683
0.975,-9.14800692548381,-3.71300885599955,-3.68656058775636
1,-9.28182028538878,-3.69734718843781,-3.6706286081954
1.025,-9.42947245912834,-3.6804887091808,-3.65350263983818
1.05,-9.59165294035382,-3.66252587383667,-3.63527547273982
1.075,-9.76911888755216,-3.643560471259,-3.61604923910208
1.1,-9.96270419804943,-3.62370299540469,-3.59593478291511
1.125,-10.1733300629036,-3.60307193615782,-3.57505094531663
1.15,-10.4020174270267,-3.58179297985127,-3.5535237639683
1.175,-10.6499018426208,-3.55999812519361,-3.53148558455749
1.2,-10.9182513782244,-3.53782471090812,-3.50907408639714
1.225,-11.2084884231216,-3.5154143601682,-3.48643122414883
1.25,-11.5222165271497,-3.49291184312107,-3.46370208851525
1.275,-11.8612537357605,-3.47046386804787,-3.44103369441676
1.3,-12.227674485785,-3.44821780407741,-3.41857370231909
1.325,-12.6238627739943,-3.42632035192469,-3.39646908673855
1.35,-13.0525804815021,-3.40491617178636,-3.37486476306464
1.375,-13.5170562467506,-3.38414648796106,-3.35390218957471
1.4,-14.0211027194808,-3.36414768474567,-3.33371796303543
1.425,-14.569273629757,-3.34504991669692,-3.31444242788837
1.45,-15.1670779166426,-3.32697575394448,-3.2961983188151
1.475,-15.8212773912089,-3.31003888360735,-3.27909946369235
1.5,-16.5403099707911,-3.29434289402527,-3.26324956480879
1.525,-17.3349072300482,-3.27998016122879,-3.24874108636568
1.55,-18.2190232124638,-3.26703086176429,-3.23565426622376
1.575,-19.2112819168483,-3.25556213196105,-3.22405627511337
1.6,-20.3373310266321,-3.24562739111268,-3.21400053883786
1.625,-21.6338704323209,-3.23726584300592,-3.20552624163637
1.65,-23.15599440204,-3.23050216883587,-3.19865801731212
1.675,-24.9916555824787,-3.22534641644053,-3.19340583994947
1.7,-27.2930220213129,-3.22179408924949,-3.18976511303823
1.725,-30.3519629888241,-3.21982643385812,-3.18771695765679
1.75,-34.7756677270503,-3.21941091812284,-3.18722869102125
1.775,-40.5731832028896,-3.22050188944848,-3.18825448585253
1.8,-37.6201750996473,-3.2230413972528,-3.1907361941972
1.825,-32.4184571183184,-3.22696016211458,-3.19460431649238
1.85,-28.9650245722285,-3.23217866695729,-3.19977909526759
1.875,-26.496710811269,-3.23860834896042,-3.20617170729652
1.9,-24.6040388480431,-3.24615286437363,-3.21368553005882
1.925,-23.0839311438553,-3.25470940175563,-3.22221745687416
1.95,-21.8241623698993,-3.26417001850025,-3.23165923428504
1.975,-20.7567977214338,-3.27442297698682,-3.24189879985675
2,-19.8377524140233,-3.28535405912586,-3.25282159858998
2.025,-19.0368443676103,-3.2968478411282,-3.26431185934761
2.05,-18.3325188047018,-3.30878891364863,-3.27625381653237
2.075,-17.7088497254838,-3.32106303339923,-3.28853286357716
2.1,-17.1537368058235,-3.33355819763342,-3.3010366287238
2.125,-16.6577696913302,-3.34616563260915,-3.31365596628305
2.15,-16.2134843834211,-3.35878069269071,-3.32628585630775
2.175,-15.8148601064337,-3.37130366334302,-3.33882621046268
2.2,-15.4569691022973,-3.3836404695643,-3.35118258125327
2.225,-15.1357268783931,-3.39570328482963,-3.36326677378151
2.25,-14.8477101399518,-3.40741104559404,-3.37499736086332
2.275,-14.5900215799973,-3.41868986771054,-3.38630010198027
2.3,-14.3601876330054,-3.4294733721418,-3.39710827016783
2.325,-14.1560800037277,-3.43970291921391,-3.4073628883059
2.35,-13.975854544217,-3.44932775694271,-3.41701287842753
2.375,-13.8179029628979,-3.45830508872117,-3.42601513102146
2.4,-13.6808142453176,-3.46660006187003,-3.43433449551058
2.425,-13.5633433886158,-3.47418568625565,-3.4419436993133
2.45,-13.4643858252385,-3.48104268320841,-3.44882319850674
2.475,-13.3829561861701,-3.48715927452849,-3.45496096779033
2.5,-13.3181705238663,-3.49253091273375,-3.46035223184851
2.525,-13.2692312149166,-3.49715996019911,-3.46499914530936
2.55,-13.235414007577,-3.50105532114215,-3.46891042525635
2.575,-13.2160567900978,-3.50423203012887,-3.4721009409923
2.6,-13.2105497041919,-3.50671080511954,-3.47459126708412
2.625,-13.2183263857391,-3.50851756630963,-3.47640720310642
2.65,-13.2388561028745,-3.50968292777804,-3.47757926506183
2.675,-13.2716366240754,-3.51024166614486,-3.47814215484681
2.7,-13.3161877163235,-3.51023217107629,-3.47813421027123
2.725,-13.3720451635424,-3.50969588254269,-3.47759684254781
2.75,-13.4387552552725,-3.50867671980916,-3.47657396512643
2.775,-13.515869686428,-3.50722050829215,-3.47511141990287
2.8,-13.602940884265,-3.5053744074226,-3.47325640494522
2.825,-13.6995177300814,-3.5031863471948,-3.47105691039755
2.85,-13.8051417263798,-3.50070447721225,-3.46856116670192
2.875,-13.9193436492335,-3.4979766338256,-3.46581711115659
2.9,-14.0416407409456,-3.49504983130881,-3.4628718777906
2.925,-14.1715345387546,-3.49196978092637,-3.45977131602511
2.95,-14.3085094325893,-3.48878044414717,-3.45655954204746
2.975,-14.4520320540067,-3.48552362395024,-3.45327852912064
3,-14.6015516403086,-3.48223859772464,-3.44996773950471
3.025,-14.756501469719,-3.47896179717093,-3.44666380252463
3.05,-14.9163015054269,-3.47572653683791,-3.44340024169356
3.075,-15.0803623356471,-3.47256279445818,-3.44020725381461
3.1,-15.2480904903295,-3.46949704523991,-3.43711154102438
3.125,-15.4188951595579,-3.46655215016233,-3.43413619822047
3.15,-15.5921962891729,-3.46374729994087,-3.43130065463153
3.175,-15.767433951908,-3.46109801305653,-3.42862067056476
3.2,-15.9440788272599,-3.45861618715228,-3.42610838683125
3.225,-16.1216435281149,-3.45631020113318,-3.42377242537531
3.25,-16.299694415922,-3.45418506624601,-3.42161803806192
3.275,-16.4778634996676,-3.4522426209806,-3.41964730046887
3.3,-16.6558599336377,-3.45048176690439,-3.41785934580972
3.325,-16.8334806019235,-3.44889874042265,-3.41625063482789
3.35,-17.0106192731322,-3.44748741505615,-3.41481525659969
3.375,-17.187273879162,-3.44623962849741,-3.41354525426008
3.4,-17.3635514842763,-3.44514552965724,-3.41243097029237
3.425,-17.5396706842731,-3.44419393870835,-3.41146140513759
3.45,-17.7159612396834,-3.44337271452517,-3.41062458379694
3.475,-17.8928609097952,-3.4426691243692,-3.4099079235983
