Drill List

     X           Y       Diameter    Start Layer            End Layer
----------  ----------  ----------  ---------------------  ---------------------
  1446.86     1010.21          15    TOP METAL             BOT METAL         
  1408.93       971.5          15    TOP METAL             BOT METAL         
  1446.09     970.854          15    TOP METAL             BOT METAL         
  1358.47     1025.36           8    TOP METAL             BOT METAL         
  1494.94     1024.85           8    TOP METAL             BOT METAL         
  1494.33     979.527           8    TOP METAL             BOT METAL         
     1150         380          15    TOP METAL             BOT METAL         
     1470         320          20    TOP METAL             BOT METAL         
  1408.26     1009.59          15    TOP METAL             BOT METAL         
  4793.35     1009.27          15    TOP METAL             BOT METAL         
  4831.98     971.013          15    TOP METAL             BOT METAL         
  4792.98     970.499          15    TOP METAL             BOT METAL         
     1357     977.412           8    TOP METAL             BOT METAL         
     3290     125.197          20    TOP METAL             BOT METAL         
     3308         532          20    TOP METAL             BOT METAL         
      100        1150          90    TOP METAL             BOT METAL         
      100         850          90    TOP METAL             BOT METAL         
      100         100          90    TOP METAL             BOT METAL         
     1100         100          90    TOP METAL             BOT METAL         
     4500        1250          90    TOP METAL             BOT METAL         
     4500         750          90    TOP METAL             BOT METAL         
      100        1530          90    TOP METAL             BOT METAL         
      100         470          90    TOP METAL             BOT METAL         
     3900         100          90    TOP METAL             BOT METAL         
  5297.14     1862.86          20    TOP METAL             BOT METAL         
     1800     125.197          20    TOP METAL             BOT METAL         
     4900         100          90    TOP METAL             BOT METAL         
     7400         100          90    TOP METAL             BOT METAL         
     7400         470          90    TOP METAL             BOT METAL         
     7400         850          90    TOP METAL             BOT METAL         
     7400        1150          90    TOP METAL             BOT METAL         
     7400        1530          90    TOP METAL             BOT METAL         
     7400        1900          90    TOP METAL             BOT METAL         
     6200        1900          90    TOP METAL             BOT METAL         
     6200         100          90    TOP METAL             BOT METAL         
     2500         750          90    TOP METAL             BOT METAL         
     2906         568          20    TOP METAL             BOT METAL         
     4662         346          20    TOP METAL             BOT METAL         
  2839.37     1039.37           8    TOP METAL             BOT METAL         
  2760.63     1039.37           8    TOP METAL             BOT METAL         
  2760.63      960.63           8    TOP METAL             BOT METAL         
     2800        1000           8    TOP METAL             BOT METAL         
     2800      960.63           8    TOP METAL             BOT METAL         
  2839.37      960.63           8    TOP METAL             BOT METAL         
