Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X))
1,-28.7972706598838,-0.00646299529824899
1.28,-27.5740850886373,-0.00854046189259978
1.56,-26.4041053976664,-0.011108159811571
1.84,-25.3103385715336,-0.0141834198206095
2.12,-24.2959877576034,-0.0177859453995624
2.4,-23.3563957005457,-0.021937333288302
2.68,-22.4844021196398,-0.0266605399265684
2.96,-21.6725863509774,-0.0319793039804058
3.24,-20.914123606243,-0.0379175361983015
3.52,-20.2030439433246,-0.0444986887956828
3.8,-19.5342442133614,-0.0517451173391891
4.08,-18.9034066328423,-0.0596774487069001
4.36,-18.3068903186302,-0.068313969002673
4.64,-17.7416233271683,-0.077670045429455
4.92,-17.2050055513526,-0.0877575958988742
5.2,-16.6948253233145,-0.0985846197240035
5.48,-16.2091894388546,-0.110154802005747
5.76,-15.746465152444,-0.122467203255474
6.04,-15.3052323824652,-0.135516044669423
6.32,-14.8842444320976,-0.149290597864078
6.6,-14.4823957172289,-0.163775186424122
6.88,-14.0986952226817,-0.178949304748657
7.16,-13.7322446167836,-0.194787858065459
7.44,-13.3822201468878,-0.21126152556472
7.72,-13.0478575902088,-0.228337247198689
8,-12.7284396709784,-0.24597883296701
8.28,-12.4232854560723,-0.264147692480724
8.56,-12.1317413296494,-0.282803681586802
8.84,-11.8531732169018,-0.301906062274308
9.12,-11.586959781731,-0.321414572080173
9.4,-11.3324863710147,-0.341290599485143
9.68,-11.0891395125887,-0.361498462974516
9.96,-10.8563018074456,-0.382006792917645
10.24,-10.6333470804903,-0.402790017967611
10.52,-10.419635675626,-0.423829961061003
10.8,-10.2145098004516,-0.445117554463244
11.08,-10.0172888416151,-0.466654689139747
11.36,-9.8272645844154,-0.488456221465512
11.64,-9.64369628484046,-0.510552169898434
11.92,-9.46580555030283,-0.53299014734245
12.2,-9.2927709931926,-0.555838091924696
12.48,-9.12372262517366,-0.579187381600537
12.76,-8.95773595604055,-0.60315644890964
13.04,-8.79382575025687,-0.627895054164583
13.32,-8.6309393678388,-0.653589433746167
13.6,-8.46794957155755,-0.680468622119309
13.88,-8.30364660841023,-0.708812362924098
14.16,-8.13672926045072,-0.738961193203032
14.44,-7.96579439041685,-0.771329532805652
14.72,-7.78932426304548,-0.806422981142668
15,-7.60567057301989,-0.844861586746696
