Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-27.0918148408845,-0.0105671189084315,-0.0105671189068761,-27.0153079909852
1.28,-25.5054356773408,-0.0149219483608023,-0.0151417273219141,-25.4209638282413
1.56,-24.0606196008511,-0.0206610405931346,-0.020661123768558,-23.9688990748189
1.84,-22.753506200096,-0.0275453509505954,-0.0275451215936086,-22.654764822218
2.12,-21.5630675103804,-0.0358128563410978,-0.0358128563410871,-21.457598480018
2.4,-20.470953634311,-0.0456004449834594,-0.0456004448962712,-20.3591615950321
2.68,-19.4618029570179,-0.0570553829719117,-0.0570555981907026,-19.3442017773331
2.96,-18.5233307998702,-0.0703340073347473,-0.0703340073200666,-18.4005153096815
3.24,-17.6458622482856,-0.0855978677194309,-0.0855978679245948,-17.518473471562
3.52,-16.8217727244311,-0.103012384048182,-0.103012384048171,-16.690467810421
3.8,-16.0450149113787,-0.122743993909972,-0.122743993909971,-15.9104418937788
4.08,-15.3107384099154,-0.144958191915997,-0.144958154159363,-15.1735162387277
4.36,-14.6149985089259,-0.169817713616561,-0.169817713616555,-14.475701827901
4.64,-13.9545352727958,-0.197481454520456,-0.197481451207745,-13.8136835515049
4.92,-13.3266084952674,-0.228101079095749,-0.228105852325631,-13.1846578993567
5.2,-12.7288800991216,-0.261832203807962,-0.261832203807917,-12.586218167488
5.48,-12.1593119377946,-0.298811407466397,-0.298811627404143,-12.0162532604202
5.76,-11.6161085075868,-0.339179859555327,-0.339180495079984,-11.472893684962
6.04,-11.0976641327542,-0.383072997462701,-0.383072997461527,-10.9544586951863
6.32,-10.6025219204646,-0.430622109327995,-0.430622109327995,-10.4594183234764
6.6,-10.129354337743,-0.48195816249505,-0.481956539008058,-9.9863755893961
6.88,-9.67693066385865,-0.537208628236875,-0.537208628236874,-9.53403633427008
7.16,-9.24412328147157,-0.596504324402326,-0.596504077395176,-9.1012184068872
7.44,-8.82987508930331,-0.659973687787163,-0.659973956510447,-8.68682111216577
7.72,-8.43320684708882,-0.727746352200532,-0.727746352199439,-8.28983623760079
8,-8.05320240175229,-0.79995137134126,-0.799950984262863,-7.90933300630384
8.28,-7.68900855938146,-0.876717112957817,-0.876717152797196,-7.54445809256827
8.56,-7.33983230056972,-0.958169480432215,-0.958169640689433,-7.19443702891421
8.84,-7.00493639410512,-1.04443105970309,-1.04443105904746,-6.85856362678942
9.12,-6.68363860331563,-1.13561969709763,-1.13561969709764,-6.53619734227284
9.4,-6.37531047570604,-1.23184644440331,-1.23184583464117,-6.22676160048627
9.68,-6.07937644698744,-1.33321483059685,-1.33321449659489,-5.92973463063378
9.96,-5.795311627234,-1.4398179659858,-1.43981796600349,-5.64464968370261
10.24,-5.52264037897676,-1.55173765884721,-1.55173765886092,-5.37108629299242
10.52,-5.26093444624664,-1.66904277316145,-1.66904338495291,-5.10866573031091
10.8,-5.0098084704334,-1.79178729556747,-1.79178729556746,-4.85704626157946
11.08,-4.76891829673005,-1.92000979736476,-1.92000945845055,-4.61591722445011
11.36,-4.53795437849883,-2.05372983079253,-2.05373006101906,-4.38499603172204
11.64,-4.31663745857107,-2.1929534497192,-2.19295344964284,-4.16401822960424
11.92,-4.10471233745184,-2.3376666541308,-2.3376646794891,-3.952735963509
12.2,-3.90194385177019,-2.48783561888859,-2.48783469853226,-3.75091398193882
12.48,-3.70810556738729,-2.64341951898517,-2.64341623209341,-3.55831901971308
12.76,-3.5229706724826,-2.8043697672731,-2.80435254828621,-3.37471968125666
13.04,-3.34632840184319,-2.97058767618495,-2.97058402150924,-3.19989648727651
13.32,-3.17792148620751,-3.14203618103688,-3.14203659376555,-3.03359556542402
13.6,-3.01748560359431,-3.31864296096307,-3.31864296096308,-2.87555923997126
13.88,-2.86470762344175,-3.50036014290954,-3.50036014278216,-2.7255100656976
14.16,-2.71921482161803,-3.68718298604538,-3.68718298604533,-2.58313082945699
14.44,-2.58056269577245,-3.87918856141687,-3.87918856141684,-2.44805320728832
14.72,-2.44823705431006,-4.07660246397589,-4.07660246411412,-2.31984295935942
15,-2.32168060181044,-4.27989563519606,-4.27988626337547,-2.19799175129153
