Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-30.8065557130864,-0.00567820096304853,-0.00567820096303792,-30.6706897212272
1.28,-30.1937587547923,-0.00681658741856793,-0.00681658737849569,-30.0333760537828
1.56,-29.4840285352211,-0.00815455348379323,-0.00815455344702267,-29.3060162810074
1.84,-28.7035588834494,-0.00972871533490479,-0.00972871533489417,-28.5141407232451
2.12,-27.8755677569236,-0.011582175421348,-0.0115821754213654,-27.6799961578492
2.4,-27.0194152830923,-0.0137642893809405,-0.0137642893809298,-26.8218942422619
2.68,-26.1504894272034,-0.0163304411560143,-0.0163304418287604,-25.9542403432191
2.96,-25.2805446127239,-0.0193418495404759,-0.0193418491379952,-25.0879412780345
3.24,-24.4182435983114,-0.0228654147732723,-0.022865411387519,-24.2309667590853
3.52,-23.5697418657484,-0.0269736198769894,-0.0269736357088014,-23.3889257116784
3.8,-22.7392282091309,-0.0317446529903835,-0.0317446465364596,-22.5655867735419
4.08,-21.929386005243,-0.0372623356632818,-0.0372623336400191,-21.7633158810972
4.36,-21.141767024298,-0.0436166181016328,-0.0436166184366005,-20.983428383526
4.64,-20.3770855686511,-0.05090391901733,-0.050903908048735,-20.226464247458
4.92,-19.6354448044112,-0.0592277160171637,-0.0592277362486138,-19.4923988472112
5.2,-18.9165085512224,-0.0686995800608698,-0.0686996101236191,-18.7808038610286
5.48,-18.2196308937985,-0.0794401059109759,-0.0794401059109798,-18.0909671303251
5.76,-17.5439534231569,-0.0915801833041558,-0.0915802139463439,-17.4219825960063
6.04,-16.8884781406524,-0.105262957288985,-0.105262932681915,-16.7728205296865
6.32,-16.2521227615777,-0.120645195715399,-0.120645180976542,-16.1423758922477
6.6,-15.6337625369459,-0.137899970441336,-0.137899942865793,-15.5295109280683
6.88,-15.0322627946891,-0.15721878385776,-0.157218738939678,-14.9330837403361
7.16,-14.4465044593871,-0.178814339414399,-0.178814356970193,-14.3519729127516
7.44,-13.8754045806385,-0.202923799046652,-0.20292382154025,-13.7850986935406
7.72,-13.3179333592725,-0.22981165389374,-0.229811653893772,-13.2314373282288
8,-12.7731284196615,-0.259773269443291,-0.259773303466458,-12.6900357104827
8.28,-12.2401070453065,-0.29313859338338,-0.293138737471359,-12.1600239378335
8.56,-11.7180767228716,-0.33027604240593,-0.330276132521811,-11.6406259878651
8.84,-11.2063442215599,-0.371595685791784,-0.371595685791777,-11.1311665082957
9.12,-10.7043230936541,-0.417553295496493,-0.417553295496492,-10.6310796931653
9.4,-10.2115396301917,-0.468654136645366,-0.468654136645383,-10.1399152595038
9.68,-9.72763715580585,-0.525455714515616,-0.525456073854131,-9.65734129942084
9.96,-9.25237830144625,-0.588572695359037,-0.588572606595236,-9.18314815740074
10.24,-8.7856455113387,-0.658675349513935,-0.658675672320946,-8.71724486598264
10.52,-8.32743880959736,-0.736497652781534,-0.736497515294123,-8.25966060257717
10.8,-7.87787176814048,-0.82283198895352,-0.822832305236199,-7.81053755964414
11.08,-7.43716442559515,-0.91853700628634,-0.91853700630871,-7.37012382164028
11.36,-7.00563421514935,-1.02453187116718,-1.02453153384578,-6.93876461606849
11.64,-6.58368413459133,-1.14179846805144,-1.1417984680518,-6.51688987876053
11.92,-6.17178868736482,-1.27138352157958,-1.27138285621851,-6.10499754520094
12.2,-5.77047797775254,-1.41439089761995,-1.41439089761996,-5.70364283416374
12.48,-5.38031984000096,-1.57198782231296,-1.5719906802188,-5.31341517588349
12.76,-5.0019009024814,-1.74541601203549,-1.74541601203518,-4.93491074233255
13.04,-4.63580713294494,-1.93596420833295,-1.93596420833297,-4.56874033145889
13.32,-4.28260398398416,-2.14501068066332,-2.14501068066493,-4.21547920801416
13.6,-3.94281754142555,-2.37401924667652,-2.37401914061457,-3.87566365640063
13.88,-3.61691695254916,-2.62456410848045,-2.62456378937442,-3.54977035024716
14.16,-3.30529900363584,-2.89836041558013,-2.89836142493817,-3.23820253609663
14.44,-3.00827648778277,-3.19739240018918,-3.19733809107095,-2.94123999960498
14.72,-2.72606483433834,-3.52361822518489,-3.52361136384396,-2.65919579206944
15,-2.45878489239605,-3.87974580341761,-3.87974705521698,-2.39210052498762
