Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-29.6276668513056,-0.00680234273822916,-0.00680234273822434,-29.5310825865397
1.28,-28.6097838576271,-0.00863563958529826,-0.0086356395852944,-28.5101975047916
1.56,-27.5827165668475,-0.010817902852912,-0.0108179028529159,-27.484806037591
1.84,-26.5816293964341,-0.0133722557830407,-0.0133722557830504,-26.4876750464907
2.12,-25.622245254562,-0.0163253928460639,-0.0163253928460716,-25.5331907300235
2.4,-24.7098587523995,-0.0197071635347863,-0.0197071635347872,-24.6259657238217
2.68,-23.8446054470732,-0.0235501680009812,-0.0235501680009957,-23.7658119736342
2.96,-23.0242782969737,-0.0278893949476753,-0.0278893949476676,-22.9503828834674
3.24,-22.2457574440314,-0.0327619319413157,-0.032761931941309,-22.1765089752728
3.52,-21.5057035369118,-0.0382067776201826,-0.0382067776201681,-21.4408424333288
3.8,-20.8008722880621,-0.0442647829557997,-0.0442647829558084,-20.7401470758601
4.08,-20.1282391139981,-0.0509787444268537,-0.0509787444268673,-20.071411005425
4.36,-19.4850317100935,-0.058393667427979,-0.0583936674279781,-19.431873671738
4.64,-18.8687208504061,-0.0665572114020546,-0.0665572114020527,-18.8190144546541
4.92,-18.276994917032,-0.0755203207900499,-0.075520320790049,-18.2305266252825
5.2,-17.7077308104139,-0.0853380375495771,-0.0853380375495771,-17.6642884892678
5.48,-17.1589672493845,-0.0960704817296228,-0.0960704817296316,-17.1183372889511
5.76,-16.62888302179,-0.107783977142388,-0.1077839771424,-16.5908482089085
6.04,-16.1157810084693,-0.120552289013557,-0.120552289013566,-16.0801192017131
6.32,-15.6180778779528,-0.134457931445549,-0.134457931445555,-15.5845614801166
6.6,-15.1342989385826,-0.149593492602153,-0.149593492602152,-15.1026951357317
6.88,-14.6630773815702,-0.166062917503405,-0.166062917503419,-14.633149100121
7.16,-14.2031570402663,-0.183982680664948,-0.183982680664955,-14.1746645569399
7.44,-13.7533977125264,-0.203482775189196,-0.203482775189207,-13.7261008330951
7.72,-13.3127820623378,-0.224707440730718,-0.224707440730717,-13.2864427635231
8,-12.8804230956562,-0.247815551601699,-0.247815551601694,-12.8548085015517
8.28,-12.4555712316919,-0.272980587706745,-0.272980587706751,-12.4304567734304
8.56,-12.0376200513323,-0.300390116571287,-0.300390116571295,-12.0127926364337
8.84,-11.6261099180037,-0.330244725881753,-0.330244725881778,-11.6013709073768
9.12,-11.2207288561053,-0.362756367228959,-0.362756367228966,-11.1958965776985
9.4,-10.8213104105689,-0.39814612658671,-0.398146126586705,-10.7962216607157
9.68,-10.4278293746331,-0.436641680085182,-0.436641680085168,-10.4023377499429
9.96,-10.0404073283681,-0.478477095464523,-0.478477095464517,-10.0143597586775
10.24,-9.65935628587265,-0.523887459727043,-0.52388745972704,-9.63253975386072
10.52,-9.28450407818989,-0.573015241118855,-0.573015241118842,-9.25729762456908
10.8,-8.91682796716169,-0.626176058003489,-0.626176058003469,-8.88891218579015
11.08,-8.55658922108793,-0.683519570140663,-0.683519570140678,-8.5279361254641
11.36,-8.20428769317917,-0.745214491747902,-0.745214491747894,-8.1748942731747
11.64,-7.86045092351763,-0.811401982516927,-0.811401982516914,-7.83033202209363
11.92,-7.52560946695504,-0.882189991487496,-0.882189991487498,-7.49479544764692
12.2,-7.20027831897133,-0.95764871068013,-0.957648710680127,-7.16881280563037
12.48,-6.88494060677237,-1.03780677854631,-1.03780677854631,-6.85287817492196
12.76,-6.58003365695088,-1.12264841000484,-1.12264841000484,-6.54743755947439
13.04,-6.28593767268261,-1.21211161443198,-1.21211161443198,-6.2528776735744
13.32,-6.00296714843062,-1.30608761993634,-1.30608761993632,-5.96951751657439
13.6,-5.73136502760629,-1.40442157316991,-1.40442157316992,-5.69760272324033
13.88,-5.47129950061947,-1.50691453113493,-1.50691453113494,-5.43730257154856
14.16,-5.22286324644062,-1.61332671096498,-1.61332671096499,-5.18870943940584
14.44,-4.98607484950168,-1.72338191728486,-1.72338191728486,-4.95184043472043
14.72,-4.76088206896281,-1.836773030709,-1.836773030709,-4.72664087317978
15,-4.54716660428356,-1.95316841656698,-1.95316841656698,-4.51298925024401
