Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-30.5540275041459,-0.00490737384093615,-0.00490737384094291,-30.4918955525793
1.5,-29.2779028086708,-0.00675826636801756,-0.00675826636801466,-29.2071911541397
2,-27.8662229350648,-0.00927624339548728,-0.00927624339549211,-27.796927988251
2.5,-26.4401477676904,-0.0125866891177231,-0.0125866891177251,-26.3772278562021
3,-25.0576608021606,-0.0168363924694664,-0.0168363924694683,-25.0031694363944
3.5,-23.7429732540024,-0.0221867030760428,-0.0221867030760399,-23.6975208438648
4,-22.5038516700593,-0.0288088774276415,-0.0288088774276406,-22.4673448285172
4.5,-21.3400948343939,-0.0368830830856339,-0.0368830830856378,-21.3120710785664
5,-20.2474915300919,-0.0466022150652095,-0.0466022150652144,-20.2272631007008
5.5,-19.2197197127009,-0.0581811660556284,-0.0581811660556255,-19.2064337933244
6,-18.2493484806062,-0.0718715156054873,-0.0718715156054892,-18.2420144515403
6.5,-17.3284634882831,-0.087980815380826,-0.0879808153808221,-17.3259719839289
7,-16.4491465678879,-0.106894813961997,-0.106894813961993,-16.4502933664095
7.5,-15.6039061872137,-0.129100159836935,-0.129100159836936,-15.6074276296919
8,-14.78608588085,-0.15520442585121,-0.155204425851204,-14.7907076893813
8.5,-13.990236611755,-0.185949804641458,-0.18594980464146,-13.9947333501762
9,-13.2124153422376,-0.222216656290507,-0.222216656290504,-13.2156734713353
9.5,-12.4503656863149,-0.265013571926976,-0.265013571926964,-12.4514391388119
10,-11.703566593475,-0.315456956126231,-0.315456956126228,-11.7016827089888
10.5,-10.9729927163691,-0.37466627339865,-0.374666273398647,-10.9677947942795
11,-10.2609673950425,-0.443855031603923,-0.44385503160392,-10.2521269601167
11.5,-9.57077184632258,-0.524062928182667,-0.524062928182671,-9.55824387855007
12,-8.90609852954354,-0.616182572852938,-0.61618257285294,-8.89002384100225
12.5,-8.27072877558758,-0.720841990757832,-0.720841990757832,-8.25138271572002
13,-7.66815641777706,-0.838325246538214,-0.838325246538211,-7.64590519968596
13.5,-7.10131422116998,-0.968512037315729,-0.968512037315739,-7.07657527651793
14,-6.57239718167102,-1.11084501399126,-1.11084501399126,-6.54560629064734
14.5,-6.08277977805816,-1.26433050261045,-1.26433050261045,-6.05436588742
15,-5.63301544048748,-1.42757406224038,-1.42757406224038,-5.60338283593414
