Freq [GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-26.9585737350037,-0.0101008997136338,-0.0101008997136328,-26.9274463130274
1.5,-24.259378264069,-0.0183281019965795,-0.0183281019965824,-24.2364562332966
2,-22.0457071070049,-0.0298698676264819,-0.0298698676264867,-22.0297999765294
2.5,-20.1989099091618,-0.0450041078019038,-0.0450041078019058,-20.1884973269429
3,-18.6177370249347,-0.0640776845466473,-0.0640776845466454,-18.6116621895851
3.5,-17.2328537809114,-0.0875026246537911,-0.087502624653795,-17.2302398946366
4,-15.9974296723534,-0.115755711735992,-0.115755711735992,-15.9975626015692
4.5,-14.8790725384106,-0.149382719654728,-0.149382719654732,-14.8813219240974
5,-13.8546559954448,-0.189007804594486,-0.189007804594483,-13.8584286524381
5.5,-12.9071477996964,-0.235347531583712,-0.235347531583718,-12.9118633021515
6,-12.0236724487287,-0.289227766989158,-0.289227766989161,-12.0287541967816
6.5,-11.1943275617286,-0.351600364694891,-0.351600364694888,-11.1992051088677
7,-10.4114633550878,-0.423555396144493,-0.423555396144491,-10.4155829484307
7.5,-9.66924388244242,-0.506323851395182,-0.506323851395181,-9.67208449821608
8,-8.9633710054773,-0.601265527347781,-0.60126552734778,-8.96446308908099
8.5,-8.29088957498408,-0.709837488040734,-0.709837488040757,-8.28983354947501
9,-7.65001801988946,-0.833540277984317,-0.833540277984294,-7.6464995337721
9.5,-7.03997044946558,-0.973842366613832,-0.973842366613836,-7.03376831784381
10,-6.46078760187181,-1.13209155694176,-1.13209155694176,-6.45174461486241
10.5,-5.91279235774063,-1.30931681973143,-1.30931681973143,-5.90104697171312
11,-5.397088012688,-1.50641961336473,-1.50641961336473,-5.38259936422867
11.5,-4.91444424915963,-1.72366456452586,-1.72366456452587,-4.89737114085565
12,-4.46555409675131,-1.96092341606322,-1.96092341606322,-4.44611064831455
12.5,-4.05076107348651,-2.21756181866661,-2.21756181866661,-4.0292027392357
13,-3.66994379648611,-2.49248021211109,-2.4924802121111,-3.64655176385567
13.5,-3.32247062336687,-2.78419679263655,-2.78419679263655,-3.29753716511113
14,-3.00721343684627,-3.09097346805382,-3.09097346805383,-2.98102952973409
14.5,-2.7226077095448,-3.41097652971536,-3.41097652971536,-2.69545338350074
15,-2.46674235476933,-3.74246315364309,-3.74246315364308,-2.43887984385192
