Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-31.1670097200705,-0.00457328768810426,-0.00457328768810137,-31.0802877130245
1.5,-30.3985512766711,-0.00585039634463654,-0.0058503963446433,-30.2811796352876
2,-29.4446782431765,-0.00746677713204502,-0.00746677713204888,-29.3072806424031
2.5,-28.3881817229198,-0.00947915058459622,-0.00947915058459526,-28.2402024238247
3,-27.2958882539086,-0.0119425919226616,-0.0119425919226606,-27.144716366001
3.5,-26.2158313332268,-0.0149010945280095,-0.0149010945280076,-26.066777164381
4,-25.1795306212136,-0.0183795357062135,-0.0183795357062154,-25.0361887773516
4.5,-24.2057893814819,-0.0223785295541258,-0.0223785295541239,-24.0704822018843
5,-23.3042080921885,-0.0268734551632405,-0.0268734551632415,-23.1783708311
5.5,-22.4778314117395,-0.0318185923366449,-0.0318185923366411,-22.3622999185077
6,-21.7249129462693,-0.0371568094968149,-0.0371568094968139,-21.6201173679521
6.5,-21.0399743450462,-0.042834672392698,-0.0428346723926941,-20.9460548439318
7,-20.414374275459,-0.0488222280871985,-0.0488222280871966,-20.3312351080946
7.5,-19.836605298817,-0.0551361175715678,-0.0551361175715678,-19.7639214999243
8,-19.2925485786863,-0.0618641274080828,-0.0618641274080828,-19.2297396602439
8.5,-18.7659395843665,-0.069188843839314,-0.0691888438393179,-18.7121290486987
9,-18.2392977388499,-0.0774077582450341,-0.0774077582450448,-18.1932847785662
9.5,-17.6954839765377,-0.0869470948281588,-0.0869470948281608,-17.6557581341697
10,-17.1198072837703,-0.0983698589788379,-0.0983698589788438,-17.084600243716
10.5,-16.5024888707947,-0.112351441983382,-0.112351441983375,-16.470154119444
11,-15.8397007791982,-0.129684425803259,-0.129684425803259,-15.8085324538325
11.5,-15.1350206887717,-0.151233204698164,-0.151233204698163,-15.1037169630502
12,-14.397775359907,-0.177872738195752,-0.177872738195757,-14.3654723869407
12.5,-13.6412792946152,-0.210436613559132,-0.21043661355913,-13.6075526090515
13,-12.8804813201713,-0.249642927718746,-0.249642927718746,-12.8452758964004
13.5,-12.1299581252853,-0.296019047422298,-0.296019047422298,-12.0934816378846
14,-11.4025764102065,-0.34982978966815,-0.349829789668154,-11.3651921838088
14.5,-10.7088411103839,-0.411016104369002,-0.411016104368998,-10.6709817040728
15,-10.0567697095298,-0.479150741070328,-0.479150741070328,-10.0188772211189
