Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
-180,-17.6039662219661,-17.6039662219661,-17.6039662219661,-313.503533536091
-179,-17.6120612081135,-17.6086175053088,-17.6043388960933,-55.9941741270286
-178,-17.637574444468,-17.6330294438158,-17.6190280107655,-50.0192802877491
-177,-17.6805731162816,-17.6773159903534,-17.64798825144,-46.5587188141578
-176,-17.7411384272858,-17.7417055549075,-17.6911185236535,-44.1367926150108
-175,-17.8193689087025,-17.8265410743985,-17.7482578080583,-42.2911049261195
-174,-17.9153845693354,-17.9322805236909,-17.8191784790997,-40.8157818493478
-173,-18.0293319669599,-18.0594977111666,-17.9035769761103,-39.6011008730394
-172,-18.161390282375,-18.2088831212536,-18.0010617023928,-38.5816624545067
-171,-18.3117784741268,-18.3812444408126,-18.1111380421334,-37.7153682982162
-170,-18.4807635814424,-18.5775062127123,-18.2331904408747,-36.9735434971209
-169,-18.6686702218726,-18.7987077623728,-18.3664616115322,-36.3357815359614
-168,-18.8758912937006,-19.0459980865687,-18.510029128332,-35.7870299885325
-167,-19.1028998342263,-19.3206256940521,-18.6627799837184,-35.3158330286813
-166,-19.3502618927298,-19.623920315459,-18.8233841379036,-34.913211256034
-165,-19.6186501341693,-19.9572617591556,-18.9902687121085,-34.5719106834808
-164,-19.9088576690941,-20.3220286857976,-19.1615952727167,-34.2858738347457
-163,-20.2218112623447,-20.7195162785764,-19.3352435968721,-34.0498482516579
-162,-20.5585825349612,-21.1508061069054,-19.5088063109979,-33.8590818619338
-161,-20.9203949203752,-21.6165631921684,-19.6795996715306,-33.7090747042741
-160,-21.3086227696456,-22.1167237374048,-19.8446962177083,-33.5953694363395
-159,-21.72477679551,-22.6500223316938,-20.0009846679514,-33.5133725716774
-158,-22.1704664676218,-23.2132925827578,-20.1452608071824,-33.4582065487051
-157,-22.6473241574594,-23.8004702201836,-20.2743498731508,-33.4246005267465
-156,-23.1568664171564,-24.4012589537954,-20.3852560660644,-33.406835280016
-155,-23.7002527182846,-24.9995413904951,-20.4753288078899,-33.3987636413054
-154,-24.2778785457504,-25.5719150555975,-20.5424294801139,-33.3939302333819
-153,-24.8887053268494,-26.0872633106274,-20.5850783144499,-33.3858092191838
-152,-25.5291852187295,-26.5088514429105,-20.6025606483118,-33.3681630995584
-151,-26.1915993942427,-26.8003353801071,-20.5949758741993,-33.3354983574511
-150,-26.8616501719387,-26.9352042517217,-20.5632206925599,-33.2835597567757
-149,-27.5153781091548,-26.9058065905614,-20.5089088018555,-33.2097760044783
-148,-28.1161977344708,-26.7264808161728,-20.4342391356338,-33.113560473255
-147,-28.614310471079,-26.4285963706059,-20.3418316110215,-32.9963921390608
-146,-28.9523398043711,-26.0509184108411,-20.23455170449,-32.861650730466
-145,-29.0799372359016,-25.6307765907103,-20.1153431870775,-32.7142384771157
-144,-28.9730803996108,-25.1990655762278,-19.9870834019711,-32.5600653325826
-143,-28.6453341449848,-24.7789116441338,-19.8524693787171,-32.4054895309903
-142,-28.1415429943749,-24.3864680651764,-19.7139374289641,-32.2567905313161
-141,-27.5194363801568,-24.0324647412824,-19.5736146059747,-32.119718779548
-140,-26.8326388699409,-23.7237474764515,-19.4332978192743,-31.9991314092568
-139,-26.1223594575376,-23.4645177672945,-19.2944552879608,-31.8986957587371
-138,-25.4165017502902,-23.2572302395047,-19.158244974372,-31.8206276328705
-137,-24.7322089370915,-23.1031969266824,-19.0255452151561,-31.7654284512828
-136,-24.0790331805186,-23.0029647397808,-18.8969935906363,-31.7315938708177
-135,-23.4615666846548,-22.9565212537051,-18.7730308960915,-31.7152871751845
-134,-22.8813105255181,-22.963365409106,-18.6539477638502,-31.7100075440778
-133,-22.3379032787744,-23.0224615371057,-18.5399319845551,-31.7063407791297
-132,-21.8298956245394,-23.1320793219788,-18.431114900597,-31.6919560400927
-131,-21.3552274571588,-23.2895095723657,-18.3276154400327,-31.6520836095752
-130,-20.911518312083,-23.4906376984855,-18.2295804856769,-31.5707162870831
-129,-20.4962438927074,-23.7293586427777,-18.1372203918983,-31.4326324103106
-128,-20.1068447562832,-23.9968397546294,-18.050838619927,-31.2259925043194
-127,-19.7407956938677,-24.2807009611054,-17.9708546908159,-30.9448249206235
-126,-19.3956531625025,-24.5643084514218,-17.8978199595038,-30.59049683269
-125,-19.0690910320193,-24.8265758889027,-17.8324260761111,-30.1715519170254
-124,-18.758930357965,-25.0428705255953,-17.7755063851334,-29.7019989109159
-123,-18.4631659246347,-25.1876209736595,-17.7280308724049,-29.1987793535276
-122,-18.1799903500825,-25.2387006961121,-17.6910955556664,-28.6793092161522
-121,-17.9078152910988,-25.182533941239,-17.6659073877891,-28.1596922109792
-120,-17.6452885617764,-25.0178005560269,-17.6537657772335,-27.6537645979225
-119,-17.3913056920391,-24.755792801196,-17.6560417195341,-27.1728262307835
-118,-17.1450145362636,-24.4172172729475,-17.67415528151,-26.7258070758891
-117,-16.905811925478,-24.027155894422,-17.7095517991261,-26.3196451109365
-116,-16.6733319484323,-23.6104034983697,-17.7636766529296,-25.9597248753745
-115,-16.4474261373457,-23.188477758072,-17.8379478763334,-25.6502950075505
-114,-16.228136507947,-22.778402354971,-17.9337251221124,-25.3948308669287
-113,-16.0156629583009,-22.3927159281928,-18.0522726338291,-25.1963356200959
-112,-15.8103268952549,-22.0400836481599,-18.1947127962718,-25.0575861739985
-111,-15.6125331004393,-21.7260741582092,-18.3619655161954,-24.9813349274162
-110,-15.422731780188,-21.4538723650439,-18.5546670638507,-24.9704783982864
-109,-15.2413825085977,-21.2248403413403,-18.7730600917702,-25.0282013955996
-108,-15.0689214315956,-21.0389133235246,-19.0168444899491,-25.1581010275566
-107,-14.9057327169285,-20.8948491233771,-19.2849770112736,-25.3642874954125
-106,-14.7521248659211,-20.7903587089154,-19.5754073329909,-25.6514453329316
-105,-14.6083121867701,-20.722146878797,-19.8847417044259,-26.0248128848611
-104,-14.4744014864038,-20.6858922523864,-20.2078367064081,-26.489985325937
-103,-14.3503838717954,-20.6761988449003,-20.5373513353821,-27.052338055186
-102,-14.2361314521818,-20.6865585479816,-20.8633333004379,-27.7156435738835
-101,-14.1313986825791,-20.709373930271,-21.1729888392825,-28.4790082945064
-100,-14.0358280640881,-20.736099949455,-21.450871514731,-29.3304538227826
-99,-13.9489598955063,-20.7575635984603,-21.6797749454686,-30.2344714060889
-98,-13.8702457344834,-20.7645012963091,-21.8425331003962,-31.1116559008896
-97,-13.7990651611628,-20.7483058312655,-21.9246272078559,-31.8185959415568
-96,-13.7347453366196,-20.7019000326362,-21.9170091376034,-32.1648106667107
-95,-13.6765827148794,-20.6205759421463,-21.8181612404359,-32.011861356367
-94,-13.6238661126265,-20.5025973298634,-21.6345160305297,-31.3877250706304
-93,-13.5759001853075,-20.3493970745432,-21.3790432284607,-30.4612132979163
-92,-13.5320282290953,-20.1653101517082,-21.0686351703717,-29.4149877727424
-91,-13.4916531545549,-19.9569210260423,-20.7213030216313,-28.3721425093225
-90,-13.4542554865541,-19.7322045008227,-20.3539827486344,-27.396356186325
-89,-13.4194073540819,-19.4996609034023,-19.9812555493831,-26.5143129554292
-88,-13.3867816475749,-19.2675976330625,-19.6148831452731,-25.7337692485614
-87,-13.3561558279242,-19.043629358143,-19.2638858732877,-25.0538698425765
-86,-13.3274102422984,-18.8343980816036,-18.9348967837255,-24.4703239064506
-85,-13.3005211969797,-18.6454715596169,-18.6326037575837,-23.9778432966161
-84,-13.2755494112426,-18.4813641054811,-18.3601738783155,-23.5712358772643
-83,-13.2526247865725,-18.3456278888249,-18.1196133369533,-23.2458619039198
-82,-13.2319286401861,-18.2409749913795,-17.9120505030195,-22.9977973000744
-81,-13.2136746537163,-18.1694036256278,-17.7379464247164,-22.8238683313089
-80,-13.1980897759012,-18.1323126676156,-17.597243206757,-22.72163609537
-79,-13.1853962047708,-18.1305960921781,-17.4894616055598,-22.6893682239183
-78,-13.1757953819744,-18.164713340279,-17.4137578315282,-22.7260157520148
-77,-13.1694546852105,-18.2347337923173,-17.3689475668573,-22.8312040568813
-76,-13.1664972289984,-18.340354040087,-17.3535033741023,-23.0052427482467
-75,-13.1669948999033,-18.4808860496974,-17.3655303478563,-23.2491577919516
-74,-13.170964474984,-18.6552129315947,-17.4027242359199,-23.5647485685477
-73,-13.1783664117217,-18.8617071375062,-17.4623164620091,-23.9546720088437
-72,-13.1891056604636,-19.0981037847623,-17.5410116460302,-24.4225541646957
-71,-13.2030336413002,-19.3613200098302,-17.6349254369233,-24.9731241816849
-70,-13.2199503514024,-19.6472108951206,-17.7395337213439,-25.6123512704049
-69,-13.2396054329315,-19.9502557924891,-17.8496482285179,-26.347529214353
-68,-13.2616969448378,-20.263179681029,-17.9594373627234,-27.1871644434292
-67,-13.2858665559171,-20.5765385289025,-18.0625131452266,-28.1403074138166
-66,-13.311689925764,-20.8783425424969,-18.1521030507463,-29.2144399082042
-65,-13.3386611822432,-21.1538599843137,-18.2213166424018,-30.4097752133669
-64,-13.3661706606337,-21.3858246331342,-18.2634996831911,-31.7051097811284
-63,-13.3934754691169,-21.5553161170172,-18.2726443170327,-33.0263654859789
-62,-13.4196630253703,-21.6435072497643,-18.2437990619993,-34.1937255664091
-61,-13.4436085176112,-21.6341898491492,-18.1734067898954,-34.8987615088791
-60,-13.4639283351996,-21.5165322519715,-18.059502470851,-34.8634232012828
-59,-13.4789329366698,-21.28714522897,-17.9017287374779,-34.1231653581609
-58,-13.4865843874461,-20.9506061940607,-17.7011692853232,-32.9827081248062
-57,-13.4844658256291,-20.5182151400637,-17.4600424807187,-31.7256767186015
-56,-13.4697721552306,-20.0055396671538,-17.1813246773789,-30.5026519473253
-55,-13.4393328234673,-19.4297020917376,-16.8683769428028,-29.3698279022393
-54,-13.3896778121248,-18.8071945489438,-16.5246330557079,-28.3386953756333
-53,-13.317155925193,-18.1525503670964,-16.1533805172963,-27.4032533817097
-52,-13.2181090871842,-17.4778049657095,-15.7576403240631,-26.5519176351436
-51,-13.0890972583474,-16.792498280399,-15.3401320771477,-25.7722662230738
-50,-12.9271565775299,-16.1039637654845,-14.9033007358071,-25.0527878763556
-49,-12.7300610733453,-15.4177195244598,-14.4493788236528,-24.3834316388255
-48,-12.4965498420003,-14.7378555755354,-13.9804607063688,-23.7556955350885
-47,-12.2264811831512,-14.0673693080705,-13.4985712113175,-23.1625496707477
-46,-11.9208849710631,-13.408435679038,-13.0057174315956,-22.5983082395984
-45,-11.581902895991,-12.7626157282452,-12.5039187464249,-22.0584915499275
-44,-11.2126278082464,-12.1310135137963,-11.9952151093925,-21.539690385043
-43,-10.8168714113999,-11.5143926809726,-11.4816571274208,-21.0394348398456
-42,-10.3988988148119,-10.9132626483355,-10.9652833256478,-20.556067273677
-41,-9.96316757721376,-10.3279424418899,-10.4480904676573,-20.0886193924859
-40,-9.51410017927461,-9.75860827793429,-9.93200223826902,-19.6366945598446
-39,-9.05590660713105,-9.20532936942227,-9.4188404177131,-19.2003572949925
-38,-8.59246195232149,-8.6680951678167,-8.91030126925682,-18.7800322239794
-37,-8.1272351427806,-8.14683631787731,-8.40793852189584,-18.3764145125068
-36,-7.66325987124833,-7.64144093267128,-7.91315323447803,-17.9903931897263
-35,-7.20313700042598,-7.15176732562195,-7.42719005010229,-17.6229879806334
-34,-6.74905817383918,-6.67765401071561,-6.95113888369968,-17.275299486272
-33,-6.30284200686957,-6.21892755835073,-6.48594087921469,-16.948471912649
-32,-5.86597628057957,-5.77540874115345,-6.03239745561454,-16.6436671130332
-31,-5.43966152321905,-5.34691729882911,-5.59118136420017,-16.3620484825446
-30,-5.02485300489425,-4.93327557804148,-5.16284884623683,-16.1047732020587
-29,-4.62229942248227,-4.53431125164695,-4.7478521679497,-15.8729914274584
-28,-4.23257743995874,-4.14985928412132,-4.34655199228987,-15.6678512149647
-27,-3.85612183886246,-3.77976328189715,-3.95922920834113,-15.4905082250721
-26,-3.49325139771364,-3.42387634543388,-3.58609597320511,-15.342139528725
-25,-3.14419082347214,-3.082061522147,-3.22730582668764,-15.2239611337906
-24,-2.80908915515084,-2.75419194453187,-2.88296281835086,-15.1372491528093
-23,-2.4880350886154,-2.44015072513202,-2.55312964328629,-15.0833648497867
-22,-2.18106965996144,-2.13983066891841,-2.23783482154092,-15.0637841494954
-21,-1.88819669120575,-1.85313385386848,-1.93707898055632,-15.0801325929228
-20,-1.60939135828933,-1.57997112187211,-1.65084031382142,-15.1342272158705
-19,-1.34460719489571,-1.32026151443351,-1.3790792951477,-15.2281274718981
-18,-1.09378180055876,-1.07393168090139,-1.12174272889275,-15.364198202606
-17,-0.856841480192023,-0.840915281084667,-0.878767213879227,-15.5451889117428
-16,-0.633705005476904,-0.621152399038757,-0.650082094014698,-15.7743354377927
-15,-0.42428665671841,-0.414588980485259,-0.435611962675596,-16.0554928909835
-14,-0.228498676610965,-0.221176302695438,-0.235278781448235,-16.3933130124212
-13,-0.0462532444365959,-0.0408704826656451,-0.0490036672755872,-16.7934859475816
-12,0.12253593995619,0.126367973022124,0.123291604266568,-17.2630776457019
-11,0.277952388987529,0.280574575192548,0.281683337771162,-17.8110131513269
-10,0.420075816787215,0.421781215949487,0.426244862526507,-18.4487896994906
-9,0.548981335924647,0.550016490563721,0.557045651328044,-19.1915656764458
-8,0.664738821080509,0.665305979293479,0.674150586517928,-20.0598925862979
-7,0.767412406693439,0.767672491564706,0.777619350070608,-21.0826085813309
-6,0.857060091685983,0.857136275221324,0.867505917946164,-22.3019766086333
-5,0.93373342937292,0.933715193654551,0.9438581419088,-23.7835486387411
-4,0.99747728477853,0.997424873571484,1.00671740460167,-25.6371763957727
-3,1.04832964500245,1.04827882599676,1.0561183359275,-28.0688309478282
-2,1.08632147111344,1.08628854284521,1.09208858075249,-31.5409671426698
-1,1.11147658243159,1.11146357107795,1.11464860967084,-37.5292955036132
0,1.12381156607889,1.12381156607889,1.12381156607889,-339.010876171579
1,1.12333570641662,1.12333832547747,1.11958314414731,-37.5169886243723
2,1.11005093051897,1.11004780420844,1.10196149348168,-31.5163656723696
3,1.08395176721472,1.08394211115123,1.07093714735733,-28.0319598987864
4,1.04502531852267,1.0450214872392,1.02649297243351,-25.5880743848197
5,0.99325124356326,0.993284264479318,0.968604138823334,-23.7222692290839
6,0.928601756300568,0.928726804886216,0.897238110347311,-22.2285901391281
7,0.851041639809895,0.851343417916712,0.812354655758474,-20.9972045183273
8,0.760528281231789,0.761126254603887,0.713905882723603,-19.9625824429677
9,0.65701173322664,0.658065176242979,0.601836297409891,-19.0824865548754
10,0.540434809655782,0.542147595188819,0.476082893691428,-18.3281085219024
11,0.410733225468144,0.413358285101261,0.336575277292169,-17.6789316586772
12,0.267835793465082,0.271679157839628,0.183235831662614,-17.1198382546193
13,0.111664693868373,0.117089004180179,0.0159799340932413,-16.6393785701648
14,-0.0578641634269506,-0.0504368043641446,-0.165283767446499,-16.2286829577201
15,-0.24084065919562,-0.230926655078495,-0.360653003925854,-15.8807499818683
16,-0.437359837164816,-0.424413076942132,-0.570231445761505,-15.5899644920448
17,-0.647521090277418,-0.63093316822642,-0.79412815539706,-15.3517617510588
18,-0.871427113978751,-0.850529069225529,-1.03245690926542,-15.162387366996
19,-1.10918256847577,-1.08324847936975,-1.28533536183991,-15.01872182853
20,-1.3608923782387,-1.32914521649749,-1.55288401898473,-14.9181496591447
21,-1.62665958016386,-1.58827981428057,-1.83522498125111,-14.8584600342152
22,-1.90658261109187,-1.86072015170385,-2.13248040991565,-14.83776998759
23,-2.20075189996403,-2.14654210610406,-2.4447706591638,-14.8544640925929
24,-2.50924559887548,-2.44583021860247,-2.77221200657459,-14.9071463224863
25,-2.83212424965037,-2.75867835787013,-3.11491390059183,-14.9946010245997
26,-3.16942413732266,-3.08519036511803,-3.4729756275345,-15.1157607922623
27,-3.52114902821012,-3.42548066010677,-3.84648228138595,-15.2696796223322
28,-3.88725992769405,-3.7796747849468,-4.23549989650706,-15.4555101896586
29,-4.26766242182164,-4.14790985965365,-4.64006957585667,-15.6724844112629
30,-4.66219108953157,-4.530334920983,-5.06020041451573,-15.919896753319
31,-5.070590393611,-4.92711111412478,-5.49586097951466,-16.1970899838962
32,-5.49249138804502,-5.33841170545104,-5.94696906141967,-16.5034433185518
33,-5.92738353422515,-5.76442188362002,-6.41337936032857,-16.8383631654114
34,-6.37458092671615,-6.20533831562302,-6.89486870885447,-17.2012769702841
35,-6.83318233523148,-6.66136842308517,-7.39111836836395,-17.5916310076327
36,-7.30202473930524,-7.13272934086833,-7.90169286510519,-18.0088933741938
37,-7.77963055920855,-7.61964651224774,-8.42601476613639,-18.4525639288338
38,-8.2641496931374,-8.12235185841397,-8.96333474290395,-18.9221934885299
39,-8.75329889952675,-8.64108142794506,-9.51269625359384,-19.417415231564
40,-9.24430314964887,-9.17607237343239,-10.0728942284863,-19.9379919622997
41,-9.7338463827721,-9.72755900101605,-10.6424273204645,-20.4838836417407
42,-10.2180425006452,-10.2957674690142,-11.2194436691229,-21.0553403821042
43,-10.6924409604331,-10.8809084365531,-11.8016808416346,-21.6530269864749
44,-11.1520839414704,-11.483166526944,-12.3864018164955,-22.2781862386024
45,-11.5916321053731,-12.1026847938501,-12.9703307565955,-22.932849872391
46,-12.0055713322231,-12.7395413484905,-13.5495950535351,-23.6201091953628
47,-12.3885016835308,-13.3937137689453,-14.1196837873152,-24.3444630229396
48,-12.7354920405009,-14.0650246666674,-14.6754371260684,-25.1122712095778
49,-13.042462364917,-14.7530585905096,-15.2110855438425,-25.9323616670128
50,-13.3065369868877,-15.4570360736304,-15.7203605007594,-26.8168745826982
51,-13.5263053391391,-16.1756249939673,-16.1966969305387,-27.7824933194298
52,-13.7019374693323,-16.9066629530754,-16.6335395348039,-28.8523347372643
53,-13.8351299689024,-17.6467588093758,-17.0247473182917,-30.0590102970609
