Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
-180,-6.15059720449011,-6.15059720449011,-6.1505972044901,-314.299587993397
-179,-6.09728358721521,-6.50779322177329,-6.821588443013,-46.2231097574091
-178,-6.1544874011479,-7.16179406945908,-8.09278207532876,-41.5499159632336
-177,-6.32925418936832,-8.1385303888812,-10.178114340088,-40.0237279653103
-176,-6.62299636392892,-9.4751115621663,-13.5668406291255,-40.53410604365
-175,-7.02933004289217,-11.2031263583678,-19.1626025516133,-43.5581668901737
-174,-7.52976148269267,-13.2670487083727,-19.9354722307983,-49.7527392725002
-173,-8.0871602370996,-15.2291233715028,-13.7403285777097,-42.0870220735531
-172,-8.63927681670757,-15.9311022363473,-9.7629412955575,-35.5102597992626
-171,-9.10000020539722,-14.8620929399374,-7.21357040278158,-31.3487438797075
-170,-9.38084886978254,-13.1472516478905,-5.54555748204854,-28.4303944598974
-169,-9.43406315408052,-11.6213539014195,-4.52508560319641,-26.3023129386386
-168,-9.28706694739699,-10.4816686850542,-4.05754595069621,-24.7481301900207
-167,-9.03265987575517,-9.71332174185712,-4.12920194403905,-23.6434091783255
-166,-8.78705634764667,-9.25640442738612,-4.79831292168211,-22.9011723598268
-165,-8.65658917087959,-9.04261534309097,-6.22686771410333,-22.445188419667
-164,-8.7293063763056,-9.00166199757197,-8.79932966990256,-22.1954045280882
-163,-9.08269266491035,-9.06742643753103,-13.5539267343552,-22.0655276004519
-162,-9.79693511331887,-9.19191368544452,-20.8243843320178,-21.9784847917615
-161,-10.968287876055,-9.36247330301773,-13.201452984979,-21.8968538357332
-160,-12.7111054718551,-9.60883860901478,-7.75296240566075,-21.8438014269389
-159,-15.0678523160664,-9.99049088920472,-4.56411440344381,-21.886070156672
-158,-17.3809538704251,-10.5668741116231,-2.56491179581754,-22.0765156864925
-157,-17.296196117515,-11.351818996931,-1.36366216324272,-22.3643302032386
-156,-14.8983865412184,-12.2372052186978,-0.793911944044553,-22.4866332830863
-155,-12.5544039045711,-12.8985526549796,-0.786411747700391,-22.0118255545099
-154,-10.9203147950344,-12.8979178476264,-1.32656607197097,-20.7913723689435
-153,-9.98793921867257,-12.1717753920344,-2.43998591536854,-19.2066000005673
-152,-9.68399755146443,-11.148012383097,-4.18788454532002,-17.7200838384085
-151,-9.94500677990802,-10.2580087594814,-6.65186922744487,-16.5880842001863
-150,-10.6831619474254,-9.7225606287531,-9.81446197546793,-15.9163220983854
-149,-11.6919409883531,-9.62826743739917,-12.9451263537463,-15.7525328414711
-148,-12.5278060823526,-10.0089662283047,-14.0368321183485,-16.1354756016515
-147,-12.6855018125631,-10.8758824113375,-13.3568414000762,-17.1191941975392
-146,-12.2028573712997,-12.1996203008046,-12.8434704925926,-18.7901033839013
-145,-11.6104356147552,-13.8140082648266,-12.8810373885061,-21.2769247575299
-144,-11.3238819995105,-15.2232400351909,-12.8828625452678,-24.6625230131162
-143,-11.4978408884617,-15.7205510876016,-12.0928697054982,-28.0757849841578
-142,-12.1184279783137,-15.3152165534014,-10.6627316676974,-28.1766816430487
-141,-13.0488697953954,-14.7543476024986,-9.31531804413241,-25.9627692112448
-140,-14.0537494665798,-14.5914003353619,-8.46016243597595,-24.1948411477248
-139,-14.9194826008119,-15.051237906325,-8.1938129881072,-23.2065616003811
-138,-15.6391166795815,-16.2237161560283,-8.47243557036085,-22.8932712789571
-137,-16.3761026991637,-18.1492661012712,-9.16196911138783,-23.2425432601435
-136,-17.1892640756835,-20.7318832796377,-10.0341931785977,-24.4405570894308
-135,-17.8237349662867,-23.1073038955177,-10.8252316360076,-27.1110760607552
-134,-17.8764244543282,-22.8962182448548,-11.4054585399379,-33.8450076413658
-133,-17.3677877916815,-20.2380931743255,-11.8293871501324,-38.6285600988269
-132,-16.7680123873266,-17.3789589187654,-12.107646570895,-25.9434546012906
-131,-16.471962183561,-15.0834160844076,-12.0587144686245,-20.6806074019972
-130,-16.6067767059335,-13.5016367021007,-11.58653024255,-17.5998894905903
-129,-16.9713355998761,-12.6888200004642,-10.9750849465338,-15.8572573277476
-128,-16.8731268446888,-12.7017527150378,-10.6272425508261,-15.2310749473451
-127,-15.6784921829761,-13.6205033356601,-10.7119770807884,-15.729477270677
-126,-13.9248224452375,-15.4873389171918,-11.0137874328879,-17.4913708443749
-125,-12.519712312611,-17.7430912178774,-10.9565507617691,-20.3405437443559
-124,-11.9264430809807,-17.8991294881213,-10.2345551168908,-21.0674060403528
-123,-12.3387755338944,-15.5671612263942,-9.32130326412926,-17.8913984684387
-122,-13.8070339657991,-13.3434010022406,-8.79324453080695,-15.0750621309384
-121,-15.7778873366182,-11.9421298704279,-8.87071913972041,-13.4227672866208
-120,-16.0457295060233,-11.2730259979699,-9.46408890647158,-12.653999492463
-119,-14.2227769603283,-11.1556499995708,-10.2332488555968,-12.4634801976236
-118,-12.5847811496555,-11.4288520265881,-10.7645241881083,-12.630024560961
-117,-11.7413106442153,-11.9751504735766,-10.9554768988515,-13.0889058044219
