Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-17.2867395712968,-17.9464488935116
1.5,-18.5747588828755,-20.2991655836757
2,-25.0355272746287,-19.0591738446111
2.5,-16.4400868331041,-13.1592998943882
3,-9.92564167342918,-10.1626583405033
3.5,-10.0033631038312,-9.35791531356849
4,-14.3297538232685,-13.0882351867263
4.5,-11.2000733708064,-10.0537959752871
5,-10.1930361512951,-10.5807900755168
5.5,-28.0204909014622,-26.349322100736
6,-13.9510060336504,-19.1959306423676
6.5,-22.2751736611877,-11.9592338053621
7,-7.5975925323831,-8.07976711353126
7.5,-18.5874190749664,-11.7683886977729
8,-8.34968281799272,-8.65577251098818
8.5,-10.9973756322766,-10.7467017558513
9,-14.4874429912684,-14.3309628800511
9.5,-20.5127675906115,-20.1192761219127
10,-16.3716208480921,-16.2170106311998
10.5,-11.8120142571093,-11.704002182812
11,-10.7041277760406,-10.5000953768864
11.5,-10.4823895623797,-10.2001290881901
12,-10.1526623928269,-9.85117092569986
12.5,-8.72543164392071,-8.50674196123581
13,-7.99822488926317,-7.77709165745982
13.5,-4.13188785689965,-4.00170706049611
14,-4.10105152286859,-4.02138425132589
14.5,-2.03626981900408,-1.98152903454965
15,-1.7917371691124,-1.71691833746294
