AllTrace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,801
Sweep Time,24
Start Frequency,100000000
Stop Frequency,12000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,0
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,High
RF Coupling,AC
FFT Width,4010
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite
Detector,Normal,Normal,Normal,Normal,Normal,Normal
Trace Math,Off,Off,LogDifference,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBm
DATA
100000000,-65.4713516235352,-67.1983108520508,-65.4713516235352,-1000,-1000,-1000
114875000,-65.3919830322266,-67.1086502075195,-65.3919830322266,-1000,-1000,-1000
129750000,-65.1818618774414,-66.8941040039063,-65.1818618774414,-1000,-1000,-1000
144625000,-65.0828857421875,-67.5779113769531,-65.0828857421875,-1000,-1000,-1000
159500000,-65.1866683959961,-66.3290710449219,-65.1866683959961,-1000,-1000,-1000
174375000,-64.963249206543,-65.9473876953125,-64.963249206543,-1000,-1000,-1000
189250000,-55.0668449401855,-53.2079925537109,-55.0668449401855,-1000,-1000,-1000
204125000,-63.2040596008301,-63.7278747558594,-63.2040596008301,-1000,-1000,-1000
219000000,-54.1258811950684,-51.6523742675781,-54.1258811950684,-1000,-1000,-1000
233875000,-55.0868949890137,-53.280200958252,-55.0868949890137,-1000,-1000,-1000
248750000,-54.6985473632813,-53.4401893615723,-54.6985473632813,-1000,-1000,-1000
263625000,-47.2743759155273,-47.4865341186523,-47.2743759155273,-1000,-1000,-1000
278500000,-42.2196502685547,-45.935245513916,-42.2196502685547,-1000,-1000,-1000
293375000,-40.2288780212402,-43.4358863830566,-40.2288780212402,-1000,-1000,-1000
308250000,-36.5323181152344,-41.7258491516113,-36.5323181152344,-1000,-1000,-1000
323125000,-26.2924995422363,-27.7767963409424,-26.2924995422363,-1000,-1000,-1000
338000000,-24.6391563415527,-23.963472366333,-24.6391563415527,-1000,-1000,-1000
352875000,-32.6142807006836,-40.7994232177734,-32.6142807006836,-1000,-1000,-1000
367750000,-35.9329986572266,-36.9057579040527,-35.9329986572266,-1000,-1000,-1000
382625000,-39.1768531799316,-41.7903671264648,-39.1768531799316,-1000,-1000,-1000
397500000,-38.9841766357422,-41.0008583068848,-38.9841766357422,-1000,-1000,-1000
412375000,-38.4669761657715,-43.449047088623,-38.4669761657715,-1000,-1000,-1000
427250000,-36.1296920776367,-39.0171394348145,-36.1296920776367,-1000,-1000,-1000
442125000,-30.6680088043213,-35.3264274597168,-30.6680088043213,-1000,-1000,-1000
457000000,-25.6185131072998,-24.7292232513428,-25.6185131072998,-1000,-1000,-1000
471875000,-26.9176807403564,-28.1608390808105,-26.9176807403564,-1000,-1000,-1000
486750000,-34.1458511352539,-39.8316917419434,-34.1458511352539,-1000,-1000,-1000
501625000,-38.1598587036133,-43.1011085510254,-38.1598587036133,-1000,-1000,-1000
516500000,-39.2811164855957,-42.6672439575195,-39.2811164855957,-1000,-1000,-1000
531375000,-38.6141929626465,-40.983943939209,-38.6141929626465,-1000,-1000,-1000
546250000,-35.6080513000488,-39.4491577148438,-35.6080513000488,-1000,-1000,-1000
561125000,-28.6792831420898,-30.9152793884277,-28.6792831420898,-1000,-1000,-1000
576000000,-25.8576011657715,-25.8973617553711,-25.8576011657715,-1000,-1000,-1000
590875000,-30.4893989562988,-35.1903610229492,-30.4893989562988,-1000,-1000,-1000
605750000,-36.9644737243652,-41.5471038818359,-36.9644737243652,-1000,-1000,-1000
620625000,-39.1992797851563,-41.8525352478027,-39.1992797851563,-1000,-1000,-1000
635500000,-40.2720375061035,-42.2375526428223,-40.2720375061035,-1000,-1000,-1000
650375000,-37.8972587585449,-40.2199249267578,-37.8972587585449,-1000,-1000,-1000
665250000,-25.1888160705566,-25.0905876159668,-25.1888160705566,-1000,-1000,-1000
680125000,-32.8005981445313,-34.9578819274902,-32.8005981445313,-1000,-1000,-1000
695000000,-26.356273651123,-26.509391784668,-26.356273651123,-1000,-1000,-1000
709875000,-39.7175254821777,-41.6403579711914,-39.7175254821777,-1000,-1000,-1000
