Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.99412,1,0.0711,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57762352,0.7335818703999999,0.97,2.881235e-07,2.2675e-07,1.48373e-07,1.159403e-07,59.19,57.27,5592.47,5411.14,25.11,24.00
1.99438,1,0.0711,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776224799999999,0.7335805496,0.97,2.883036e-07,2.268252e-07,1.493618e-07,1.168659e-07,59.11,57.61,5584.78,5443.73,25.06,24.20
1.99463,1,0.0712,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776214799999999,0.7335792795999999,0.97,2.857838e-07,2.246852e-07,1.486573e-07,1.161734e-07,59.00,57.37,5574.28,5421.06,24.99,24.06
1.99487,1,0.0712,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57762052,0.7335780604,0.97,2.848373e-07,2.234811e-07,1.488144e-07,1.163546e-07,58.43,57.51,5521.13,5433.54,24.67,24.13
1.99513,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57761948,0.7335767395999999,0.97,2.837448e-07,2.221556e-07,1.489284e-07,1.162553e-07,57.87,57.09,5467.96,5393.80,24.35,23.89
1.99537,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776185199999999,0.7335755203999998,0.97,2.825512e-07,2.21191e-07,1.490625e-07,1.163004e-07,57.83,56.95,5464.53,5381.24,24.32,23.82
1.99562,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57761752,0.7335742504,0.97,2.81058e-07,2.202707e-07,1.493778e-07,1.163683e-07,58.14,56.56,5493.09,5344.02,24.50,23.59
1.99588,1,0.0712,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761648,0.7335729296,0.97,2.799891e-07,2.189721e-07,1.49544e-07,1.165375e-07,57.57,56.64,5439.59,5351.73,24.17,23.63
1.99612,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776155199999999,0.7335717103999999,0.97,2.78857e-07,2.179887e-07,1.498492e-07,1.167339e-07,57.53,56.63,5435.99,5350.62,24.15,23.63
1.99638,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776144799999999,0.7335703895999999,0.97,2.781482e-07,2.170925e-07,1.499662e-07,1.168678e-07,57.12,56.72,5397.02,5359.49,23.91,23.68
1.99663,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761348,0.7335691196,0.97,2.76993e-07,2.163244e-07,1.501907e-07,1.170449e-07,57.28,56.73,5412.24,5359.94,24.00,23.68
1.99687,1,0.0713,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761252,0.7335679004,0.97,2.761663e-07,2.155418e-07,1.505419e-07,1.172223e-07,57.11,56.51,5396.25,5339.73,23.91,23.56
1.99713,1,0.0713,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761148,0.7335665795999999,0.97,2.756325e-07,2.147103e-07,1.506624e-07,1.17362e-07,56.61,56.61,5349.16,5349.17,23.62,23.62
1.99737,1,0.0714,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776105199999999,0.7335653603999999,0.97,2.745405e-07,2.13892e-07,1.510338e-07,1.176593e-07,56.73,56.71,5360.31,5358.30,23.69,23.67
