Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.99412,1,0.0711,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57762352,0.7335818703999999,0.97,2.613569e-07,2.261299e-07,1.584481e-07,1.413655e-07,102.84,132.58,9716.72,12526.41,50.32,67.50
1.99438,1,0.0711,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776224799999999,0.7335805496,0.97,2.618627e-07,2.263846e-07,1.583167e-07,1.410969e-07,102.23,131.27,9658.81,12402.99,49.96,66.74
1.99463,1,0.0712,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776214799999999,0.7335792795999999,0.97,2.616224e-07,2.260925e-07,1.571343e-07,1.400226e-07,102.09,131.28,9645.79,12403.68,49.89,66.75
1.99487,1,0.0712,0.274,0.219,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57762052,0.7335780604,0.97,2.617806e-07,2.262571e-07,1.563422e-07,1.393998e-07,102.18,132.00,9654.55,12471.90,49.94,67.16
1.99513,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57761948,0.7335767395999999,0.97,2.617515e-07,2.263169e-07,1.555444e-07,1.387209e-07,102.47,132.29,9681.93,12499.66,50.11,67.33
1.99537,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.5776185199999999,0.7335755203999998,0.97,2.615664e-07,2.262858e-07,1.547624e-07,1.380318e-07,102.90,132.37,9722.86,12506.63,50.36,67.38
1.99562,1,0.0712,0.274,0.218,7.732,7.894,0.9763,0.00926,267.70,27.88,0.57761752,0.7335742504,0.97,2.619539e-07,2.265382e-07,1.539389e-07,1.373788e-07,102.63,133.10,9696.57,12575.62,50.20,67.80
1.99588,1,0.0712,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761648,0.7335729296,0.97,2.618658e-07,2.265946e-07,1.531645e-07,1.368143e-07,103.06,134.24,9737.72,12683.43,50.45,68.46
1.99612,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776155199999999,0.7335717103999999,0.97,2.619875e-07,2.266467e-07,1.523768e-07,1.360977e-07,103.03,134.31,9734.39,12689.84,50.43,68.49
1.99638,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776144799999999,0.7335703895999999,0.97,2.621833e-07,2.267472e-07,1.516514e-07,1.353039e-07,102.79,132.96,9712.51,12563.03,50.29,67.72
1.99663,1,0.0713,0.274,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761348,0.7335691196,0.97,2.621794e-07,2.268436e-07,1.509947e-07,1.347862e-07,103.13,133.59,9744.22,12622.29,50.49,68.08
1.99687,1,0.0713,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761252,0.7335679004,0.97,2.621154e-07,2.269524e-07,1.501908e-07,1.341763e-07,103.68,134.59,9796.19,12716.60,50.80,68.66
1.99713,1,0.0713,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57761148,0.7335665795999999,0.97,2.620759e-07,2.26841e-07,1.494241e-07,1.335861e-07,103.42,135.49,9771.41,12801.75,50.65,69.18
1.99737,1,0.0714,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776105199999999,0.7335653603999999,0.97,2.617959e-07,2.267043e-07,1.488834e-07,1.328791e-07,103.92,133.56,9819.10,12619.30,50.94,68.06
1.99762,1,0.0714,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57760952,0.7335640904,0.97,2.618558e-07,2.266434e-07,1.481825e-07,1.324056e-07,103.54,135.00,9782.79,12755.57,50.72,68.90
1.99788,1,0.0714,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57760848,0.7335627696,0.97,2.61468e-07,2.266117e-07,1.47392e-07,1.317013e-07,104.58,135.02,9881.35,12757.42,51.32,68.91
1.99812,1,0.0714,0.273,0.218,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776075199999999,0.7335615503999999,0.97,2.611027e-07,2.262048e-07,1.467553e-07,1.312113e-07,104.27,135.79,9851.85,12829.91,51.14,69.35
1.99838,1,0.0714,0.273,0.217,7.732,7.894,0.9762,0.00926,267.70,27.88,0.5776064799999999,0.7335602295999999,0.97,2.609975e-07,2.25887e-07,1.462042e-07,1.307216e-07,103.50,135.83,9779.04,12833.51,50.70,69.37
1.99863,1,0.0714,0.273,0.217,7.732,7.894,0.9762,0.00926,267.70,27.88,0.57760548,0.7335589596000001,0.97,2.603089e-07,2.252222e-07,1.453912e-07,1.301952e-07,103.26,137.83,9756.88,13022.90,50.56,70.53
1.99887,1,0.0715,0.273,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57760452,0.7335577404,0.97,2.597572e-07,2.249056e-07,1.449242e-07,1.295362e-07,103.96,135.61,9822.58,12813.18,50.97,69.25
1.99913,1,0.0715,0.273,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57760348,0.7335564196,0.97,2.587943e-07,2.243542e-07,1.443717e-07,1.291403e-07,104.94,136.59,9915.57,12905.35,51.53,69.81
1.99937,1,0.0715,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57760252,0.7335552004,0.97,2.581537e-07,2.237219e-07,1.437663e-07,1.287e-07,104.67,137.60,9889.39,13001.48,51.37,70.40
1.99962,1,0.0715,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57760152,0.7335539303999999,0.97,2.573282e-07,2.230302e-07,1.432758e-07,1.281561e-07,104.75,136.54,9897.28,12900.81,51.42,69.78
1.99988,1,0.0715,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57760048,0.7335526096,0.97,2.56289e-07,2.221785e-07,1.427836e-07,1.276932e-07,104.92,136.31,9913.68,12879.17,51.52,69.65
2.00013,1,0.0715,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.5775994799999999,0.7335513396,0.97,2.551873e-07,2.214592e-07,1.422732e-07,1.273927e-07,105.77,137.91,9993.62,13030.11,52.01,70.57
2.00038,1,0.0716,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.5775984799999999,0.7335500695999999,0.97,2.541863e-07,2.210461e-07,1.417488e-07,1.276796e-07,107.59,146.39,10166.08,13831.78,53.07,75.47
2.00062,1,0.0716,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57759752,0.7335488504,0.97,2.528612e-07,2.194504e-07,1.411179e-07,1.265411e-07,105.95,140.03,10010.95,13231.08,52.12,71.80
2.00088,1,0.0716,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.57759648,0.7335475295999999,0.97,2.516671e-07,2.183446e-07,1.406816e-07,1.260484e-07,105.70,138.95,9986.90,13128.76,51.97,71.18
2.00113,1,0.0716,0.272,0.217,7.758,7.894,0.9762,0.00926,267.70,27.88,0.5775954799999999,0.7335462596,0.97,2.502574e-07,2.17359e-07,1.40226e-07,1.256278e-07,106.58,138.82,10069.98,13116.33,52.48,71.10
