Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.99412,1,0.0683,0.454,0.332,5.193,5.298,0.9899,0.00891,267.80,64.85,0.57762352,0.7335818703999999,2.95,2.021081e-07,1.767254e-07,2.53318e-07,2.267616e-07,109.12,133.82,10309.98,12644.36,54.45,68.72
1.99438,1,0.0684,0.454,0.332,5.192,5.298,0.9899,0.00891,267.80,64.85,0.5776224799999999,0.7335805496,2.95,2.024117e-07,1.76925e-07,2.525155e-07,2.261705e-07,108.95,134.74,10294.44,12731.07,54.35,69.25
1.99463,1,0.0684,0.454,0.332,5.192,5.298,0.9899,0.00891,267.80,64.85,0.5776214799999999,0.7335792795999999,2.95,2.018707e-07,1.765439e-07,2.507055e-07,2.246207e-07,109.40,135.15,10337.12,12769.96,54.61,69.49
1.99487,1,0.0684,0.454,0.332,5.192,5.298,0.9899,0.00891,267.80,64.85,0.57762052,0.7335780604,2.95,2.017253e-07,1.764693e-07,2.493986e-07,2.235674e-07,109.67,135.84,10361.72,12834.86,54.76,69.88
1.99513,1,0.0684,0.454,0.332,5.192,5.298,0.9899,0.00891,267.80,64.85,0.57761948,0.7335767395999999,2.95,2.015658e-07,1.764282e-07,2.480777e-07,2.2227e-07,110.16,135.17,10408.10,12771.99,55.05,69.50
1.99537,1,0.0684,0.453,0.332,5.192,5.298,0.9899,0.00892,267.80,64.85,0.5776185199999999,0.7335755203999998,2.95,2.016048e-07,1.763449e-07,2.465877e-07,2.210594e-07,109.56,135.90,10352.15,12840.64,54.71,69.92
1.99562,1,0.0684,0.453,0.332,5.192,5.298,0.9899,0.00892,267.80,64.85,0.57761752,0.7335742504,2.95,2.015098e-07,1.764386e-07,2.452474e-07,2.201069e-07,110.45,137.40,10435.61,12982.53,55.22,70.79
1.99588,1,0.0685,0.453,0.332,5.192,5.298,0.9899,0.00892,267.80,64.85,0.57761648,0.7335729296,2.95,2.01338e-07,1.764286e-07,2.439443e-07,2.188642e-07,111.32,137.16,10518.04,12959.09,55.72,70.64
1.99612,1,0.0685,0.453,0.332,5.192,5.298,0.9899,0.00892,267.80,64.85,0.5776155199999999,0.7335717103999999,2.95,2.012935e-07,1.76422e-07,2.426989e-07,2.178352e-07,111.49,137.70,10533.67,13010.42,55.82,70.96
1.99638,1,0.0685,0.453,0.331,5.192,5.298,0.9899,0.00892,267.80,64.85,0.5776144799999999,0.7335703895999999,2.95,2.011122e-07,1.762021e-07,2.413673e-07,2.166762e-07,111.18,137.93,10504.91,13032.49,55.64,71.09
1.99663,1,0.0685,0.453,0.331,5.192,5.298,0.9899,0.00892,267.80,64.85,0.57761348,0.7335691196,2.95,2.011592e-07,1.763426e-07,2.401437e-07,2.153748e-07,111.69,136.67,10552.90,12913.53,55.93,70.37
1.99687,1,0.0685,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57761252,0.7335679004,2.95,2.00931e-07,1.762731e-07,2.388465e-07,2.14323e-07,112.36,137.36,10615.95,12978.23,56.32,70.76
1.99713,1,0.0686,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57761148,0.7335665795999999,2.95,2.007303e-07,1.759775e-07,2.374976e-07,2.133226e-07,111.90,138.89,10572.81,13122.85,56.06,71.64
1.99737,1,0.0686,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.5776105199999999,0.7335653603999999,2.95,2.004585e-07,1.757628e-07,2.363295e-07,2.123543e-07,112.02,139.41,10584.33,13172.15,56.13,71.95
1.99762,1,0.0686,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57760952,0.7335640904,2.95,2.002452e-07,1.756721e-07,2.35072e-07,2.111629e-07,112.52,139.01,10631.65,13134.46,56.41,71.72
1.99788,1,0.0686,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57760848,0.7335627696,2.95,1.998712e-07,1.753291e-07,2.339127e-07,2.102633e-07,112.44,139.94,10624.29,13222.12,56.37,72.25
1.99812,1,0.0686,0.452,0.331,5.192,5.298,0.9899,0.00892,267.81,64.85,0.5776075199999999,0.7335615503999999,2.95,1.993568e-07,1.749556e-07,2.327286e-07,2.092394e-07,112.85,140.21,10662.88,13247.47,56.61,72.41
1.99838,1,0.0686,0.452,0.330,5.192,5.298,0.9899,0.00892,267.81,64.85,0.5776064799999999,0.7335602295999999,2.95,1.989049e-07,1.74549e-07,2.315733e-07,2.083954e-07,112.81,141.53,10658.56,13372.09,56.58,73.17
1.99863,1,0.0687,0.451,0.330,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57760548,0.7335589596000001,2.95,1.983345e-07,1.74002e-07,2.303947e-07,2.074682e-07,112.72,142.64,10650.08,13477.19,56.53,73.81
1.99887,1,0.0687,0.451,0.330,5.192,5.298,0.9899,0.00892,267.81,64.85,0.57760452,0.7335577404,2.95,1.976696e-07,1.735302e-07,2.294299e-07,2.065813e-07,113.31,142.51,10706.17,13465.33,56.87,73.74
