Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,3.290158e-07,2.947632e-07,2.646399e-07,2.362457e-07,2.640644e-07,2.374085e-07,2.351726e-07,2.113663e-07,2.36046e-07,2.119582e-07,2.369371e-07,2.119387e-07,2.375507e-07,2.145093e-07,2.39541e-07,2.143978e-07,2.410061e-07,2.150336e-07,2.398078e-07,2.142256e-07,2.686727e-07,2.386159e-07,1.248993e-07,1.141291e-07,1.387531e-07,1.328892e-07,1.136888e-07,1.052961e-07,1.291563e-07,1.179197e-07,1.426478e-07,1.34758e-07,1.300299e-07,1.179389e-07,1.305507e-07,1.194538e-07,1.297441e-07,1.183395e-07,1.150188e-07,1.063564e-07,1.3138e-07,1.196397e-07,1.302295e-07,1.202788e-07,56.84,54.95,58.82,58.64,58.12,55.99,61.49,56.32,54.68,55.31,52.43,69.99,149.67,82.86,69.31,112.81,64.42,71.10,68.53,81.09,67.30,79.83,5370.12,5192.05,5557.86,5540.49,5491.08,5290.57,5809.54,5321.14,5166.51,5225.62,4954.06,6612.68,14141.90,7829.16,6548.71,10658.43,6086.95,6717.43,6475.22,7661.79,6359.17,7542.93,23.66,22.56,24.81,24.70,24.40,23.17,26.36,23.36,22.40,22.77,21.10,31.29,77.56,38.77,30.90,56.15,28.06,31.94,30.45,37.74,29.73,37.01
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,3.316313e-07,2.972306e-07,2.670614e-07,2.380341e-07,2.662562e-07,2.393097e-07,2.371369e-07,2.131552e-07,2.382146e-07,2.136357e-07,2.384848e-07,2.137281e-07,2.39348e-07,2.163236e-07,2.413471e-07,2.163359e-07,2.427257e-07,2.166874e-07,2.415846e-07,2.155794e-07,2.70692e-07,2.408827e-07,1.207722e-07,1.106475e-07,1.374743e-07,1.303885e-07,1.13002e-07,1.022576e-07,1.26909e-07,1.16629e-07,1.425872e-07,1.298517e-07,1.279124e-07,1.169195e-07,1.2605e-07,1.161765e-07,1.268485e-07,1.1788e-07,1.139193e-07,1.04314e-07,1.268166e-07,1.169653e-07,1.285623e-07,1.189885e-07,57.07,54.17,58.66,58.71,57.41,57.03,62.06,57.13,54.97,54.76,53.38,72.19,121.55,62.87,74.94,67.35,70.26,77.72,86.82,71.74,78.43,82.10,5392.58,5118.03,5542.79,5547.36,5424.78,5388.14,5863.89,5398.39,5193.87,5173.89,5043.41,6820.71,11484.73,5939.96,7080.82,6363.59,6638.12,7343.74,8203.34,6778.01,7410.27,7756.95,23.80,22.11,24.72,24.75,23.99,23.77,26.69,23.83,22.57,22.45,21.65,32.57,61.23,27.16,34.17,29.76,31.45,35.79,41.07,32.31,36.19,38.32
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,3.340666e-07,2.991927e-07,2.685989e-07,2.400481e-07,2.677615e-07,2.409824e-07,2.384689e-07,2.145446e-07,2.394671e-07,2.14684e-07,2.401289e-07,2.14738e-07,2.404569e-07,2.175307e-07,2.425455e-07,2.174044e-07,2.443557e-07,2.179944e-07,2.429726e-07,2.165607e-07,2.725414e-07,2.420386e-07,1.268941e-07,1.157165e-07,1.40733e-07,1.343787e-07,1.153726e-07,1.065618e-07,1.308657e-07,1.192669e-07,1.445289e-07,1.365902e-07,1.318767e-07,1.191647e-07,1.325016e-07,1.209046e-07,1.312077e-07,1.194092e-07,1.161554e-07,1.074696e-07,1.329405e-07,1.207934e-07,1.31513e-07,1.216963e-07,56.66,55.53,59.43,59.23,57.21,55.86,62.67,57.11,54.62,54.15,52.41,68.37,139.67,79.88,67.91,113.63,61.91,68.86,66.84,81.72,65.68,81.88,5353.71,5246.68,5615.57,5596.07,5405.66,5277.59,5920.97,5396.21,5160.40,5116.64,4951.65,6460.28,13196.76,7547.29,6416.70,10736.80,5849.76,6505.82,6315.61,7721.12,6205.48,7736.00,23.56,22.90,25.17,25.05,23.88,23.09,27.04,23.82,22.37,22.10,21.09,30.36,71.75,37.04,30.09,56.64,26.60,30.64,29.47,38.10,28.79,38.20
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,3.370842e-07,3.017014e-07,2.710779e-07,2.42306e-07,2.6967e-07,2.429455e-07,2.397484e-07,2.156941e-07,2.410773e-07,2.158046e-07,2.416768e-07,2.162846e-07,2.419818e-07,2.189207e-07,2.442672e-07,2.187891e-07,2.457708e-07,2.192001e-07,2.447165e-07,2.177733e-07,2.742612e-07,2.435413e-07,1.227659e-07,1.122521e-07,1.400831e-07,1.321256e-07,1.148429e-07,1.033651e-07,1.288362e-07,1.181291e-07,1.447795e-07,1.313806e-07,1.298312e-07,1.183996e-07,1.276405e-07,1.175373e-07,1.284875e-07,1.190871e-07,1.150817e-07,1.054622e-07,1.281557e-07,1.182896e-07,1.299993e-07,1.207724e-07,56.32,55.62,60.04,59.22,56.40,56.26,62.70,56.72,54.49,53.38,52.36,70.51,109.66,59.48,72.87,64.76,68.40,76.83,83.67,72.41,79.18,86.45,5320.96,5255.33,5672.88,5595.65,5328.61,5315.33,5923.95,5358.75,5148.05,5043.83,4947.18,6662.53,10361.32,5619.79,6884.77,6118.81,6463.20,7259.75,7905.38,6841.46,7481.79,8168.01,23.36,22.95,25.52,25.04,23.40,23.32,27.06,23.59,22.29,21.65,21.06,31.60,54.33,25.19,32.97,28.26,30.38,35.27,39.24,32.70,36.63,40.85
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,3.402186e-07,3.050235e-07,2.73174e-07,2.454217e-07,2.720359e-07,2.457321e-07,2.419108e-07,2.17826e-07,2.42874e-07,2.173712e-07,2.436411e-07,2.178863e-07,2.436878e-07,2.205635e-07,2.452855e-07,2.202462e-07,2.467121e-07,2.205663e-07,2.46311e-07,2.18915e-07,2.769728e-07,2.453698e-07,1.298069e-07,1.179311e-07,1.434338e-07,1.359049e-07,1.172647e-07,1.079377e-07,1.32741e-07,1.206914e-07,1.467782e-07,1.384427e-07,1.337586e-07,1.205171e-07,1.344449e-07,1.224024e-07,1.328751e-07,1.203771e-07,1.175569e-07,1.083723e-07,1.345194e-07,1.221529e-07,1.326903e-07,1.235349e-07,57.23,58.40,61.69,59.72,56.28,55.87,62.99,58.08,55.71,52.77,51.27,65.58,119.20,76.42,66.14,109.68,60.10,67.12,63.60,77.92,65.23,89.10,5407.42,5517.63,5828.84,5642.94,5318.06,5278.50,5951.19,5488.14,5263.52,4985.71,4844.31,6195.90,11262.70,7220.55,6249.46,10362.80,5678.72,6341.79,6009.55,7362.02,6163.05,8418.82,23.89,24.56,26.48,25.33,23.34,23.09,27.23,24.38,23.00,21.30,20.43,28.73,59.87,35.03,29.06,54.34,25.55,29.63,27.59,35.90,28.53,42.39
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,3.419987e-07,3.072576e-07,2.752082e-07,2.470345e-07,2.743149e-07,2.478067e-07,2.43587e-07,2.194846e-07,2.446995e-07,2.187625e-07,2.454672e-07,2.194881e-07,2.452486e-07,2.220237e-07,2.464329e-07,2.214407e-07,2.481052e-07,2.216214e-07,2.47756e-07,2.200118e-07,2.791894e-07,2.4665e-07,1.246026e-07,1.143123e-07,1.426939e-07,1.34335e-07,1.173563e-07,1.050401e-07,1.311661e-07,1.201243e-07,1.477508e-07,1.336669e-07,1.325208e-07,1.204593e-07,1.297351e-07,1.197871e-07,1.307381e-07,1.208509e-07,1.170106e-07,1.068778e-07,1.299233e-07,1.202603e-07,1.319664e-07,1.231993e-07,58.40,57.90,61.73,60.13,55.70,55.79,63.13,58.51,55.26,52.37,50.06,73.36,106.12,56.32,71.84,62.67,65.95,79.52,80.71,69.65,82.18,92.80,5518.21,5470.82,5832.73,5681.76,5262.50,5271.40,5964.64,5528.30,5221.20,4947.81,4729.45,6931.13,10027.18,5321.29,6787.81,5921.61,6231.29,7513.00,7626.33,6581.08,7765.14,8767.81,24.57,24.28,26.50,25.57,23.00,23.05,27.31,24.63,22.74,21.06,19.72,33.25,52.28,23.36,32.37,27.05,28.95,36.83,37.52,31.10,38.38,44.54
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,3.446099e-07,3.104178e-07,2.767617e-07,2.498475e-07,2.765345e-07,2.507259e-07,2.456981e-07,2.217606e-07,2.46721e-07,2.200956e-07,2.474318e-07,2.208615e-07,2.468282e-07,2.234786e-07,2.474242e-07,2.227977e-07,2.492037e-07,2.228052e-07,2.495008e-07,2.209522e-07,2.819379e-07,2.478621e-07,1.312503e-07,1.194158e-07,1.452519e-07,1.368936e-07,1.1898e-07,1.089374e-07,1.343935e-07,1.219361e-07,1.48764e-07,1.400464e-07,1.35604e-07,1.216591e-07,1.364847e-07,1.238922e-07,1.345633e-07,1.212073e-07,1.186178e-07,1.091073e-07,1.359535e-07,1.23355e-07,1.340565e-07,1.250506e-07,59.95,61.30,64.15,61.18,54.59,54.89,63.20,59.74,55.73,51.11,48.03,66.63,108.15,71.63,64.64,106.08,57.61,64.97,59.93,75.76,64.66,91.69,5664.48,5792.05,6061.41,5780.22,5157.68,5186.36,5971.66,5644.78,5266.05,4828.95,4538.40,6295.80,10218.90,6768.15,6107.22,10023.37,5443.37,6138.62,5662.28,7157.96,6109.09,8663.58,25.47,26.25,27.91,26.18,22.35,22.53,27.36,25.35,23.02,20.33,18.55,29.35,53.46,32.25,28.19,52.25,24.11,28.38,25.46,34.65,28.20,43.90
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,3.468147e-07,3.13276e-07,2.787722e-07,2.521637e-07,2.783601e-07,2.532932e-07,2.477033e-07,2.23505e-07,2.485557e-07,2.21732e-07,2.495538e-07,2.223307e-07,2.482566e-07,2.249237e-07,2.484129e-07,2.240285e-07,2.502598e-07,2.236095e-07,2.508454e-07,2.218682e-07,2.843061e-07,2.490064e-07,1.264404e-07,1.163576e-07,1.458397e-07,1.364313e-07,1.199634e-07,1.066877e-07,1.337037e-07,1.222815e-07,1.510054e-07,1.362633e-07,1.353715e-07,1.22755e-07,1.321833e-07,1.221457e-07,1.329788e-07,1.225186e-07,1.188783e-07,1.08243e-07,1.315893e-07,1.224218e-07,1.340977e-07,1.259218e-07,61.68,62.58,66.73,60.99,54.59,53.93,63.66,60.67,55.41,50.56,46.58,76.21,95.76,53.07,70.69,61.04,64.25,80.36,77.35,67.21,88.18,101.70,5828.00,5912.91,6304.66,5762.90,5157.61,5095.66,6014.58,5732.32,5235.12,4777.24,4401.27,7200.33,9047.68,5014.13,6679.59,5767.11,6070.71,7592.54,7308.04,6350.22,8331.95,9609.58,26.47,27.00,29.40,26.07,22.35,21.97,27.62,25.89,22.83,20.02,17.71,34.91,46.26,21.47,31.71,26.10,27.96,37.32,35.57,29.68,41.86,49.71
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,3.50223e-07,3.173145e-07,2.814401e-07,2.560244e-07,2.804148e-07,2.571095e-07,2.499177e-07,2.26261e-07,2.506264e-07,2.24819e-07,2.516865e-07,2.240325e-07,2.501735e-07,2.265718e-07,2.496345e-07,2.252069e-07,2.512671e-07,2.247396e-07,2.527968e-07,2.233749e-07,2.876868e-07,2.513351e-07,1.331274e-07,1.211122e-07,1.479315e-07,1.379701e-07,1.210466e-07,1.101478e-07,1.363619e-07,1.23325e-07,1.512007e-07,1.443271e-07,1.377577e-07,1.232053e-07,1.389404e-07,1.256144e-07,1.361141e-07,1.219788e-07,1.198384e-07,1.098381e-07,1.372467e-07,1.247966e-07,1.355098e-07,1.272177e-07,63.67,66.52,72.85,63.16,57.53,53.50,63.39,60.88,55.94,50.13,45.66,66.56,91.46,66.74,62.47,138.66,55.91,62.25,56.98,72.53,66.19,101.31,6016.18,6285.19,6883.39,5967.53,5435.35,5054.66,5989.65,5752.28,5285.94,4736.99,4313.87,6289.21,8641.79,6305.74,5902.22,13100.94,5282.43,5881.37,5384.16,6852.97,6254.16,9572.42,27.63,29.28,32.96,27.33,24.06,21.72,27.47,26.01,23.14,19.77,17.17,29.31,43.77,29.41,26.93,71.17,23.12,26.80,23.75,32.77,29.09,49.48
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,3.523234e-07,3.207113e-07,2.832713e-07,2.588746e-07,2.825857e-07,2.598387e-07,2.520777e-07,2.287474e-07,2.526616e-07,2.31882e-07,2.538985e-07,2.257232e-07,2.516838e-07,2.280285e-07,2.50616e-07,2.265214e-07,2.523141e-07,2.255904e-07,2.542126e-07,2.244271e-07,2.904804e-07,2.53564e-07,1.286484e-07,1.184901e-07,1.496389e-07,1.384353e-07,1.229713e-07,1.084767e-07,1.36679e-07,1.246335e-07,1.545151e-07,1.48594e-07,1.383928e-07,1.251002e-07,1.349683e-07,1.245103e-07,1.354585e-07,1.243077e-07,1.208938e-07,1.096319e-07,1.334498e-07,1.249555e-07,1.366193e-07,1.294091e-07,66.99,70.07,75.43,64.75,73.69,52.90,63.66,62.08,55.74,49.76,45.36,77.03,81.60,49.42,68.33,165.72,62.15,78.62,73.62,64.28,97.14,118.52,6329.94,6620.60,7127.19,6117.51,6962.56,4998.58,6014.50,5865.82,5266.99,4701.21,4285.56,7277.80,7709.53,4669.49,6455.78,15658.05,5872.01,7428.40,6955.54,6073.85,9178.39,11198.41,29.56,31.35,34.46,28.25,33.45,21.38,27.62,26.71,23.03,19.55,17.00,35.38,38.04,19.36,30.33,86.88,26.75,36.31,33.40,27.99,47.06,59.48
