Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,8.665008e-07,7.873754e-07,2.645154e-07,2.411639e-07,2.654135e-07,2.41853e-07,2.970587e-07,2.732795e-07,2.640024e-07,2.426506e-07,2.643546e-07,2.428251e-07,2.986508e-07,2.745658e-07,2.667671e-07,2.434638e-07,2.675505e-07,2.431833e-07,2.674751e-07,2.443542e-07,2.674714e-07,2.4378e-07,4.428288e-07,4.09288e-07,1.689499e-07,1.577503e-07,1.686102e-07,1.573943e-07,1.692533e-07,1.576682e-07,1.70082e-07,1.57746e-07,1.699126e-07,1.583714e-07,1.69578e-07,1.586239e-07,1.698827e-07,1.590231e-07,1.704028e-07,1.590195e-07,1.697347e-07,1.591727e-07,1.701513e-07,1.600718e-07,65.72,68.21,67.80,75.90,75.06,74.49,75.29,69.00,65.91,69.80,67.96,80.59,93.03,92.68,89.88,84.46,90.63,95.64,96.71,92.26,99.53,104.89,6209.70,6444.69,6405.77,7171.57,7091.72,7038.24,7113.85,6519.61,6227.77,6595.07,6421.14,7614.83,8789.66,8757.08,8492.76,7979.74,8563.09,9036.42,9138.00,8717.40,9404.31,9910.16,28.82,30.26,30.02,34.73,34.24,33.91,34.37,30.72,28.93,31.18,30.11,37.45,44.67,44.47,42.85,39.69,43.28,46.19,46.81,44.23,48.45,51.56
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,8.722899e-07,7.917944e-07,2.667934e-07,2.42774e-07,2.67421e-07,2.433922e-07,2.99159e-07,2.748899e-07,2.65697e-07,2.443437e-07,2.659472e-07,2.441701e-07,3.004268e-07,2.764821e-07,2.682447e-07,2.450832e-07,2.691606e-07,2.447427e-07,2.69006e-07,2.454653e-07,2.692934e-07,2.455084e-07,4.463863e-07,4.124412e-07,1.705786e-07,1.591522e-07,1.701208e-07,1.586956e-07,1.707532e-07,1.59066e-07,1.716697e-07,1.591351e-07,1.713298e-07,1.597848e-07,1.708904e-07,1.598863e-07,1.713154e-07,1.601729e-07,1.720342e-07,1.601897e-07,1.711146e-07,1.605183e-07,1.717312e-07,1.614423e-07,64.98,66.76,66.91,74.82,75.59,74.06,76.27,69.90,66.21,68.88,68.18,80.26,92.00,91.75,89.90,83.86,91.42,95.98,94.95,89.34,100.06,103.65,6139.19,6308.27,6321.86,7069.29,7141.78,6997.82,7206.56,6604.15,6255.64,6507.90,6442.19,7583.25,8693.08,8669.05,8494.49,7923.66,8637.97,9068.33,8971.74,8440.89,9454.55,9793.07,28.38,29.42,29.51,34.10,34.54,33.66,34.94,31.24,29.10,30.65,30.25,37.26,44.08,43.93,42.86,39.35,43.74,46.38,45.79,42.53,48.76,50.84
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,8.794186e-07,7.962823e-07,2.681726e-07,2.436651e-07,2.691036e-07,2.447441e-07,3.005625e-07,2.764895e-07,2.669057e-07,2.456244e-07,2.669596e-07,2.454967e-07,3.012132e-07,2.776113e-07,2.693113e-07,2.458069e-07,2.702872e-07,2.454625e-07,2.698957e-07,2.463378e-07,2.704241e-07,2.461844e-07,4.495892e-07,4.151096e-07,1.71711e-07,1.600835e-07,1.712414e-07,1.595454e-07,1.716419e-07,1.599274e-07,1.72579e-07,1.600325e-07,1.723634e-07,1.605781e-07,1.719636e-07,1.607247e-07,1.722566e-07,1.609508e-07,1.729608e-07,1.60992e-07,1.720038e-07,1.615103e-07,1.725256e-07,1.624202e-07,63.26,65.67,66.36,75.86,76.23,75.54,77.68,69.07,65.30,69.06,67.08,79.51,90.93,90.09,90.17,84.24,89.99,94.45,94.02,88.84,101.65,106.15,5976.97,6204.39,6269.72,7167.26,7202.41,7137.76,7339.98,6526.04,6170.29,6525.28,6337.79,7512.86,8591.42,8512.39,8519.30,7959.58,8502.57,8924.08,8883.75,8393.79,9604.72,10029.77,27.39,28.78,29.19,34.70,34.92,34.52,35.76,30.76,28.57,30.76,29.60,36.82,43.45,42.97,43.01,39.57,42.91,45.50,45.25,42.24,49.68,52.29
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,8.885511e-07,8.026931e-07,2.706015e-07,2.455925e-07,2.709241e-07,2.464893e-07,3.023731e-07,2.78208e-07,2.686056e-07,2.47008e-07,2.683674e-07,2.472753e-07,3.02933e-07,2.795624e-07,2.707196e-07,2.471003e-07,2.715334e-07,2.465843e-07,2.712404e-07,2.472586e-07,2.714154e-07,2.474217e-07,4.538488e-07,4.183867e-07,1.733453e-07,1.611856e-07,1.72644e-07,1.606965e-07,1.72969e-07,1.610738e-07,1.739684e-07,1.612152e-07,1.738721e-07,1.615426e-07,1.729653e-07,1.615083e-07,1.73476e-07,1.618512e-07,1.742132e-07,1.620317e-07,1.731274e-07,1.626883e-07,1.736185e-07,1.637449e-07,61.75,64.86,66.62,76.04,75.53,77.43,79.00,69.10,65.28,68.09,68.11,77.92,87.55,88.83,89.43,83.49,86.53,93.10,91.95,87.85,102.93,109.53,5834.09,6128.07,6294.97,7184.32,7136.91,7315.86,7464.72,6528.46,6167.59,6433.90,6434.95,7362.38,8271.95,8393.32,8450.02,7888.45,8176.10,8796.88,8688.31,8300.49,9725.19,10348.96,26.51,28.32,29.34,34.81,34.52,35.61,36.53,30.78,28.56,30.20,30.20,35.90,41.49,42.24,42.58,39.13,40.90,44.72,44.05,41.67,50.42,54.25
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,8.98218e-07,8.090893e-07,2.728981e-07,2.473869e-07,2.732013e-07,2.488268e-07,3.04741e-07,2.804479e-07,2.702911e-07,2.488965e-07,2.699063e-07,2.491239e-07,3.043294e-07,2.815054e-07,2.716654e-07,2.482766e-07,2.72646e-07,2.475702e-07,2.722634e-07,2.478198e-07,2.726387e-07,2.484579e-07,4.581227e-07,4.220032e-07,1.750692e-07,1.623493e-07,1.741631e-07,1.618423e-07,1.74162e-07,1.623064e-07,1.752487e-07,1.623442e-07,1.751463e-07,1.624687e-07,1.74278e-07,1.626292e-07,1.745779e-07,1.6257e-07,1.755848e-07,1.631045e-07,1.740759e-07,1.639551e-07,1.74903e-07,1.651588e-07,59.95,64.04,67.41,76.23,76.82,79.16,81.45,70.10,65.20,66.95,67.85,77.15,84.28,86.74,90.40,83.08,84.63,92.19,89.40,86.30,106.98,111.93,5663.93,6050.41,6369.43,7202.91,7258.61,7479.26,7695.45,6623.18,6160.02,6325.72,6410.93,7289.75,7963.53,8195.81,8541.83,7849.36,7995.98,8710.76,8447.19,8154.17,10107.62,10575.34,25.46,27.84,29.80,34.92,35.26,36.62,37.95,31.36,28.51,29.53,30.05,35.45,39.59,41.02,43.15,38.89,39.79,44.19,42.57,40.77,52.77,55.64
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,9.02059e-07,8.127087e-07,2.739615e-07,2.485254e-07,2.747369e-07,2.500824e-07,3.066286e-07,2.826198e-07,2.716759e-07,2.50381e-07,2.709833e-07,2.505087e-07,3.052082e-07,2.832011e-07,2.723458e-07,2.491074e-07,2.733881e-07,2.482546e-07,2.73367e-07,2.484458e-07,2.73818e-07,2.492256e-07,4.605774e-07,4.244649e-07,1.764794e-07,1.634106e-07,1.756626e-07,1.627028e-07,1.750211e-07,1.630238e-07,1.762172e-07,1.634782e-07,1.760035e-07,1.633897e-07,1.754376e-07,1.633939e-07,1.756916e-07,1.633464e-07,1.764339e-07,1.638658e-07,1.751226e-07,1.651905e-07,1.758743e-07,1.663974e-07,60.06,64.52,66.98,77.73,77.64,80.79,84.98,70.79,65.23,65.83,66.92,77.62,82.57,82.90,89.73,84.74,85.54,89.59,87.38,86.10,109.83,115.95,5675.16,6096.20,6328.86,7344.65,7336.09,7633.90,8029.18,6688.35,6162.87,6220.16,6323.11,7333.70,7801.59,7833.13,8478.25,8006.88,8081.98,8464.76,8255.63,8135.00,10377.26,10955.17,25.53,28.12,29.55,35.79,35.74,37.57,40.00,31.76,28.53,28.88,29.52,35.73,38.60,38.79,42.76,39.86,40.32,42.68,41.39,40.65,54.43,57.98
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,9.098663e-07,8.193411e-07,2.75292e-07,2.499971e-07,2.774069e-07,2.523767e-07,3.093558e-07,2.8487e-07,2.734675e-07,2.524787e-07,2.727462e-07,2.525728e-07,3.06301e-07,2.854152e-07,2.72945e-07,2.505292e-07,2.744588e-07,2.492023e-07,2.744937e-07,2.493067e-07,2.750387e-07,2.501385e-07,4.638244e-07,4.277166e-07,1.783009e-07,1.645797e-07,1.771126e-07,1.63868e-07,1.76192e-07,1.643066e-07,1.774532e-07,1.646182e-07,1.77091e-07,1.645216e-07,1.765377e-07,1.642798e-07,1.767696e-07,1.640557e-07,1.776175e-07,1.648265e-07,1.762031e-07,1.666574e-07,1.771143e-07,1.678034e-07,59.77,65.26,66.58,76.83,79.44,82.68,90.24,73.80,65.16,65.36,66.34,78.22,79.21,81.70,91.29,84.70,86.43,88.50,85.21,85.09,115.29,119.01,5647.21,6166.53,6291.06,7258.91,7505.44,7811.71,8526.38,6973.37,6156.27,6175.84,6267.82,7390.84,7483.81,7719.59,8625.42,8002.41,8166.71,8361.94,8051.03,8040.10,10893.21,11244.70,25.36,28.55,29.32,35.27,36.78,38.66,43.06,33.51,28.49,28.61,29.18,36.08,36.65,38.10,43.66,39.84,40.85,42.04,40.13,40.07,57.60,59.76
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,9.165665e-07,8.256575e-07,2.772678e-07,2.517481e-07,2.792727e-07,2.545982e-07,3.116117e-07,2.872435e-07,2.749512e-07,2.544772e-07,2.740298e-07,2.544844e-07,3.07727e-07,2.87389e-07,2.739695e-07,2.514456e-07,2.749972e-07,2.494724e-07,2.753529e-07,2.494873e-07,2.760628e-07,2.506883e-07,4.670176e-07,4.306273e-07,1.799081e-07,1.657177e-07,1.7854e-07,1.648921e-07,1.770715e-07,1.654064e-07,1.785415e-07,1.657072e-07,1.784211e-07,1.654111e-07,1.775387e-07,1.651468e-07,1.777887e-07,1.648554e-07,1.789136e-07,1.659191e-07,1.771693e-07,1.681743e-07,1.782206e-07,1.690594e-07,59.97,65.14,68.14,77.84,82.08,85.98,93.31,73.72,64.54,63.69,65.24,78.14,77.12,79.78,93.64,85.26,83.96,88.01,84.17,84.32,123.46,121.86,5666.72,6155.02,6437.92,7354.71,7755.06,8123.73,8816.59,6965.29,6098.16,6018.17,6164.18,7383.37,7286.40,7538.29,8847.14,8055.79,7932.79,8315.17,7953.03,7966.65,11665.34,11513.99,25.48,28.48,30.22,35.86,38.32,40.58,44.84,33.46,28.13,27.64,28.54,36.03,35.44,36.98,45.03,40.16,39.41,41.76,39.53,39.62,62.34,61.41
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,9.254096e-07,8.337124e-07,2.79126e-07,2.537855e-07,2.82366e-07,2.573e-07,3.14903e-07,2.904264e-07,2.771026e-07,2.569703e-07,2.758383e-07,2.568836e-07,3.084742e-07,2.896427e-07,2.745142e-07,2.528483e-07,2.760414e-07,2.504364e-07,2.766335e-07,2.511992e-07,2.778214e-07,2.518488e-07,4.708842e-07,4.340477e-07,1.819188e-07,1.671071e-07,1.802937e-07,1.662464e-07,1.783925e-07,1.666987e-07,1.798086e-07,1.671291e-07,1.796909e-07,1.664908e-07,1.788481e-07,1.659654e-07,1.791642e-07,1.654758e-07,1.805285e-07,1.667826e-07,1.783582e-07,1.697726e-07,1.797125e-07,1.707403e-07,60.04,66.13,67.78,78.35,84.29,89.49,101.57,77.07,64.59,65.22,64.03,77.81,74.50,78.15,94.14,87.04,83.29,85.07,79.83,80.12,130.58,125.66,5672.82,6248.71,6404.62,7403.27,7963.95,8455.87,9596.58,7281.52,6102.55,6162.22,6050.11,7351.87,7039.29,7384.11,8894.37,8224.11,7869.59,8038.03,7542.59,7570.36,12337.75,11873.42,25.52,29.06,30.02,36.15,39.60,42.62,49.63,35.41,28.16,28.53,27.84,35.84,33.92,36.04,45.32,41.20,39.02,40.06,37.01,37.18,66.48,63.62
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,9.343412e-07,8.417668e-07,2.809461e-07,2.556474e-07,2.845518e-07,2.595169e-07,3.174805e-07,2.928627e-07,2.787397e-07,2.592365e-07,2.771807e-07,2.588073e-07,3.095103e-07,2.920105e-07,2.752756e-07,2.537103e-07,2.768444e-07,2.510237e-07,2.771705e-07,2.523274e-07,2.790919e-07,2.529341e-07,4.746987e-07,4.374896e-07,1.839171e-07,1.684864e-07,1.819768e-07,1.674441e-07,1.793951e-07,1.681167e-07,1.811763e-07,1.686172e-07,1.809608e-07,1.675025e-07,1.799253e-07,1.667763e-07,1.803453e-07,1.661984e-07,1.817112e-07,1.677445e-07,1.795826e-07,1.712317e-07,1.80918e-07,1.726021e-07,60.05,66.73,68.45,78.56,87.77,93.02,110.19,77.69,64.20,67.07,63.85,77.64,72.10,76.09,98.43,88.66,82.19,83.76,77.58,79.31,135.40,137.06,5673.35,6304.96,6467.83,7422.56,8293.33,8788.72,10411.28,7340.43,6065.76,6337.20,6033.16,7335.97,6812.68,7188.90,9300.41,8376.88,7765.51,7913.72,7330.01,7493.65,12793.51,12950.18,25.52,29.41,30.41,36.27,41.62,44.67,54.64,35.77,27.94,29.60,27.74,35.74,32.53,34.84,47.81,42.14,38.38,39.29,35.71,36.71,69.28,70.24
