Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,5.33536e-07,4.840764e-07,1.656576e-07,1.501972e-07,1.653309e-07,1.505185e-07,1.64573e-07,1.513527e-07,1.646209e-07,1.513235e-07,1.429161e-07,1.30601e-07,1.281931e-07,1.165806e-07,1.665022e-07,1.515838e-07,1.672842e-07,1.516783e-07,1.441712e-07,1.314177e-07,1.675352e-07,1.51671e-07,6.611561e-07,6.052583e-07,2.041397e-07,1.875493e-07,2.034999e-07,1.876893e-07,2.046936e-07,1.868027e-07,2.051184e-07,1.875661e-07,2.047456e-07,1.884507e-07,1.819485e-07,1.685998e-07,2.050647e-07,1.888903e-07,1.834862e-07,1.675191e-07,1.818389e-07,1.679215e-07,2.062916e-07,1.90096e-07,64.64,64.16,67.11,75.61,75.16,70.04,66.30,67.11,64.19,68.06,63.14,71.51,74.66,78.40,68.96,70.58,76.38,83.42,77.13,69.29,79.69,77.52,6107.56,6062.42,6341.17,7144.20,7101.40,6617.79,6264.77,6340.67,6065.12,6430.27,5966.08,6756.95,7054.45,7407.91,6515.62,6668.45,7216.90,7881.75,7287.63,6547.01,7529.27,7324.54,28.19,27.91,29.62,34.56,34.30,31.32,29.15,29.62,27.93,30.17,27.32,32.18,34.01,36.18,30.70,31.63,35.00,39.09,35.44,30.89,36.92,35.67
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,5.35045e-07,4.852386e-07,1.665529e-07,1.509656e-07,1.66054e-07,1.510831e-07,1.65421e-07,1.520514e-07,1.654148e-07,1.519454e-07,1.435261e-07,1.311375e-07,1.287922e-07,1.170165e-07,1.671018e-07,1.522964e-07,1.679241e-07,1.52464e-07,1.449444e-07,1.319986e-07,1.681996e-07,1.525452e-07,6.657233e-07,6.099844e-07,2.060411e-07,1.894047e-07,2.053098e-07,1.892602e-07,2.063422e-07,1.885153e-07,2.067767e-07,1.894375e-07,2.06352e-07,1.899801e-07,1.836124e-07,1.699628e-07,2.069412e-07,1.904264e-07,1.85061e-07,1.6913e-07,1.833243e-07,1.69293e-07,2.078593e-07,1.917532e-07,64.35,63.98,66.66,75.12,74.52,69.92,65.64,67.95,65.14,67.35,64.37,72.29,75.20,77.89,69.85,72.17,76.65,82.25,76.17,70.13,79.70,78.64,6080.52,6044.74,6298.52,7098.10,7040.60,6606.55,6201.99,6420.07,6154.96,6363.72,6081.81,6830.16,7105.62,7359.79,6599.96,6818.79,7242.35,7771.49,7196.55,6625.95,7530.29,7430.58,28.02,27.80,29.36,34.28,33.92,31.26,28.77,30.11,28.48,29.76,28.03,32.63,34.32,35.88,31.21,32.56,35.16,38.41,34.88,31.37,36.93,36.32
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,5.362705e-07,4.867519e-07,1.668121e-07,1.509489e-07,1.663731e-07,1.513265e-07,1.655757e-07,1.52045e-07,1.65373e-07,1.519124e-07,1.433956e-07,1.310791e-07,1.287199e-07,1.170186e-07,1.671012e-07,1.523164e-07,1.681559e-07,1.522921e-07,1.447444e-07,1.318838e-07,1.683752e-07,1.524225e-07,6.71063e-07,6.141699e-07,2.073311e-07,1.905114e-07,2.065658e-07,1.901436e-07,2.076014e-07,1.897749e-07,2.082198e-07,1.90621e-07,2.076946e-07,1.911665e-07,1.843854e-07,1.707425e-07,2.080653e-07,1.912443e-07,1.85981e-07,1.700847e-07,1.843494e-07,1.702949e-07,2.091712e-07,1.930517e-07,64.92,62.85,66.42,74.22,74.54,70.29,66.05,68.04,63.40,67.73,63.10,71.30,74.81,76.47,70.31,71.54,76.39,82.66,75.09,70.67,80.03,79.10,6134.00,5938.05,6275.98,7012.24,7042.61,6641.26,6240.59,6428.89,5990.66,6399.34,5962.38,6736.49,7068.18,7225.29,6643.20,6759.15,7217.61,7809.79,7094.82,6676.88,7561.20,7473.55,28.35,27.15,29.22,33.75,33.93,31.47,29.01,30.16,27.47,29.98,27.30,32.05,34.09,35.06,31.48,32.19,35.01,38.65,34.26,31.69,37.12,36.58
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,5.403221e-07,4.882698e-07,1.677035e-07,1.514777e-07,1.670377e-07,1.517453e-07,1.66242e-07,1.524483e-07,1.659904e-07,1.523362e-07,1.435692e-07,1.314471e-07,1.289605e-07,1.171694e-07,1.674385e-07,1.525899e-07,1.684706e-07,1.52738e-07,1.450948e-07,1.321049e-07,1.68721e-07,1.528039e-07,6.761908e-07,6.197888e-07,2.090681e-07,1.921721e-07,2.083075e-07,1.917075e-07,2.09103e-07,1.91462e-07,2.099142e-07,1.921096e-07,2.090536e-07,1.924994e-07,1.856034e-07,1.719561e-07,2.09415e-07,1.925841e-07,1.871837e-07,1.713776e-07,1.855753e-07,1.719377e-07,2.107084e-07,1.943771e-07,61.95,61.66,65.54,72.99,73.68,71.62,65.63,67.87,64.12,67.17,63.40,72.58,75.12,76.27,71.68,71.26,76.80,83.22,75.57,71.61,83.27,78.61,5853.62,5825.69,6192.19,6896.78,6962.12,6766.71,6201.04,6412.76,6058.31,6346.26,5990.67,6857.31,7097.59,7206.69,6772.73,6733.20,7256.48,7862.77,7140.32,6766.03,7867.52,7427.27,26.63,26.46,28.71,33.04,33.44,32.24,28.76,30.07,27.89,29.66,27.47,32.80,34.27,34.94,32.28,32.03,35.25,38.98,34.54,32.24,39.00,36.30
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,5.42863e-07,4.909569e-07,1.685459e-07,1.52261e-07,1.679525e-07,1.527449e-07,1.671073e-07,1.531585e-07,1.665689e-07,1.526188e-07,1.438893e-07,1.317122e-07,1.290276e-07,1.176124e-07,1.679547e-07,1.530994e-07,1.690882e-07,1.531086e-07,1.454969e-07,1.322238e-07,1.690428e-07,1.532131e-07,6.824121e-07,6.255003e-07,2.111914e-07,1.939152e-07,2.101605e-07,1.931372e-07,2.102936e-07,1.93109e-07,2.11625e-07,1.940619e-07,2.10582e-07,1.937419e-07,1.869641e-07,1.728954e-07,2.107983e-07,1.936308e-07,1.883888e-07,1.729451e-07,1.86851e-07,1.737105e-07,2.127026e-07,1.96113e-07,62.46,61.74,66.33,72.51,72.24,71.43,68.04,68.06,63.27,65.78,63.91,72.58,74.12,74.92,74.21,72.97,75.97,81.15,74.48,73.95,87.30,78.06,5901.52,5833.68,6266.79,6850.83,6826.05,6748.71,6428.48,6430.30,5978.23,6215.50,6038.96,6857.47,7003.30,7078.82,7011.35,6894.11,7178.24,7667.76,7037.30,6987.08,8248.08,7375.80,26.92,26.51,29.17,32.76,32.60,32.13,30.16,30.17,27.39,28.85,27.77,32.80,33.69,34.16,33.74,33.02,34.77,37.78,33.90,33.59,41.34,35.98
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,5.425334e-07,4.926253e-07,1.685636e-07,1.525251e-07,1.685891e-07,1.533944e-07,1.67829e-07,1.538043e-07,1.66979e-07,1.53128e-07,1.441893e-07,1.31907e-07,1.291814e-07,1.179377e-07,1.68148e-07,1.53453e-07,1.694345e-07,1.532297e-07,1.459909e-07,1.322801e-07,1.692549e-07,1.533686e-07,6.873028e-07,6.295199e-07,2.125803e-07,1.951391e-07,2.116391e-07,1.943099e-07,2.118119e-07,1.946527e-07,2.12704e-07,1.958079e-07,2.115796e-07,1.948323e-07,1.879939e-07,1.738145e-07,2.118376e-07,1.942795e-07,1.895099e-07,1.738916e-07,1.880577e-07,1.751036e-07,2.143356e-07,1.973675e-07,65.18,62.80,66.66,72.42,73.00,70.92,69.27,68.96,62.44,63.71,63.75,71.94,73.88,74.04,74.91,76.53,76.82,80.95,73.07,73.52,89.26,76.81,6158.64,5933.57,6298.78,6842.48,6897.83,6700.81,6544.59,6515.45,5899.81,6019.64,6023.55,6797.50,6980.83,6996.09,7077.86,7230.74,7258.64,7648.34,6903.80,6946.78,8433.87,7257.40,28.50,27.12,29.37,32.71,33.05,31.84,30.88,30.70,26.91,27.65,27.67,32.43,33.56,33.65,34.15,35.09,35.26,37.66,33.08,33.35,42.49,35.26
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,5.437149e-07,4.954841e-07,1.690121e-07,1.530985e-07,1.696442e-07,1.543863e-07,1.688813e-07,1.544352e-07,1.675499e-07,1.536006e-07,1.4443e-07,1.323831e-07,1.293147e-07,1.183791e-07,1.685434e-07,1.538616e-07,1.702092e-07,1.534914e-07,1.464904e-07,1.32528e-07,1.699009e-07,1.537902e-07,6.929504e-07,6.337862e-07,2.144538e-07,1.966829e-07,2.135381e-07,1.955259e-07,2.130916e-07,1.967441e-07,2.142855e-07,1.979283e-07,2.128128e-07,1.962616e-07,1.891589e-07,1.745721e-07,2.133142e-07,1.955637e-07,1.906327e-07,1.756007e-07,1.892866e-07,1.767835e-07,2.167923e-07,1.98903e-07,67.84,63.53,66.82,70.59,72.71,72.57,71.48,69.20,60.63,62.68,63.04,70.74,73.09,71.68,79.47,79.91,78.30,79.03,72.75,77.14,93.37,73.42,6409.79,6002.63,6313.25,6670.13,6870.36,6856.40,6754.16,6538.68,5728.54,5922.25,5955.98,6683.79,6905.51,6772.93,7509.12,7549.84,7398.52,7467.13,6874.11,7288.67,8821.92,6937.24,30.05,27.55,29.46,31.65,32.88,32.79,32.16,30.84,25.86,27.05,27.26,31.73,33.09,32.28,36.80,37.05,36.12,36.55,32.90,35.45,44.87,33.29
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,5.453086e-07,4.982795e-07,1.697153e-07,1.536204e-07,1.707533e-07,1.553191e-07,1.698658e-07,1.5541e-07,1.682176e-07,1.540218e-07,1.447928e-07,1.328108e-07,1.294417e-07,1.189549e-07,1.689256e-07,1.543699e-07,1.708422e-07,1.539197e-07,1.470603e-07,1.327173e-07,1.703414e-07,1.540336e-07,6.982764e-07,6.387055e-07,2.162473e-07,1.982736e-07,2.152152e-07,1.970203e-07,2.14864e-07,1.985698e-07,2.159705e-07,1.997929e-07,2.142541e-07,1.97516e-07,1.90396e-07,1.754026e-07,2.144287e-07,1.963997e-07,1.917707e-07,1.768639e-07,1.907305e-07,1.786551e-07,2.186521e-07,2.005027e-07,69.97,63.03,66.45,70.99,71.65,73.19,74.91,70.03,60.06,61.10,62.37,70.80,72.85,71.51,80.47,81.55,77.92,77.25,71.94,78.35,97.70,72.95,6610.67,5955.24,6278.84,6707.73,6769.57,6915.81,7077.47,6617.11,5675.04,5773.33,5893.31,6689.68,6882.82,6756.16,7603.60,7705.57,7362.66,7299.19,6796.86,7402.76,9231.09,6892.82,31.28,27.26,29.24,31.88,32.26,33.16,34.15,31.32,25.53,26.14,26.87,31.77,32.96,32.18,37.38,38.01,35.90,35.51,32.43,36.15,47.39,33.02
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,5.476759e-07,5.01891e-07,1.70315e-07,1.542189e-07,1.720186e-07,1.565515e-07,1.712809e-07,1.561945e-07,1.691842e-07,1.554159e-07,1.450551e-07,1.33237e-07,1.296018e-07,1.194416e-07,1.693484e-07,1.548745e-07,1.718627e-07,1.543502e-07,1.479245e-07,1.334487e-07,1.715497e-07,1.552558e-07,7.052133e-07,6.43912e-07,2.184005e-07,2.002967e-07,2.170993e-07,1.986611e-07,2.161407e-07,2.009883e-07,2.177076e-07,2.033352e-07,2.157181e-07,1.989735e-07,1.914437e-07,1.763798e-07,2.159013e-07,1.973798e-07,1.928468e-07,1.783657e-07,1.921541e-07,1.802765e-07,2.218763e-07,2.029273e-07,72.39,63.27,66.84,68.37,74.54,74.45,77.63,70.66,58.20,60.88,62.92,69.36,73.06,71.15,87.59,93.42,78.47,77.32,70.37,81.34,100.23,70.72,6839.53,5978.00,6315.20,6459.80,7042.94,7034.22,7334.87,6676.26,5499.18,5751.89,5945.13,6553.84,6903.08,6722.54,8276.15,8827.18,7414.12,7305.51,6649.14,7685.08,9469.98,6681.79,32.69,27.40,29.47,30.36,33.94,33.89,35.73,31.69,24.45,26.01,27.19,30.93,33.08,31.97,41.52,44.90,36.22,35.55,31.52,37.89,48.85,31.72
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,5.495553e-07,5.047821e-07,1.709454e-07,1.547838e-07,1.732751e-07,1.575403e-07,1.724155e-07,1.570621e-07,1.697383e-07,1.589357e-07,1.454799e-07,1.336747e-07,1.297662e-07,1.200069e-07,1.6968e-07,1.554143e-07,1.726711e-07,1.548333e-07,1.487347e-07,1.342811e-07,1.728318e-07,1.563534e-07,7.109113e-07,6.494012e-07,2.203097e-07,2.020404e-07,2.190591e-07,2.002238e-07,2.173799e-07,2.034056e-07,2.190613e-07,2.077272e-07,2.169656e-07,2.002384e-07,1.92708e-07,1.771796e-07,2.170745e-07,1.983188e-07,1.938911e-07,1.798606e-07,1.934598e-07,1.82203e-07,2.248491e-07,2.057788e-07,74.45,63.24,66.12,67.55,97.16,74.77,81.20,71.94,57.32,61.35,62.66,69.72,73.03,70.20,96.12,121.03,79.05,75.35,69.82,84.65,106.88,71.26,7034.36,5975.58,6246.97,6382.72,9179.77,7065.04,7672.31,6797.30,5415.79,5796.66,5920.13,6587.27,6900.10,6632.57,9081.80,11435.24,7469.01,7119.11,6597.35,7998.37,10099.02,6732.59,33.89,27.38,29.05,29.88,47.07,34.08,37.81,32.43,23.94,26.28,27.04,31.14,33.06,31.42,46.47,60.93,36.56,34.41,31.20,39.81,52.72,32.03
