Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,5.197107e-07,4.838612e-07,1.503547e-07,1.406099e-07,1.677445e-07,1.589549e-07,1.490464e-07,1.409411e-07,1.68426e-07,1.575842e-07,7.987055e-08,7.911198e-08,1.712663e-07,1.606882e-07,1.368826e-07,1.277753e-07,1.542849e-07,1.439736e-07,1.733139e-07,1.609871e-07,1.512069e-07,1.430842e-07,5.053682e-07,4.583068e-07,2.073261e-07,1.87757e-07,2.320796e-07,2.09679e-07,2.059469e-07,1.872332e-07,2.075528e-07,1.860995e-07,1.764558e-07,1.663056e-07,2.072503e-07,1.873568e-07,2.084588e-07,1.890843e-07,2.07686e-07,1.884638e-07,2.334631e-07,2.11983e-07,2.333528e-07,2.13348e-07,89.14,95.30,119.44,114.84,96.00,688.79,100.33,92.66,92.22,86.25,116.34,64.32,63.37,61.82,66.08,57.29,108.21,62.20,64.46,64.75,65.18,70.44,8422.53,9004.25,11285.20,10851.09,9070.18,65080.55,9479.40,8755.12,8713.13,8149.77,10992.49,6077.10,5987.28,5841.17,6243.50,5413.22,10224.38,5877.10,6090.17,6118.28,6158.42,6655.17,42.41,45.99,60.01,57.34,46.39,390.59,48.91,44.46,44.20,40.74,58.21,28.00,27.45,26.55,29.02,23.92,53.49,26.77,28.08,28.25,28.50,31.55
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,5.215703e-07,4.846615e-07,1.51399e-07,1.417267e-07,1.687438e-07,1.598516e-07,1.50104e-07,1.418738e-07,1.695416e-07,1.586653e-07,8.101568e-08,8.014324e-08,1.719558e-07,1.616264e-07,1.379296e-07,1.28478e-07,1.553058e-07,1.446425e-07,1.741451e-07,1.617317e-07,1.522258e-07,1.439497e-07,5.077252e-07,4.602716e-07,2.083922e-07,1.886056e-07,2.328364e-07,2.103054e-07,2.065913e-07,1.876525e-07,2.082654e-07,1.865451e-07,1.771941e-07,1.669602e-07,2.08007e-07,1.8812e-07,2.09234e-07,1.89687e-07,2.083932e-07,1.891319e-07,2.34007e-07,2.122842e-07,2.344336e-07,2.139651e-07,86.74,96.79,118.74,113.87,96.36,606.79,103.36,89.79,89.60,86.06,114.89,64.07,62.96,61.66,65.45,56.73,107.77,62.48,64.10,64.86,64.55,69.05,8195.57,9145.18,11219.62,10758.76,9104.82,57332.61,9765.79,8483.87,8465.93,8131.58,10855.64,6053.62,5949.13,5825.60,6184.04,5360.29,10182.21,5903.86,6056.59,6128.43,6099.19,6524.20,41.02,46.86,59.60,56.77,46.61,342.97,50.67,42.79,42.68,40.63,57.37,27.86,27.22,26.46,28.66,23.60,53.23,26.94,27.88,28.32,28.14,30.75
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,5.198586e-07,4.824149e-07,1.503359e-07,1.404654e-07,1.675715e-07,1.589383e-07,1.489774e-07,1.407635e-07,1.683799e-07,1.576942e-07,8.011142e-08,7.909664e-08,1.708733e-07,1.603591e-07,1.367519e-07,1.273384e-07,1.540457e-07,1.434524e-07,1.730262e-07,1.602853e-07,1.510551e-07,1.427865e-07,5.065995e-07,4.599394e-07,2.075184e-07,1.877973e-07,2.322025e-07,2.097247e-07,2.062614e-07,1.868093e-07,2.080804e-07,1.860084e-07,1.77201e-07,1.662226e-07,2.076523e-07,1.87335e-07,2.08527e-07,1.888416e-07,2.075373e-07,1.881478e-07,2.334136e-07,2.116566e-07,2.333473e-07,2.138644e-07,85.09,93.99,121.59,113.18,97.47,514.79,100.73,89.34,89.44,83.09,114.05,65.10,62.89,61.62,63.43,55.66,100.00,60.90,63.36,64.09,64.25,72.50,8039.82,8880.45,11488.45,10694.13,9209.10,48639.69,9517.48,8441.37,8450.48,7850.52,10776.05,6151.20,5942.41,5822.38,5992.89,5258.91,9448.34,5753.84,5986.29,6055.32,6070.68,6849.98,40.06,45.23,61.25,56.37,47.25,289.55,49.14,42.53,42.59,38.90,56.88,28.46,27.17,26.44,27.48,22.97,48.72,26.02,27.44,27.87,27.96,32.75
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,5.212412e-07,4.81652e-07,1.505446e-07,1.405173e-07,1.676125e-07,1.585998e-07,1.489403e-07,1.406299e-07,1.683175e-07,1.575033e-07,8.007039e-08,7.899133e-08,1.706937e-07,1.601204e-07,1.364282e-07,1.270514e-07,1.537933e-07,1.430282e-07,1.726257e-07,1.598353e-07,1.507837e-07,1.422759e-07,5.098162e-07,4.621405e-07,2.082183e-07,1.881832e-07,2.322778e-07,2.094371e-07,2.063789e-07,1.865968e-07,2.083038e-07,1.858084e-07,1.772798e-07,1.662315e-07,2.076421e-07,1.873769e-07,2.085021e-07,1.884892e-07,2.074115e-07,1.880885e-07,2.330835e-07,2.114738e-07,2.334629e-07,2.139246e-07,80.35,92.55,116.22,111.76,96.19,483.48,100.02,89.49,87.75,82.53,110.45,64.02,62.03,60.56,62.30,54.55,99.37,61.07,62.20,64.29,64.63,72.31,7592.09,8744.81,10981.26,10559.91,9088.66,45681.30,9450.19,8455.31,8291.03,7798.18,10435.63,6048.97,5861.30,5722.01,5886.22,5154.38,9389.07,5769.92,5877.34,6074.25,6106.78,6832.48,37.31,44.40,58.14,55.55,46.51,271.37,48.73,42.62,41.61,38.58,54.79,27.83,26.68,25.82,26.83,22.33,48.35,26.11,26.77,27.98,28.18,32.64
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,5.213395e-07,4.807921e-07,1.503556e-07,1.406709e-07,1.67676e-07,1.591015e-07,1.489219e-07,1.406809e-07,1.685175e-07,1.57635e-07,8.023971e-08,7.905441e-08,1.705495e-07,1.599317e-07,1.361405e-07,1.266016e-07,1.532612e-07,1.426568e-07,1.72289e-07,1.592851e-07,1.505615e-07,1.419373e-07,5.109402e-07,4.635767e-07,2.088072e-07,1.886228e-07,2.331506e-07,2.098952e-07,2.070389e-07,1.867971e-07,2.092749e-07,1.863022e-07,1.78142e-07,1.665178e-07,2.081572e-07,1.875606e-07,2.087679e-07,1.886776e-07,2.0784e-07,1.880575e-07,2.333826e-07,2.120394e-07,2.33427e-07,2.14679e-07,78.30,95.92,122.53,112.73,95.65,440.43,99.47,87.64,88.83,80.89,108.68,64.63,61.71,59.60,60.94,53.55,94.60,60.13,62.02,62.77,65.60,75.62,7398.32,9062.69,11577.22,10651.09,9037.80,41613.73,9398.07,8280.94,8393.54,7642.59,10268.73,6106.84,5830.65,5631.42,5757.84,5059.93,8937.92,5681.79,5859.66,5931.28,6198.63,7144.53,36.12,46.35,61.80,56.11,46.20,246.38,48.41,41.55,42.24,37.62,53.76,28.19,26.49,25.26,26.04,21.75,45.58,25.57,26.67,27.11,28.75,34.56
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,5.201395e-07,4.805328e-07,1.50083e-07,1.408457e-07,1.676259e-07,1.589839e-07,1.487231e-07,1.407553e-07,1.684895e-07,1.576312e-07,8.02522e-08,7.905543e-08,1.704215e-07,1.597737e-07,1.357565e-07,1.26254e-07,1.527578e-07,1.421086e-07,1.715987e-07,1.582575e-07,1.504086e-07,1.413339e-07,5.119115e-07,4.648211e-07,2.091691e-07,1.894991e-07,2.338629e-07,2.099728e-07,2.072253e-07,1.868341e-07,2.099124e-07,1.862664e-07,1.786964e-07,1.668696e-07,2.087947e-07,1.878905e-07,2.092768e-07,1.886104e-07,2.080882e-07,1.88119e-07,2.335797e-07,2.11893e-07,2.338435e-07,2.149656e-07,80.12,100.69,121.48,116.65,95.86,436.21,99.09,87.74,88.12,78.33,102.85,65.18,63.62,58.04,60.50,52.02,93.17,59.35,60.27,62.21,64.52,75.20,7569.95,9513.44,11478.30,11022.12,9057.73,41215.43,9362.34,8289.84,8326.11,7401.30,9717.46,6158.75,6010.93,5483.83,5716.79,4914.91,8803.37,5608.03,5694.29,5877.75,6096.24,7104.84,37.18,49.12,61.19,58.39,46.32,243.93,48.19,41.60,41.82,36.14,50.37,28.51,27.60,24.36,25.79,20.86,44.76,25.12,25.65,26.78,28.12,34.32
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,5.181543e-07,4.783167e-07,1.494388e-07,1.40717e-07,1.672392e-07,1.592505e-07,1.485261e-07,1.40593e-07,1.684985e-07,1.577226e-07,8.04535e-08,7.899544e-08,1.698532e-07,1.590437e-07,1.351159e-07,1.255611e-07,1.518256e-07,1.411418e-07,1.707956e-07,1.57312e-07,1.497429e-07,1.406395e-07,5.11012e-07,4.641615e-07,2.087632e-07,1.894502e-07,2.341884e-07,2.100804e-07,2.077455e-07,1.864015e-07,2.105686e-07,1.863562e-07,1.793751e-07,1.667354e-07,2.090204e-07,1.878336e-07,2.092369e-07,1.883193e-07,2.078538e-07,1.874932e-07,2.333206e-07,2.120959e-07,2.332202e-07,2.154652e-07,79.29,106.54,131.64,117.03,96.65,357.77,97.16,86.78,87.24,77.04,102.02,65.42,64.78,57.54,57.67,50.83,87.11,58.54,59.45,60.81,65.99,80.14,7491.37,10066.52,12437.80,11057.57,9132.28,33803.80,9180.15,8199.22,8242.69,7279.39,9639.23,6181.50,6120.46,5437.05,5448.95,4802.25,8230.57,5531.55,5617.23,5745.58,6234.90,7571.73,36.70,52.52,67.09,58.61,46.78,198.39,47.07,41.04,41.31,35.39,49.89,28.65,28.27,24.07,24.14,20.17,41.24,24.65,25.18,25.97,28.97,37.19
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,5.177833e-07,4.76653e-07,1.489208e-07,1.404764e-07,1.666289e-07,1.588956e-07,1.480814e-07,1.402783e-07,1.679605e-07,1.571844e-07,8.034615e-08,7.875308e-08,1.693001e-07,1.584942e-07,1.343378e-07,1.246896e-07,1.509446e-07,1.401482e-07,1.698055e-07,1.562065e-07,1.492843e-07,1.397262e-07,5.11558e-07,4.654286e-07,2.093949e-07,1.900976e-07,2.340066e-07,2.094835e-07,2.076269e-07,1.857906e-07,2.106744e-07,1.863501e-07,1.798787e-07,1.666259e-07,2.094745e-07,1.878895e-07,2.090515e-07,1.880739e-07,2.078257e-07,1.870333e-07,2.329032e-07,2.117552e-07,2.331552e-07,2.155019e-07,76.53,109.85,135.68,118.71,96.32,326.44,96.86,85.34,85.72,75.85,96.53,66.63,65.05,56.41,56.19,50.59,83.03,57.48,59.20,59.40,66.12,80.61,7230.68,10379.43,12819.94,11216.62,9100.95,30844.06,9151.48,8063.49,8099.30,7166.89,9121.06,6295.27,6146.37,5329.83,5308.64,4780.00,7844.65,5431.12,5593.86,5612.46,6247.46,7616.65,35.09,54.44,69.44,59.59,46.59,180.20,46.90,40.21,40.43,34.70,46.71,29.34,28.43,23.41,23.28,20.03,38.87,24.03,25.03,25.15,29.05,37.46
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,5.17735e-07,4.758835e-07,1.486816e-07,1.410627e-07,1.666466e-07,1.596385e-07,1.481885e-07,1.406675e-07,1.684434e-07,1.579298e-07,8.058348e-08,7.889658e-08,1.692249e-07,1.582099e-07,1.338714e-07,1.242766e-07,1.50225e-07,1.393723e-07,1.693031e-07,1.558385e-07,1.492888e-07,1.392533e-07,5.124261e-07,4.668548e-07,2.100508e-07,1.911897e-07,2.351308e-07,2.106891e-07,2.087265e-07,1.864531e-07,2.127037e-07,1.89671e-07,1.81053e-07,1.673068e-07,2.102761e-07,1.885229e-07,2.100076e-07,1.882574e-07,2.084393e-07,1.87311e-07,2.338871e-07,2.135335e-07,2.336837e-07,2.178242e-07,75.09,122.26,150.42,123.51,99.19,308.85,94.85,85.53,84.80,76.43,91.63,67.65,66.94,56.92,55.28,54.38,80.37,57.23,57.16,58.54,69.28,90.70,7094.61,11552.04,14212.69,11669.63,9372.41,29181.51,8961.65,8081.51,8012.68,7221.38,8657.76,6391.89,6324.65,5378.36,5223.02,5138.01,7593.99,5407.29,5400.42,5531.43,6545.81,8569.50,34.26,61.65,78.00,62.37,48.26,169.98,45.73,40.32,39.90,35.04,43.86,29.94,29.53,23.71,22.76,22.23,37.33,23.89,23.85,24.65,30.89,43.32
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,5.16993e-07,4.745354e-07,1.481607e-07,1.40906e-07,1.662387e-07,1.596052e-07,1.47802e-07,1.404437e-07,1.681448e-07,1.586872e-07,8.057238e-08,7.874763e-08,1.686469e-07,1.575642e-07,1.331289e-07,1.235743e-07,1.492008e-07,1.383668e-07,1.686686e-07,1.552546e-07,1.490116e-07,1.387057e-07,5.139874e-07,4.689214e-07,2.10485e-07,1.920192e-07,2.356483e-07,2.104138e-07,2.090448e-07,1.859879e-07,2.12937e-07,1.98372e-07,1.817113e-07,1.673576e-07,2.109382e-07,1.884793e-07,2.101163e-07,1.87993e-07,2.085924e-07,1.870584e-07,2.348003e-07,2.144906e-07,2.347769e-07,2.197039e-07,73.81,128.26,158.88,126.04,110.80,284.98,93.88,85.41,84.34,76.43,88.88,68.71,68.67,55.06,53.27,89.94,76.99,55.42,56.11,57.36,69.74,96.25,6973.52,12118.50,15012.16,11908.68,10468.87,26926.07,8870.56,8069.65,7968.60,7221.46,8397.45,6492.17,6488.07,5202.58,5032.95,8497.84,7274.79,5236.17,5301.89,5419.90,6589.37,9094.46,33.51,65.13,82.91,63.84,54.99,156.12,45.17,40.25,39.63,35.04,42.26,30.56,30.53,22.63,21.59,42.88,35.37,22.84,23.24,23.97,31.15,46.55
