Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,5.51036e-07,5.183154e-07,1.719178e-07,1.623166e-07,1.538445e-07,1.446223e-07,1.53051e-07,1.450343e-07,1.717696e-07,1.631688e-07,1.541904e-07,1.460248e-07,1.736482e-07,1.628678e-07,1.545769e-07,1.459231e-07,1.737785e-07,1.638516e-07,1.723672e-07,1.623364e-07,1.538367e-07,1.454252e-07,6.921562e-07,6.536927e-07,1.886366e-07,1.774476e-07,1.878282e-07,1.768777e-07,1.866023e-07,1.767028e-07,1.885722e-07,1.768492e-07,1.889504e-07,1.775281e-07,1.884427e-07,1.7785e-07,1.890944e-07,1.784181e-07,1.891173e-07,1.775465e-07,1.884029e-07,1.781295e-07,1.892137e-07,1.786827e-07,104.62,111.66,103.57,119.49,125.30,118.11,99.78,111.37,109.01,106.89,114.18,112.24,104.74,106.68,117.89,99.63,102.65,110.89,110.37,101.34,114.52,112.06,9885.02,10549.75,9786.00,11289.63,11838.67,11159.46,9427.68,10522.57,10300.11,10099.15,10788.74,10605.46,9896.54,10079.61,11138.71,9413.89,9698.80,10477.36,10428.52,9575.32,10819.98,10588.09,51.40,55.49,50.79,60.03,63.41,59.23,48.59,55.32,53.95,52.72,56.95,55.83,51.47,52.60,59.10,48.51,50.26,55.04,54.74,49.50,57.15,55.72
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,5.569581e-07,5.234958e-07,1.740114e-07,1.641365e-07,1.557817e-07,1.465575e-07,1.549722e-07,1.469817e-07,1.738126e-07,1.650048e-07,1.559752e-07,1.478539e-07,1.757007e-07,1.648935e-07,1.565408e-07,1.477809e-07,1.757579e-07,1.658009e-07,1.742021e-07,1.64239e-07,1.556973e-07,1.471506e-07,6.935466e-07,6.554114e-07,1.895658e-07,1.784766e-07,1.888294e-07,1.778843e-07,1.877988e-07,1.774548e-07,1.896247e-07,1.778684e-07,1.899296e-07,1.783089e-07,1.894609e-07,1.787864e-07,1.900931e-07,1.794544e-07,1.900145e-07,1.78499e-07,1.89262e-07,1.788461e-07,1.901922e-07,1.795298e-07,103.34,109.79,104.95,121.51,123.75,120.26,100.79,111.44,109.99,108.89,113.73,113.53,106.31,107.36,113.32,99.94,101.36,110.64,111.42,102.39,113.42,111.22,9764.00,10373.92,9916.30,11480.47,11692.29,11362.60,9522.71,10529.06,10392.71,10288.50,10745.68,10726.51,10045.03,10143.51,10707.04,9442.75,9576.59,10453.39,10527.76,9674.39,10716.50,10508.77,50.66,54.41,51.59,61.21,62.51,60.48,49.18,55.36,54.52,53.88,56.69,56.57,52.39,52.99,56.45,48.68,49.51,54.89,55.35,50.11,56.51,55.23
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,5.635837e-07,5.283814e-07,1.753557e-07,1.654013e-07,1.570229e-07,1.477741e-07,1.559647e-07,1.481371e-07,1.752785e-07,1.662307e-07,1.572092e-07,1.490051e-07,1.771029e-07,1.660362e-07,1.576175e-07,1.486391e-07,1.771076e-07,1.668443e-07,1.756709e-07,1.652012e-07,1.568308e-07,1.481554e-07,6.951886e-07,6.56612e-07,1.900443e-07,1.786297e-07,1.892745e-07,1.778298e-07,1.880127e-07,1.776555e-07,1.897408e-07,1.779982e-07,1.902078e-07,1.785078e-07,1.895802e-07,1.789135e-07,1.901515e-07,1.792403e-07,1.900922e-07,1.786293e-07,1.896121e-07,1.791721e-07,1.903588e-07,1.797367e-07,99.13,109.74,105.52,124.99,121.34,119.95,99.09,109.34,107.37,104.21,112.79,112.42,103.36,102.62,113.29,100.11,100.77,110.78,108.49,102.92,113.35,111.76,9366.58,10368.80,9970.51,11809.73,11464.97,11333.78,9362.44,10330.91,10144.46,9846.54,10656.94,10621.59,9765.57,9696.27,10703.87,9459.23,9520.86,10466.89,10251.04,9724.40,10709.63,10559.20,48.22,54.37,51.93,63.23,61.11,60.30,48.19,54.14,53.00,51.17,56.15,55.93,50.67,50.24,56.43,48.79,49.16,54.98,53.65,50.41,56.47,55.54
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,5.703306e-07,5.341719e-07,1.774657e-07,1.672996e-07,1.586682e-07,1.493497e-07,1.576234e-07,1.498254e-07,1.769256e-07,1.681219e-07,1.588738e-07,1.504909e-07,1.789189e-07,1.676335e-07,1.592074e-07,1.500778e-07,1.788869e-07,1.684694e-07,1.77406e-07,1.667767e-07,1.583365e-07,1.495047e-07,6.975009e-07,6.572727e-07,1.910073e-07,1.793118e-07,1.901305e-07,1.785299e-07,1.884092e-07,1.781289e-07,1.904948e-07,1.7864e-07,1.906866e-07,1.787884e-07,1.902734e-07,1.792789e-07,1.906456e-07,1.794863e-07,1.90724e-07,1.79019e-07,1.90022e-07,1.796871e-07,1.908278e-07,1.803434e-07,97.57,108.69,105.85,126.89,126.12,118.57,98.10,108.57,106.81,103.63,111.80,107.91,101.26,101.64,114.44,99.52,99.24,107.69,106.23,101.01,114.83,113.61,9218.77,10269.40,10001.45,11989.66,11916.91,11202.65,9269.33,10258.16,10091.65,9791.19,10563.56,10195.76,9567.42,9603.62,10812.68,9403.49,9376.97,10175.56,10036.89,9544.04,10849.64,10733.99,47.31,53.76,52.12,64.34,63.89,59.50,47.62,53.70,52.67,50.83,55.57,53.31,49.45,49.67,57.10,48.44,48.28,53.19,52.34,49.31,57.33,56.62
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,5.775824e-07,5.399843e-07,1.794526e-07,1.690434e-07,1.605543e-07,1.512549e-07,1.592792e-07,1.515021e-07,1.791362e-07,1.700322e-07,1.604947e-07,1.522004e-07,1.807226e-07,1.692833e-07,1.60842e-07,1.514118e-07,1.806224e-07,1.701417e-07,1.792971e-07,1.682497e-07,1.598789e-07,1.508396e-07,6.996005e-07,6.588464e-07,1.921701e-07,1.799672e-07,1.910893e-07,1.788924e-07,1.889264e-07,1.786142e-07,1.908794e-07,1.795328e-07,1.913933e-07,1.794883e-07,1.907025e-07,1.797002e-07,1.910247e-07,1.797498e-07,1.911598e-07,1.795134e-07,1.90669e-07,1.803875e-07,1.915289e-07,1.809004e-07,94.84,107.24,107.41,128.64,123.33,121.17,97.72,106.03,107.20,100.57,110.19,106.76,97.39,96.85,114.38,104.49,99.56,107.86,105.28,101.78,115.86,112.39,8960.95,10132.57,10148.30,12154.58,11653.00,11449.19,9233.23,10017.92,10128.83,9502.40,10411.65,10086.76,9201.72,9151.27,10806.96,9872.27,9406.88,10190.70,9947.06,9617.10,10946.84,10619.56,45.72,52.92,53.02,65.35,62.27,61.01,47.40,52.22,52.90,49.05,54.64,52.64,47.20,46.89,57.07,51.32,48.46,53.28,51.78,49.76,57.93,55.92
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,5.837674e-07,5.455367e-07,1.81446e-07,1.707619e-07,1.622394e-07,1.53009e-07,1.610373e-07,1.532194e-07,1.807871e-07,1.717337e-07,1.620873e-07,1.537137e-07,1.822748e-07,1.711548e-07,1.620355e-07,1.527855e-07,1.823408e-07,1.716144e-07,1.809382e-07,1.697752e-07,1.613065e-07,1.521054e-07,7.011969e-07,6.604859e-07,1.928051e-07,1.80484e-07,1.917479e-07,1.792019e-07,1.892509e-07,1.791673e-07,1.912724e-07,1.801879e-07,1.917146e-07,1.798064e-07,1.913473e-07,1.798856e-07,1.914689e-07,1.797103e-07,1.915065e-07,1.797304e-07,1.910088e-07,1.808423e-07,1.921735e-07,1.814034e-07,94.23,105.54,109.46,129.42,125.26,121.22,101.64,109.07,105.65,100.43,109.16,107.13,96.73,94.32,117.33,107.35,99.71,103.64,100.92,100.79,117.46,111.22,8903.29,9972.22,10342.73,12228.20,11835.39,11453.53,9603.36,10305.74,9982.48,9489.26,10314.39,10122.57,9139.62,8912.02,11086.18,10142.58,9421.02,9792.33,9535.78,9522.67,11098.58,10509.08,45.37,51.94,54.22,65.80,63.39,61.04,49.67,53.99,52.00,48.97,54.04,52.86,46.82,45.42,58.78,52.99,48.55,50.83,49.26,49.18,58.86,55.24
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,5.908663e-07,5.514844e-07,1.834124e-07,1.728482e-07,1.640944e-07,1.552489e-07,1.62942e-07,1.551589e-07,1.828946e-07,1.740448e-07,1.637519e-07,1.555041e-07,1.842579e-07,1.727679e-07,1.636946e-07,1.542731e-07,1.841882e-07,1.729998e-07,1.828229e-07,1.711932e-07,1.629805e-07,1.535761e-07,7.034712e-07,6.60548e-07,1.939825e-07,1.813004e-07,1.926653e-07,1.797387e-07,1.896433e-07,1.797374e-07,1.917405e-07,1.811728e-07,1.922345e-07,1.804139e-07,1.918794e-07,1.8029e-07,1.916959e-07,1.799724e-07,1.91918e-07,1.803368e-07,1.915989e-07,1.817523e-07,1.928578e-07,1.818446e-07,92.47,108.04,115.90,131.64,129.87,124.50,99.29,108.13,102.11,97.21,107.84,101.62,94.40,91.82,119.82,113.21,100.79,102.73,101.37,102.83,121.89,109.03,8737.26,10208.62,10950.78,12438.35,12270.62,11763.66,9381.71,10216.66,9647.54,9184.53,10189.00,9601.77,8919.62,8675.53,11320.96,10696.74,9522.90,9706.21,9578.28,9715.60,11516.82,10302.10,44.35,53.39,57.95,67.09,66.06,62.95,48.31,53.44,49.94,47.10,53.27,49.66,45.47,43.97,60.23,56.39,49.18,50.31,49.52,50.36,61.43,53.97
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,5.982142e-07,5.573498e-07,1.85395e-07,1.745857e-07,1.660601e-07,1.572697e-07,1.647285e-07,1.571153e-07,1.848743e-07,1.760671e-07,1.655492e-07,1.573609e-07,1.859808e-07,1.745796e-07,1.650373e-07,1.553813e-07,1.859072e-07,1.744612e-07,1.845935e-07,1.728893e-07,1.644634e-07,1.547744e-07,7.037196e-07,6.61912e-07,1.949624e-07,1.819361e-07,1.93781e-07,1.801468e-07,1.901635e-07,1.800276e-07,1.921739e-07,1.827588e-07,1.928757e-07,1.806477e-07,1.924425e-07,1.80499e-07,1.921633e-07,1.802142e-07,1.92243e-07,1.805319e-07,1.919757e-07,1.824273e-07,1.934515e-07,1.825139e-07,90.07,106.66,118.14,136.28,132.01,126.91,101.12,106.26,100.65,97.54,105.49,104.55,92.23,87.25,117.29,128.18,97.56,99.80,99.59,101.80,126.16,110.19,8509.84,10077.43,11162.86,12876.27,12473.24,11990.63,9553.92,10040.15,9510.08,9216.48,9966.88,9878.34,8714.38,8243.96,11081.94,12111.34,9217.56,9429.36,9410.07,9618.23,11920.60,10411.49,42.95,52.59,59.26,69.79,67.31,64.34,49.37,52.36,49.10,47.30,51.91,51.36,44.21,41.32,58.76,65.08,47.30,48.60,48.49,49.76,63.91,54.64
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,6.066493e-07,5.641885e-07,1.875909e-07,1.767867e-07,1.680053e-07,1.595541e-07,1.666434e-07,1.591732e-07,1.871116e-07,1.784021e-07,1.673643e-07,1.591262e-07,1.879312e-07,1.762867e-07,1.665713e-07,1.569249e-07,1.87918e-07,1.761707e-07,1.864523e-07,1.748553e-07,1.661289e-07,1.560361e-07,7.060007e-07,6.63476e-07,1.963597e-07,1.829135e-07,1.948839e-07,1.80978e-07,1.906431e-07,1.808693e-07,1.927784e-07,1.925878e-07,1.934135e-07,1.814117e-07,1.929354e-07,1.80814e-07,1.925546e-07,1.803314e-07,1.929696e-07,1.809615e-07,1.926365e-07,1.833355e-07,1.944832e-07,1.832005e-07,87.74,108.05,124.67,140.71,135.26,127.55,99.97,107.42,99.03,99.57,102.09,103.03,89.83,85.94,122.20,6672.40,99.81,98.50,97.42,99.51,130.16,107.22,8290.39,10209.30,11779.54,13294.64,12780.43,12051.84,9445.77,10149.99,9356.95,9407.45,9646.11,9734.71,8487.60,8120.18,11546.23,630441.42,9431.00,9307.18,9205.03,9402.66,12298.60,10131.00,41.61,53.40,63.05,72.36,69.20,64.72,48.71,53.03,48.16,48.47,49.94,50.48,42.82,40.56,61.61,3864.76,48.62,47.85,47.23,48.44,66.24,52.92
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,6.138761e-07,5.704964e-07,1.898966e-07,1.788047e-07,1.699781e-07,1.619073e-07,1.685875e-07,1.612418e-07,1.890629e-07,1.808417e-07,1.689082e-07,1.610594e-07,1.896074e-07,1.780855e-07,1.679163e-07,1.581643e-07,1.897262e-07,1.777262e-07,1.885935e-07,1.766998e-07,1.677516e-07,1.572582e-07,7.076441e-07,6.639626e-07,1.976253e-07,1.836728e-07,1.959993e-07,1.813705e-07,1.91195e-07,1.814516e-07,1.932861e-07,2.229994e-07,1.937662e-07,1.817112e-07,1.934546e-07,1.811724e-07,1.930312e-07,1.80365e-07,1.931962e-07,1.814138e-07,1.933239e-07,1.840669e-07,1.954983e-07,1.836189e-07,86.84,106.45,132.47,144.95,145.26,135.51,102.07,107.10,97.80,98.11,98.96,100.37,86.93,81.87,122.98,-49.56,99.54,97.41,94.03,101.67,131.31,102.07,8205.50,10058.01,12516.67,13695.67,13724.68,12803.29,9643.69,10119.37,9240.79,9269.53,9350.52,9483.86,8213.56,7735.65,11619.55,-4682.65,9404.88,9203.54,8884.74,9606.73,12406.36,9644.10,41.09,52.47,67.58,74.82,75.00,69.34,49.92,52.85,47.45,47.62,48.12,48.94,41.13,38.20,62.06,-38.11,48.46,47.22,45.26,49.70,66.90,49.93
