Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,6.828176e-07,6.305741e-07,1.729049e-07,1.602178e-07,2.409945e-07,2.245729e-07,2.706216e-07,2.521606e-07,2.721776e-07,2.522004e-07,2.428877e-07,2.23706e-07,2.436567e-07,2.252653e-07,2.746304e-07,2.530677e-07,2.754113e-07,2.531705e-07,1.745121e-07,1.612824e-07,2.734632e-07,2.525686e-07,6.391539e-07,5.777184e-07,1.81969e-07,1.656964e-07,2.046352e-07,1.847093e-07,2.040993e-07,1.840826e-07,2.265965e-07,2.045113e-07,2.273634e-07,2.049474e-07,2.025138e-07,1.836902e-07,1.795379e-07,1.64291e-07,2.261295e-07,2.049263e-07,1.420721e-07,1.284378e-07,2.275817e-07,2.065427e-07,79.72,83.40,90.32,90.21,83.38,77.03,80.89,77.51,75.18,80.52,79.83,62.11,67.25,61.22,60.74,61.16,60.38,64.45,71.17,63.83,62.22,64.84,7531.97,7880.49,8533.88,8523.67,7878.00,7277.72,7643.36,7323.83,7103.42,7607.49,7543.10,5868.15,6354.20,5784.63,5738.85,5778.57,5705.44,6089.59,6724.14,6031.16,5878.47,6126.17,36.94,39.08,43.10,43.04,39.07,35.38,37.63,35.66,34.31,37.41,37.01,26.72,29.70,26.20,25.92,26.17,25.72,28.08,31.98,27.72,26.78,28.30
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,6.918e-07,6.391069e-07,1.759561e-07,1.631489e-07,2.449187e-07,2.281834e-07,2.749223e-07,2.561479e-07,2.762718e-07,2.562503e-07,2.468703e-07,2.2721e-07,2.473862e-07,2.289231e-07,2.786406e-07,2.569836e-07,2.796095e-07,2.571611e-07,1.772845e-07,1.639959e-07,2.77451e-07,2.56607e-07,6.400895e-07,5.780848e-07,1.825533e-07,1.66067e-07,2.05381e-07,1.854205e-07,2.048907e-07,1.848848e-07,2.277587e-07,2.052933e-07,2.282306e-07,2.056603e-07,2.033659e-07,1.843325e-07,1.804565e-07,1.649864e-07,2.268747e-07,2.057087e-07,1.428914e-07,1.29231e-07,2.284956e-07,2.070126e-07,80.12,84.15,90.07,90.12,84.54,76.34,81.90,78.38,75.67,81.52,81.32,61.58,66.54,61.36,61.05,60.36,60.19,63.97,70.45,64.20,62.49,63.65,7569.90,7950.61,8509.83,8515.21,7988.00,7212.86,7738.47,7405.89,7149.74,7702.37,7683.48,5818.85,6286.81,5797.71,5767.84,5703.36,5687.00,6044.44,6656.19,6065.75,5904.37,6014.12,37.18,39.51,42.95,42.98,39.74,34.98,38.21,36.17,34.59,37.99,37.87,26.41,29.29,26.28,26.10,25.70,25.60,27.80,31.56,27.93,26.94,27.61
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,6.986615e-07,6.455563e-07,1.77354e-07,1.644968e-07,2.469737e-07,2.305399e-07,2.774678e-07,2.586464e-07,2.78658e-07,2.584647e-07,2.488607e-07,2.292481e-07,2.494871e-07,2.307872e-07,2.808298e-07,2.588778e-07,2.819453e-07,2.591013e-07,1.785843e-07,1.648229e-07,2.797105e-07,2.58447e-07,6.405508e-07,5.780026e-07,1.823217e-07,1.651811e-07,2.052202e-07,1.845856e-07,2.045162e-07,1.84193e-07,2.278497e-07,2.051083e-07,2.283739e-07,2.049756e-07,2.028612e-07,1.834603e-07,1.799588e-07,1.642435e-07,2.264441e-07,2.051754e-07,1.423393e-07,1.284596e-07,2.278075e-07,2.068922e-07,80.29,84.50,92.65,90.76,84.53,77.20,81.51,77.89,74.91,79.10,80.27,61.03,63.65,59.08,59.86,59.57,57.86,62.45,69.03,63.71,61.13,65.33,7585.81,7983.91,8754.12,8575.49,7987.27,7294.16,7701.53,7359.11,7077.86,7474.11,7584.75,5766.60,6013.66,5582.21,5655.69,5628.21,5466.67,5900.99,6521.84,6019.90,5775.52,6172.83,37.27,39.72,44.45,43.35,39.74,35.48,37.98,35.88,34.15,36.59,37.27,26.09,27.61,24.96,25.41,25.24,24.25,26.92,30.73,27.65,26.15,28.59
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,7.084765e-07,6.540043e-07,1.798846e-07,1.667224e-07,2.50168e-07,2.338567e-07,2.808229e-07,2.62231e-07,2.822745e-07,2.617e-07,2.520177e-07,2.32152e-07,2.524319e-07,2.335357e-07,2.841453e-07,2.618589e-07,2.852087e-07,2.621968e-07,1.805147e-07,1.665658e-07,2.830473e-07,2.617456e-07,6.429314e-07,5.802301e-07,1.826956e-07,1.654114e-07,2.056133e-07,1.848113e-07,2.049127e-07,1.84682e-07,2.288065e-07,2.059457e-07,2.28912e-07,2.053629e-07,2.03317e-07,1.838721e-07,1.802869e-07,1.645569e-07,2.262606e-07,2.055558e-07,1.424087e-07,1.287473e-07,2.279282e-07,2.075503e-07,79.30,83.66,94.69,93.15,84.01,77.18,81.62,77.60,75.25,78.87,81.15,61.12,63.21,58.68,60.29,59.50,57.60,62.45,69.09,65.57,62.24,67.27,7492.22,7904.42,8946.76,8801.67,7937.41,7292.45,7712.29,7332.16,7110.16,7451.62,7667.78,5774.69,5972.01,5544.06,5696.63,5621.68,5441.92,5900.85,6528.18,6195.31,5880.95,6355.78,36.70,39.23,45.64,44.75,39.43,35.47,38.05,35.71,34.35,36.45,37.78,26.14,27.36,24.73,25.66,25.20,24.10,26.92,30.77,28.73,26.80,29.71
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,7.17608e-07,6.634129e-07,1.823039e-07,1.694688e-07,2.533477e-07,2.379288e-07,2.840214e-07,2.660802e-07,2.852662e-07,2.65086e-07,2.550222e-07,2.349927e-07,2.551978e-07,2.365754e-07,2.875014e-07,2.651533e-07,2.884111e-07,2.650076e-07,1.82537e-07,1.684054e-07,2.864705e-07,2.650063e-07,6.449296e-07,5.820064e-07,1.83202e-07,1.654391e-07,2.064205e-07,1.850368e-07,2.055459e-07,1.850861e-07,2.298933e-07,2.067294e-07,2.297143e-07,2.056373e-07,2.039081e-07,1.841247e-07,1.808084e-07,1.646325e-07,2.264528e-07,2.060678e-07,1.424963e-07,1.29069e-07,2.279588e-07,2.082884e-07,80.84,87.19,101.90,97.93,86.74,77.47,83.89,78.35,74.77,78.69,81.53,61.08,61.50,57.14,59.74,58.93,56.40,61.46,67.21,66.75,63.48,69.92,7637.70,8238.14,9627.92,9253.37,8195.97,7320.20,7926.34,7402.79,7065.07,7435.39,7703.36,5771.06,5811.16,5399.01,5644.32,5568.39,5328.91,5806.98,6350.18,6307.22,5997.53,6606.79,37.59,41.28,49.82,47.52,41.02,35.64,39.37,36.15,34.07,36.35,38.00,26.12,26.37,23.84,25.34,24.88,23.40,26.34,29.68,29.42,27.51,31.26
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,7.251656e-07,6.71187e-07,1.842055e-07,1.715464e-07,2.567558e-07,2.414429e-07,2.874445e-07,2.69615e-07,2.888293e-07,2.685302e-07,2.578927e-07,2.384428e-07,2.580049e-07,2.397768e-07,2.903439e-07,2.68264e-07,2.913668e-07,2.678477e-07,1.844646e-07,1.701897e-07,2.897989e-07,2.679179e-07,6.459981e-07,5.798274e-07,1.832895e-07,1.647883e-07,2.069848e-07,1.846895e-07,2.061992e-07,1.852844e-07,2.308113e-07,2.070565e-07,2.30688e-07,2.054071e-07,2.041386e-07,1.838927e-07,1.81001e-07,1.644242e-07,2.267008e-07,2.061474e-07,1.426451e-07,1.290588e-07,2.278187e-07,2.086291e-07,82.11,89.49,104.12,99.86,87.36,80.95,86.86,80.23,75.20,78.73,80.86,57.86,58.82,54.70,58.50,57.56,53.65,59.98,65.50,66.23,62.73,71.79,7758.20,8455.08,9837.75,9435.04,8253.82,7649.02,8207.38,7580.61,7105.69,7438.73,7639.65,5467.29,5557.32,5168.54,5527.44,5438.47,5069.46,5667.17,6188.76,6257.96,5926.87,6783.41,38.33,42.62,51.11,48.64,41.38,37.66,41.09,37.24,34.32,36.37,37.61,24.26,24.81,22.42,24.63,24.08,21.81,25.48,28.69,29.11,27.08,32.34
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,7.335545e-07,6.809476e-07,1.867793e-07,1.74445e-07,2.600281e-07,2.459182e-07,2.909742e-07,2.741321e-07,2.924493e-07,2.724014e-07,2.614327e-07,2.423399e-07,2.611568e-07,2.42964e-07,2.936302e-07,2.713406e-07,2.949101e-07,2.712446e-07,1.866278e-07,1.721435e-07,2.934638e-07,2.713857e-07,6.465315e-07,5.795653e-07,1.839963e-07,1.646059e-07,2.077994e-07,1.847159e-07,2.070603e-07,1.859115e-07,2.324107e-07,2.081224e-07,2.316607e-07,2.054438e-07,2.047585e-07,1.841284e-07,1.813409e-07,1.646321e-07,2.270011e-07,2.064059e-07,1.426161e-07,1.293183e-07,2.283289e-07,2.093461e-07,85.48,93.39,115.09,107.48,89.73,83.82,88.19,80.39,75.69,78.48,81.17,57.15,56.06,52.84,58.05,56.58,51.75,58.94,65.06,66.18,64.22,72.83,8076.25,8824.35,10874.41,10155.53,8477.72,7919.43,8332.61,7595.41,7151.29,7415.36,7669.45,5399.90,5296.60,4992.77,5484.78,5346.39,4889.34,5568.76,6147.64,6253.09,6067.63,6880.87,40.29,44.89,57.48,53.07,42.76,39.33,41.86,37.33,34.61,36.23,37.79,23.84,23.21,21.34,24.36,23.51,20.71,24.88,28.44,29.09,27.95,32.94
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,7.424342e-07,6.906724e-07,1.89178e-07,1.77208e-07,2.634418e-07,2.501559e-07,2.946565e-07,2.784244e-07,2.961768e-07,2.764366e-07,2.645984e-07,2.457657e-07,2.640113e-07,2.464231e-07,2.969842e-07,2.745023e-07,2.982182e-07,2.741191e-07,1.88701e-07,1.741164e-07,2.971808e-07,2.746188e-07,6.474357e-07,5.811467e-07,1.84803e-07,1.644638e-07,2.089492e-07,1.848875e-07,2.081233e-07,1.865561e-07,2.338976e-07,2.091537e-07,2.332189e-07,2.057273e-07,2.053458e-07,1.843278e-07,1.819348e-07,1.649097e-07,2.271986e-07,2.070763e-07,1.428986e-07,1.296296e-07,2.285359e-07,2.103308e-07,88.11,97.76,124.34,113.27,92.47,86.18,92.52,80.63,75.11,78.84,80.38,57.89,53.40,50.74,57.12,55.82,49.42,57.91,63.96,67.96,64.51,76.29,8325.33,9236.94,11747.86,10702.16,8737.41,8142.31,8741.76,7618.19,7097.04,7448.76,7594.37,5469.95,5045.16,4794.24,5397.03,5273.95,4669.07,5471.90,6043.60,6420.84,6095.44,7208.56,41.82,47.42,62.85,56.43,44.35,40.70,44.38,37.47,34.27,36.43,37.33,24.27,21.66,20.12,23.83,23.07,19.35,24.29,27.80,30.12,28.12,34.96
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,7.519284e-07,7.010378e-07,1.916763e-07,1.801819e-07,2.666325e-07,2.552229e-07,2.982216e-07,2.830995e-07,2.996446e-07,2.808522e-07,2.682429e-07,2.495216e-07,2.67473e-07,2.499055e-07,3.002544e-07,2.780515e-07,3.015024e-07,2.773191e-07,1.910891e-07,1.761743e-07,3.015472e-07,2.783153e-07,6.494906e-07,5.813803e-07,1.858271e-07,1.644053e-07,2.102618e-07,1.849962e-07,2.091616e-07,1.876226e-07,2.361132e-07,2.113325e-07,2.346858e-07,2.059451e-07,2.064068e-07,1.845317e-07,1.8261e-07,1.651609e-07,2.276418e-07,2.077305e-07,1.433544e-07,1.301984e-07,2.290315e-07,2.115076e-07,90.97,103.51,147.72,123.62,98.69,88.01,93.94,82.70,75.73,78.00,79.11,56.37,50.68,48.35,57.52,56.32,47.32,55.71,62.50,68.89,65.35,79.70,8594.94,9780.56,13956.87,11680.62,9324.69,8315.93,8875.74,7813.66,7154.89,7369.94,7474.66,5325.82,4788.49,4568.48,5434.99,5320.98,4470.88,5263.32,5905.72,6509.38,6174.77,7530.68,43.48,50.76,76.43,62.44,47.96,41.76,45.20,38.68,34.63,35.95,36.59,23.39,20.09,18.73,24.06,23.36,18.13,23.00,26.95,30.66,28.61,36.94
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,7.614958e-07,7.111582e-07,1.943157e-07,1.829258e-07,2.700656e-07,2.595403e-07,3.019356e-07,2.876218e-07,3.037412e-07,2.861628e-07,2.717271e-07,2.533965e-07,2.704036e-07,2.537265e-07,3.035557e-07,2.817102e-07,3.050047e-07,2.806821e-07,1.933578e-07,1.785232e-07,3.062136e-07,2.825008e-07,6.519872e-07,5.828281e-07,1.869426e-07,1.645801e-07,2.117266e-07,1.85318e-07,2.104405e-07,1.88525e-07,2.380608e-07,2.154604e-07,2.362286e-07,2.061789e-07,2.07034e-07,1.849561e-07,1.835243e-07,1.655292e-07,2.281142e-07,2.082055e-07,1.436882e-07,1.308951e-07,2.296998e-07,2.12924e-07,93.29,106.05,162.83,132.69,107.50,91.29,100.47,85.16,76.20,79.47,78.67,55.65,48.60,46.34,56.81,62.95,45.31,55.32,60.74,69.06,67.57,83.81,8814.80,10020.60,15385.41,12537.35,10157.17,8625.07,9492.58,8045.99,7200.18,7508.58,7433.20,5258.11,4591.94,4378.36,5367.31,5948.26,4280.98,5226.97,5739.30,6525.11,6383.91,7919.18,44.83,52.24,85.21,67.70,53.08,43.66,48.99,40.10,34.91,36.80,36.34,22.97,18.88,17.57,23.64,27.21,16.97,22.78,25.93,30.76,29.89,39.33
