Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,2.037152e-07,2.025678e-07,2.416853e-07,2.270649e-07,2.421338e-07,2.270675e-07,2.503116e-07,2.268553e-07,2.765385e-07,2.587219e-07,2.470783e-07,2.310695e-07,2.532452e-07,2.351567e-07,2.545757e-07,2.377354e-07,2.529815e-07,2.342748e-07,2.104197e-07,2.070222e-07,2.497518e-07,2.345047e-07,1.629875e-07,1.661328e-07,1.93447e-07,1.883714e-07,1.75999e-07,1.684595e-07,1.833408e-07,1.681848e-07,2.005311e-07,1.884786e-07,1.982597e-07,1.888996e-07,2.025804e-07,1.894406e-07,2.024751e-07,1.904762e-07,2.004996e-07,1.906969e-07,1.88306e-07,1.895465e-07,2.01392e-07,1.907133e-07,1166.00,102.57,99.54,63.88,95.91,95.33,85.86,93.24,82.71,402.44,101.58,-348.85,245.11,147.57,73.29,103.28,133.29,95.22,104.84,128.48,-1009.16,117.95,110169.20,9691.60,9404.87,6035.23,9061.77,9007.17,8112.59,8809.45,7815.07,38024.37,9597.74,-32960.81,23159.66,13943.04,6924.79,9758.65,12593.75,8996.82,9906.13,12139.55,-95350.64,11144.67,667.66,50.21,48.45,27.74,46.34,46.01,40.51,44.79,38.68,224.32,49.64,-211.89,132.98,76.34,33.21,50.62,68.05,45.94,51.53,65.26,-595.29,59.14
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,2.049146e-07,2.040007e-07,2.431193e-07,2.282927e-07,2.430127e-07,2.2842e-07,2.514376e-07,2.282273e-07,2.782461e-07,2.603762e-07,2.485903e-07,2.325547e-07,2.546393e-07,2.366092e-07,2.56312e-07,2.390163e-07,2.547353e-07,2.353857e-07,2.117665e-07,2.083684e-07,2.51468e-07,2.356372e-07,1.644079e-07,1.675237e-07,1.950974e-07,1.897229e-07,1.772382e-07,1.695122e-07,1.846267e-07,1.696633e-07,2.02182e-07,1.9014e-07,1.998169e-07,1.904248e-07,2.040432e-07,1.910208e-07,2.041304e-07,1.919633e-07,2.020917e-07,1.922729e-07,1.900128e-07,1.912982e-07,2.031864e-07,1.928756e-07,1474.49,101.71,103.40,64.95,96.25,95.80,86.68,91.28,80.36,405.04,98.32,-355.15,233.18,144.93,74.90,104.30,133.93,96.89,104.22,129.35,-983.06,123.56,139316.76,9609.94,9769.42,6137.02,9093.89,9051.29,8190.38,8625.01,7592.39,38270.67,9289.91,-33556.53,22031.91,13693.57,7076.65,9854.74,12654.10,9155.03,9846.94,12221.66,-92884.44,11674.96,846.78,49.71,50.69,28.37,46.54,46.28,40.99,43.66,37.31,225.84,47.74,-215.55,126.05,74.81,34.14,51.22,68.42,46.92,51.17,65.76,-580.13,62.40
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,2.04515e-07,2.041161e-07,2.432444e-07,2.283769e-07,2.42875e-07,2.28574e-07,2.513297e-07,2.281361e-07,2.781369e-07,2.602013e-07,2.488254e-07,2.326762e-07,2.547334e-07,2.366337e-07,2.56236e-07,2.393216e-07,2.545802e-07,2.354529e-07,2.117723e-07,2.07894e-07,2.515915e-07,2.357625e-07,1.647864e-07,1.680818e-07,1.959444e-07,1.902473e-07,1.778971e-07,1.699591e-07,1.85223e-07,1.702596e-07,2.029058e-07,1.910578e-07,2.007024e-07,1.91251e-07,2.049905e-07,1.922121e-07,2.046362e-07,1.925712e-07,2.026873e-07,1.930932e-07,1.905683e-07,1.924149e-07,2.038081e-07,1.937955e-07,3379.52,101.45,105.56,64.96,95.82,95.16,86.35,93.45,81.30,354.03,98.37,-336.86,220.55,141.41,75.15,106.50,133.64,99.34,105.42,132.92,-688.19,127.83,319313.92,9585.59,9973.90,6138.05,9053.12,8990.95,8158.49,8829.37,7681.66,33450.70,9294.50,-31828.57,20838.64,13360.97,7100.45,10062.93,12627.35,9386.61,9960.21,12559.36,-65023.52,12078.18,1952.88,49.56,51.95,28.38,46.29,45.91,40.79,44.91,37.86,196.22,47.77,-204.93,118.71,72.76,34.29,52.49,68.25,48.34,51.86,67.84,-408.92,64.88
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,2.053421e-07,2.049839e-07,2.447258e-07,2.292518e-07,2.436609e-07,2.294282e-07,2.520236e-07,2.288457e-07,2.791618e-07,2.611221e-07,2.491229e-07,2.334633e-07,2.553676e-07,2.373866e-07,2.569432e-07,2.400332e-07,2.553927e-07,2.359498e-07,2.126036e-07,2.084812e-07,2.523868e-07,2.367899e-07,1.658829e-07,1.691908e-07,1.975957e-07,1.913496e-07,1.793496e-07,1.711418e-07,1.863955e-07,1.713976e-07,2.044816e-07,1.925775e-07,2.023548e-07,1.928315e-07,2.066132e-07,1.936683e-07,2.060776e-07,1.938425e-07,2.042019e-07,1.942467e-07,1.918343e-07,1.938611e-07,2.048998e-07,1.955624e-07,3779.51,97.85,106.46,65.21,95.60,98.46,87.19,93.75,80.15,334.01,100.27,-337.81,202.33,137.71,75.48,106.84,133.73,98.81,104.64,128.87,-631.72,138.33,357107.36,9245.17,10059.22,6161.31,9032.73,9303.42,8238.48,8857.93,7572.92,31558.87,9473.92,-31917.51,19117.15,13011.70,7131.47,10095.17,12635.58,9336.08,9886.58,12176.10,-59687.64,13069.65,2185.12,47.47,52.47,28.52,46.17,47.83,41.28,45.09,37.19,184.59,48.88,-205.48,108.13,70.62,34.48,52.69,68.30,48.03,51.41,65.48,-376.13,70.97
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,2.062262e-07,2.06411e-07,2.459327e-07,2.306659e-07,2.445107e-07,2.310336e-07,2.528518e-07,2.299772e-07,2.805855e-07,2.620756e-07,2.501453e-07,2.347516e-07,2.560321e-07,2.384791e-07,2.573412e-07,2.408158e-07,2.559935e-07,2.368492e-07,2.135254e-07,2.090822e-07,2.535603e-07,2.378059e-07,1.672245e-07,1.705608e-07,1.99603e-07,1.927759e-07,1.80862e-07,1.723157e-07,1.878835e-07,1.726105e-07,2.064471e-07,1.943978e-07,2.044154e-07,1.944147e-07,2.085276e-07,1.954572e-07,2.075962e-07,1.951121e-07,2.056785e-07,1.958033e-07,1.930463e-07,1.955639e-07,2.065263e-07,1.97664e-07,-7375.76,99.77,113.20,66.39,93.50,100.70,89.72,96.23,81.70,310.74,99.68,-337.59,186.46,133.14,74.63,106.54,128.37,98.75,103.21,130.93,-512.95,147.28,-696898.83,9427.02,10695.91,6272.93,8834.08,9514.90,8476.92,9092.26,7719.18,29360.27,9418.02,-31897.23,17617.95,12580.14,7051.50,10066.27,12129.35,9330.43,9751.37,12371.23,-48466.41,13916.18,-4291.85,48.59,56.39,29.21,44.94,49.13,42.75,46.53,38.09,171.08,48.53,-205.35,98.92,67.96,33.99,52.52,65.19,47.99,50.58,66.68,-307.17,76.17
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,2.062719e-07,2.070745e-07,2.462872e-07,2.31316e-07,2.450963e-07,2.318358e-07,2.536512e-07,2.305005e-07,2.814428e-07,2.629235e-07,2.505903e-07,2.356246e-07,2.565604e-07,2.390282e-07,2.57565e-07,2.411827e-07,2.56137e-07,2.370407e-07,2.142066e-07,2.09374e-07,2.544554e-07,2.386768e-07,1.68111e-07,1.71451e-07,2.004108e-07,1.938101e-07,1.820225e-07,1.734781e-07,1.887171e-07,1.737043e-07,2.077185e-07,1.959805e-07,2.057537e-07,1.957573e-07,2.099658e-07,1.970041e-07,2.086646e-07,1.962906e-07,2.068321e-07,1.968007e-07,1.940759e-07,1.97063e-07,2.075634e-07,1.993582e-07,-1703.74,102.03,115.45,65.75,93.75,103.97,90.03,97.22,81.97,286.10,99.89,-338.98,193.89,134.07,76.41,110.25,129.32,100.37,104.75,129.55,-435.64,160.44,-160977.93,9640.24,10908.36,6212.22,8858.16,9823.41,8506.51,9185.66,7744.84,27032.16,9438.01,-32028.19,18319.99,12667.82,7219.18,10417.36,12218.37,9483.14,9897.56,12240.64,-41161.78,15159.46,-998.56,49.90,57.69,28.83,45.09,51.02,42.93,47.11,38.25,156.77,48.66,-206.16,103.24,68.50,35.02,54.67,65.74,48.93,51.48,65.88,-262.28,83.82
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,2.06966e-07,2.082344e-07,2.468589e-07,2.32871e-07,2.456922e-07,2.338333e-07,2.543861e-07,2.319352e-07,2.826579e-07,2.641383e-07,2.515799e-07,2.369133e-07,2.574378e-07,2.398716e-07,2.581946e-07,2.418591e-07,2.566802e-07,2.37593e-07,2.15582e-07,2.097828e-07,2.559781e-07,2.400185e-07,1.690416e-07,1.727473e-07,2.02102e-07,1.952258e-07,1.833834e-07,1.743427e-07,1.900441e-07,1.751428e-07,2.093984e-07,1.97896e-07,2.079144e-07,1.974575e-07,2.119528e-07,1.989851e-07,2.104133e-07,1.972659e-07,2.082136e-07,1.983107e-07,1.95437e-07,1.986826e-07,2.092713e-07,2.012436e-07,-1084.11,109.94,130.21,68.22,94.18,106.67,90.17,97.77,82.20,238.88,99.31,-307.83,187.48,127.34,77.61,113.61,124.69,101.33,99.08,132.24,-404.24,165.54,-102431.87,10387.28,12302.71,6445.73,8898.95,10078.57,8520.01,9237.81,7766.59,22570.47,9383.43,-29085.72,17714.45,12032.08,7333.43,10734.64,11781.74,9574.07,9361.62,12494.61,-38194.75,15641.19,-638.79,54.49,66.26,30.27,45.34,52.59,43.02,47.43,38.39,129.36,48.32,-188.07,99.52,64.60,35.72,56.63,63.06,49.49,48.19,67.44,-244.05,86.78
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,2.076541e-07,2.096056e-07,2.476211e-07,2.337329e-07,2.465094e-07,2.352135e-07,2.552852e-07,2.328971e-07,2.838426e-07,2.652753e-07,2.523226e-07,2.3798e-07,2.579851e-07,2.405449e-07,2.583859e-07,2.426936e-07,2.568903e-07,2.380864e-07,2.166967e-07,2.104804e-07,2.567788e-07,2.414055e-07,1.698127e-07,1.739778e-07,2.040574e-07,1.965501e-07,1.850026e-07,1.755365e-07,1.914968e-07,1.7644e-07,2.116622e-07,1.996357e-07,2.101158e-07,1.990684e-07,2.142931e-07,2.009328e-07,2.118335e-07,1.987895e-07,2.09847e-07,1.995009e-07,1.966661e-07,2.007811e-07,2.104639e-07,2.032616e-07,-709.27,111.13,137.50,68.69,94.35,109.57,91.08,102.13,83.61,223.59,103.69,-275.83,172.89,122.45,77.38,109.62,118.99,99.31,100.64,127.33,-322.20,186.36,-67015.18,10500.57,12992.13,6490.61,8914.29,10352.65,8605.65,9649.63,7899.97,21126.06,9797.58,-26061.97,16335.35,11570.05,7311.45,10357.09,11242.97,9383.69,9508.71,12031.15,-30443.31,17608.53,-421.15,55.19,70.50,30.55,45.44,54.28,43.54,49.96,39.21,120.48,50.87,-169.49,91.04,61.76,35.59,54.31,59.75,48.32,49.09,64.59,-196.42,98.87
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,2.07709e-07,2.112338e-07,2.478789e-07,2.352939e-07,2.468139e-07,2.374864e-07,2.558084e-07,2.345716e-07,2.849717e-07,2.668118e-07,2.532462e-07,2.392024e-07,2.588182e-07,2.415176e-07,2.592135e-07,2.435393e-07,2.572212e-07,2.387648e-07,2.182633e-07,2.114907e-07,2.586931e-07,2.425984e-07,1.709883e-07,1.750221e-07,2.058109e-07,1.97833e-07,1.863657e-07,1.767119e-07,1.929505e-07,1.779914e-07,2.128957e-07,2.034284e-07,2.116025e-07,2.006484e-07,2.157755e-07,2.030328e-07,2.133979e-07,1.998304e-07,2.113931e-07,2.009439e-07,1.978325e-07,2.029097e-07,2.122701e-07,2.057283e-07,-395.74,123.46,168.13,72.94,97.02,112.48,92.19,102.60,85.43,206.21,99.54,-286.52,163.75,120.88,78.57,141.89,120.96,105.22,97.26,126.99,-263.91,207.67,-37391.06,11665.31,15885.92,6891.68,9167.07,10627.22,8710.17,9694.44,8071.65,19483.85,9404.68,-27071.82,15472.09,11421.06,7423.91,13406.77,11428.73,9941.31,9189.68,11998.60,-24935.46,19621.66,-239.11,62.34,88.28,33.01,46.99,55.97,44.19,50.23,40.26,110.39,48.45,-175.70,85.74,60.84,36.28,73.05,60.89,51.75,47.13,64.39,-162.57,111.24
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,2.085224e-07,2.125791e-07,2.487535e-07,2.367426e-07,2.476269e-07,2.397164e-07,2.565922e-07,2.360895e-07,2.864774e-07,2.68154e-07,2.544182e-07,2.407862e-07,2.598812e-07,2.426047e-07,2.597045e-07,2.442733e-07,2.576853e-07,2.395062e-07,2.195457e-07,2.127069e-07,2.604816e-07,2.444846e-07,1.724268e-07,1.765959e-07,2.080906e-07,1.996447e-07,1.883628e-07,1.783118e-07,1.946115e-07,1.795689e-07,2.148485e-07,2.110591e-07,2.139275e-07,2.025969e-07,2.179589e-07,2.053514e-07,2.150445e-07,2.012738e-07,2.130164e-07,2.024694e-07,1.993621e-07,2.050711e-07,2.139205e-07,2.081418e-07,-346.04,130.16,200.11,76.04,96.64,116.64,92.73,104.53,87.00,205.39,100.92,-279.71,156.09,117.15,78.83,367.80,118.07,107.56,96.52,126.77,-237.20,237.85,-32695.39,12298.15,18907.44,7184.63,9130.97,11020.74,8761.58,9876.78,8220.22,19406.20,9535.68,-26428.78,14748.60,11069.03,7448.13,34751.42,11156.26,10162.66,9119.48,11977.59,-22412.14,22473.36,-210.25,66.23,106.85,34.81,46.77,58.38,44.50,51.36,41.18,109.91,49.26,-171.74,81.29,58.68,36.43,204.21,59.22,53.11,46.70,64.26,-147.06,128.76
