Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_x_2,P_Off_x_2,P_On_x_3,P_Off_x_3,P_On_x_4,P_Off_x_4,P_On_x_5,P_Off_x_5,P_On_x_6,P_Off_x_6,P_On_x_7,P_Off_x_7,P_On_x_8,P_Off_x_8,P_On_x_9,P_Off_x_9,P_On_x_10,P_Off_x_10,P_On_x_11,P_Off_x_11,P_On_y_1,P_Off_y_1,P_On_y_2,P_Off_y_2,P_On_y_3,P_Off_y_3,P_On_y_4,P_Off_y_4,P_On_y_5,P_Off_y_5,P_On_y_6,P_Off_y_6,P_On_y_7,P_Off_y_7,P_On_y_8,P_Off_y_8,P_On_y_9,P_Off_y_9,P_On_y_10,P_Off_y_10,P_On_y_11,P_Off_y_11,TSYSdivEta_x_1,TSYSdivEta_x_2,TSYSdivEta_x_3,TSYSdivEta_x_4,TSYSdivEta_x_5,TSYSdivEta_x_6,TSYSdivEta_x_7,TSYSdivEta_x_8,TSYSdivEta_x_9,TSYSdivEta_x_10,TSYSdivEta_x_11,TSYSdivEta_y_1,TSYSdivEta_y_2,TSYSdivEta_y_3,TSYSdivEta_y_4,TSYSdivEta_y_5,TSYSdivEta_y_6,TSYSdivEta_y_7,TSYSdivEta_y_8,TSYSdivEta_y_9,TSYSdivEta_y_10,TSYSdivEta_y_11,SEFD_x_1,SEFD_x_2,SEFD_x_3,SEFD_x_4,SEFD_x_5,SEFD_x_6,SEFD_x_7,SEFD_x_8,SEFD_x_9,SEFD_x_10,SEFD_x_11,SEFD_y_1,SEFD_y_2,SEFD_y_3,SEFD_y_4,SEFD_y_5,SEFD_y_6,SEFD_y_7,SEFD_y_8,SEFD_y_9,SEFD_y_10,SEFD_y_11,TRCVR_x_1,TRCVR_x_2,TRCVR_x_3,TRCVR_x_4,TRCVR_x_5,TRCVR_x_6,TRCVR_x_7,TRCVR_x_8,TRCVR_x_9,TRCVR_x_10,TRCVR_x_11,TRCVR_y_1,TRCVR_y_2,TRCVR_y_3,TRCVR_y_4,TRCVR_y_5,TRCVR_y_6,TRCVR_y_7,TRCVR_y_8,TRCVR_y_9,TRCVR_y_10,TRCVR_y_11
1.24412,1,0.0276,1.548,1.188,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062352,0.7373918704,1.18,5.132113e-07,4.724646e-07,2.077115e-07,1.928926e-07,2.092558e-07,1.928203e-07,2.090085e-07,1.942042e-07,2.117612e-07,1.957964e-07,1.713675e-07,1.590633e-07,1.905541e-07,1.764305e-07,1.903854e-07,1.753315e-07,1.903665e-07,1.74384e-07,1.874783e-07,1.738308e-07,2.12062e-07,1.954931e-07,4.029219e-07,3.658577e-07,1.849156e-07,1.681728e-07,1.859311e-07,1.682156e-07,1.657784e-07,1.497414e-07,1.865341e-07,1.685859e-07,1.670604e-07,1.508181e-07,1.871574e-07,1.688808e-07,1.867348e-07,1.696664e-07,1.867706e-07,1.693806e-07,1.862428e-07,1.692986e-07,1.883267e-07,1.712658e-07,76.58,85.97,77.48,86.64,81.00,85.38,82.50,76.92,72.06,84.12,77.93,65.19,66.34,62.71,61.67,62.04,61.33,61.03,65.65,64.33,65.99,66.30,7235.72,8122.77,7321.07,8186.07,7653.25,8067.17,7795.30,7268.01,6808.74,7948.37,7362.79,6159.74,6268.05,5925.40,5826.71,5861.45,5794.43,5766.20,6203.08,6078.11,6235.01,6264.31,35.12,40.57,35.64,40.96,37.69,40.23,38.56,35.32,32.50,39.50,35.90,28.51,29.17,27.07,26.46,26.68,26.26,26.09,28.77,28.01,28.97,29.15
1.24438,1,0.0276,1.548,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806224799999999,0.7373905496,1.18,5.174728e-07,4.760485e-07,2.096751e-07,1.943393e-07,2.109557e-07,1.946008e-07,2.109255e-07,1.959514e-07,2.135321e-07,1.97431e-07,1.729262e-07,1.605487e-07,1.921232e-07,1.779335e-07,1.92066e-07,1.768558e-07,1.918165e-07,1.760148e-07,1.891445e-07,1.752444e-07,2.13708e-07,1.972735e-07,4.048445e-07,3.679837e-07,1.860553e-07,1.691539e-07,1.872019e-07,1.69185e-07,1.666794e-07,1.50578e-07,1.875532e-07,1.697357e-07,1.680936e-07,1.5182e-07,1.879903e-07,1.697737e-07,1.878488e-07,1.705183e-07,1.877369e-07,1.704277e-07,1.873432e-07,1.704039e-07,1.8932e-07,1.725037e-07,75.91,83.71,78.60,86.44,81.00,85.68,82.83,76.81,73.58,83.28,79.29,65.94,66.11,62.03,61.77,62.93,61.62,61.56,64.99,65.04,66.45,67.76,7172.43,7909.05,7426.21,8167.29,7652.97,8095.51,7826.27,7256.96,6952.10,7868.58,7491.74,6230.66,6246.40,5860.74,5836.71,5945.62,5822.58,5816.66,6140.88,6145.17,6278.48,6402.33,34.73,39.26,36.29,40.85,37.69,40.40,38.75,35.25,33.38,39.01,36.69,28.95,29.04,26.67,26.52,27.19,26.44,26.40,28.39,28.42,29.24,30.00
1.24463,1,0.0276,1.547,1.187,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806214799999999,0.7373892795999999,1.18,5.190902e-07,4.77817e-07,2.098085e-07,1.949664e-07,2.108963e-07,1.951412e-07,2.110884e-07,1.964116e-07,2.1391e-07,1.981155e-07,1.73129e-07,1.608631e-07,1.922069e-07,1.780575e-07,1.921935e-07,1.771068e-07,1.921421e-07,1.760614e-07,1.893477e-07,1.753998e-07,2.138609e-07,1.972955e-07,4.061483e-07,3.689848e-07,1.864734e-07,1.694454e-07,1.875475e-07,1.693522e-07,1.66925e-07,1.506945e-07,1.882198e-07,1.699832e-07,1.683167e-07,1.520128e-07,1.884839e-07,1.700224e-07,1.879822e-07,1.705277e-07,1.879123e-07,1.705757e-07,1.875423e-07,1.706195e-07,1.896442e-07,1.733284e-07,76.46,86.76,81.80,88.38,82.84,86.62,83.11,77.53,72.31,83.05,78.66,65.57,65.72,61.47,61.32,61.56,61.58,60.82,64.53,64.98,66.59,70.16,7224.34,8197.27,7729.16,8351.04,7827.39,8183.93,7852.84,7325.64,6832.25,7847.38,7432.24,6195.79,6209.70,5808.13,5793.89,5816.57,5818.26,5747.03,6096.66,6139.85,6291.60,6629.27,35.05,41.03,38.15,41.98,38.76,40.95,38.91,35.67,32.64,38.88,36.33,28.73,28.82,26.35,26.26,26.40,26.41,25.97,28.12,28.39,29.32,31.39
1.24487,1,0.0276,1.546,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58062052,0.7373880603999999,1.18,5.240382e-07,4.81095e-07,2.114671e-07,1.967015e-07,2.126263e-07,1.969201e-07,2.123653e-07,1.980272e-07,2.153094e-07,1.998983e-07,1.740848e-07,1.620112e-07,1.934843e-07,1.79464e-07,1.934436e-07,1.782244e-07,1.930759e-07,1.771627e-07,1.905854e-07,1.762775e-07,2.152918e-07,1.986633e-07,4.091648e-07,3.710813e-07,1.87816e-07,1.703296e-07,1.887955e-07,1.702776e-07,1.676284e-07,1.513698e-07,1.893565e-07,1.709544e-07,1.693948e-07,1.527806e-07,1.892446e-07,1.707751e-07,1.887196e-07,1.711405e-07,1.886458e-07,1.714504e-07,1.882092e-07,1.715437e-07,1.903274e-07,1.744891e-07,73.99,87.98,82.81,91.22,85.67,88.62,84.54,77.34,73.53,81.37,78.91,64.35,64.33,60.73,61.49,61.36,60.73,61.07,64.30,65.85,67.98,72.76,6991.03,8313.07,7823.90,8618.62,8094.31,8373.61,7987.75,7307.69,6947.35,7688.22,7455.37,6080.47,6078.47,5738.13,5809.79,5797.19,5738.43,5769.98,6075.20,6222.01,6423.34,6874.87,33.62,41.74,38.74,43.62,40.40,42.11,39.74,35.56,33.35,37.90,36.47,28.02,28.01,25.92,26.36,26.28,25.92,26.12,27.99,28.89,30.13,32.90
1.24513,1,0.0276,1.545,1.186,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061948,0.7373867396,1.18,5.267364e-07,4.843403e-07,2.122353e-07,1.982921e-07,2.134897e-07,1.988268e-07,2.133355e-07,1.994208e-07,2.163574e-07,2.012695e-07,1.749883e-07,1.629972e-07,1.939319e-07,1.801621e-07,1.937993e-07,1.788283e-07,1.936022e-07,1.775868e-07,1.912263e-07,1.768289e-07,2.161476e-07,1.991672e-07,4.118312e-07,3.730588e-07,1.891587e-07,1.712445e-07,1.898531e-07,1.708102e-07,1.684336e-07,1.518859e-07,1.905089e-07,1.716594e-07,1.701832e-07,1.5333e-07,1.901142e-07,1.71378e-07,1.890951e-07,1.715559e-07,1.889939e-07,1.719209e-07,1.885881e-07,1.725282e-07,1.909205e-07,1.759986e-07,75.44,93.91,89.54,94.64,88.09,89.76,86.40,78.88,73.22,81.10,77.45,63.54,63.12,59.23,60.61,60.14,60.08,60.40,64.59,66.50,70.94,77.89,7127.93,8873.23,8460.46,8942.02,8323.16,8481.25,8163.47,7452.88,6918.50,7663.16,7318.28,6003.35,5964.28,5596.54,5726.89,5682.07,5676.54,5707.06,6102.88,6282.86,6702.80,7359.09,34.46,45.18,42.65,45.61,41.80,42.78,40.82,36.46,33.17,37.75,35.63,27.55,27.31,25.05,25.85,25.57,25.54,25.73,28.16,29.27,31.85,35.88
1.24537,1,0.0276,1.544,1.185,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806185199999999,0.7373855203999999,1.18,5.289353e-07,4.889309e-07,2.13361e-07,1.99956e-07,2.14736e-07,2.006672e-07,2.146881e-07,2.012533e-07,2.181204e-07,2.029642e-07,1.762013e-07,1.645238e-07,1.950163e-07,1.813968e-07,1.94723e-07,1.797836e-07,1.942127e-07,1.785202e-07,1.922181e-07,1.777246e-07,2.176258e-07,2.004931e-07,4.130614e-07,3.748976e-07,1.901357e-07,1.72012e-07,1.912102e-07,1.716104e-07,1.690699e-07,1.523071e-07,1.913545e-07,1.725296e-07,1.710753e-07,1.539971e-07,1.908788e-07,1.722324e-07,1.899096e-07,1.717627e-07,1.895682e-07,1.724845e-07,1.891243e-07,1.734643e-07,1.915428e-07,1.774661e-07,80.71,98.50,94.19,98.92,88.43,93.04,87.95,79.47,75.12,80.97,77.28,64.87,62.67,57.82,60.00,60.52,59.55,61.00,62.50,66.67,73.15,83.25,7625.68,9306.93,8899.35,9346.54,8355.41,8790.58,8310.12,7508.54,7097.97,7650.91,7301.51,6129.15,5921.76,5463.00,5669.08,5718.34,5626.12,5763.13,5905.62,6299.51,6911.26,7865.99,37.52,47.85,45.35,48.09,42.00,44.68,41.73,36.80,34.28,37.67,35.53,28.32,27.05,24.23,25.50,25.80,25.23,26.07,26.95,29.37,33.13,39.00
1.24562,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061752,0.7373842504,1.18,5.308808e-07,4.920712e-07,2.139017e-07,2.018133e-07,2.154348e-07,2.02614e-07,2.157525e-07,2.032031e-07,2.192564e-07,2.047207e-07,1.769382e-07,1.656655e-07,1.955984e-07,1.820943e-07,1.950469e-07,1.80272e-07,1.947066e-07,1.787699e-07,1.929119e-07,1.782499e-07,2.183808e-07,2.009266e-07,4.146489e-07,3.762539e-07,1.910996e-07,1.727817e-07,1.923609e-07,1.721255e-07,1.69734e-07,1.529087e-07,1.927422e-07,1.733157e-07,1.718381e-07,1.545718e-07,1.917594e-07,1.728827e-07,1.904303e-07,1.719383e-07,1.898263e-07,1.732631e-07,1.896483e-07,1.746436e-07,1.923608e-07,1.790936e-07,83.73,110.24,104.36,106.93,93.00,97.05,89.04,80.57,74.08,80.28,76.02,64.71,62.29,56.17,60.01,58.91,59.12,60.48,61.40,69.08,76.86,89.14,7910.93,10416.45,9860.37,10102.90,8787.49,9169.44,8413.36,7612.77,6998.98,7585.34,7182.51,6114.28,5885.20,5307.28,5670.33,5566.50,5585.60,5714.32,5801.33,6526.81,7262.13,8422.47,39.27,54.67,51.25,52.74,44.66,47.01,42.36,37.44,33.67,37.27,34.80,28.23,26.82,23.27,25.50,24.87,24.98,25.77,26.31,30.77,35.29,42.42
1.24588,1,0.0276,1.543,1.184,6.882,6.976,0.9837,0.00896,261.86,32.61,0.58061648,0.7373829296,1.18,5.34758e-07,4.966017e-07,2.153151e-07,2.037305e-07,2.166883e-07,2.050456e-07,2.172108e-07,2.05434e-07,2.209772e-07,2.067023e-07,1.783037e-07,1.673184e-07,1.968312e-07,1.834891e-07,1.96148e-07,1.811522e-07,1.954091e-07,1.795212e-07,1.937334e-07,1.791168e-07,2.198534e-07,2.020846e-07,4.163959e-07,3.786151e-07,1.925206e-07,1.73898e-07,1.931873e-07,1.72999e-07,1.706187e-07,1.536367e-07,1.940991e-07,1.742174e-07,1.729347e-07,1.554461e-07,1.928158e-07,1.737186e-07,1.910556e-07,1.723986e-07,1.904256e-07,1.738628e-07,1.90221e-07,1.760572e-07,1.928226e-07,1.810911e-07,85.94,116.13,116.30,115.19,95.62,100.58,90.82,79.77,74.61,80.92,75.10,66.18,61.66,56.59,59.74,57.86,58.69,60.07,61.02,69.32,82.08,101.93,8120.46,10972.71,10988.43,10883.88,9034.65,9503.22,8580.74,7537.25,7049.98,7645.90,7096.01,6252.67,5826.30,5346.66,5644.75,5467.35,5545.79,5675.65,5765.42,6549.55,7755.55,9631.24,40.56,58.09,58.18,57.54,46.18,49.06,43.39,36.98,33.98,37.64,34.27,29.08,26.46,23.52,25.35,24.26,24.74,25.54,26.09,30.91,38.32,49.84
1.24612,1,0.0276,1.542,1.183,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806155199999999,0.7373817103999999,1.18,5.366537e-07,5.015924e-07,2.159267e-07,2.057862e-07,2.17314e-07,2.075228e-07,2.18336e-07,2.076705e-07,2.220489e-07,2.090078e-07,1.791651e-07,1.688578e-07,1.975395e-07,1.844279e-07,1.966253e-07,1.816304e-07,1.956833e-07,1.799578e-07,1.945474e-07,1.80692e-07,2.209968e-07,2.029948e-07,4.186008e-07,3.804627e-07,1.938914e-07,1.748036e-07,1.942799e-07,1.738485e-07,1.714862e-07,1.541027e-07,1.954092e-07,1.751879e-07,1.739806e-07,1.560142e-07,1.939966e-07,1.745535e-07,1.917279e-07,1.725841e-07,1.90886e-07,1.747767e-07,1.906817e-07,1.775589e-07,1.937879e-07,1.835474e-07,94.47,134.01,139.96,128.58,105.83,108.18,92.89,79.99,75.57,86.12,74.46,65.88,60.47,56.19,58.54,57.21,57.34,59.28,59.53,71.64,89.35,118.36,8926.10,12661.81,13224.18,12148.77,9999.70,10221.51,8776.27,7557.60,7140.11,8136.90,7035.63,6224.32,5713.91,5308.99,5531.10,5405.48,5418.04,5601.47,5624.86,6769.33,8442.18,11183.20,45.51,68.47,71.92,65.32,52.11,53.47,44.59,37.10,34.54,40.66,33.90,28.91,25.77,23.29,24.65,23.88,23.96,25.08,25.23,32.26,42.54,59.38
1.24638,1,0.0276,1.541,1.182,6.882,6.976,0.9837,0.00896,261.86,32.61,0.5806144799999999,0.7373803896,1.18,5.402235e-07,5.069064e-07,2.173918e-07,2.082917e-07,2.186291e-07,2.104481e-07,2.202172e-07,2.104655e-07,2.238757e-07,2.125948e-07,1.808343e-07,1.709163e-07,1.988531e-07,1.86013e-07,1.97665e-07,1.827396e-07,1.96678e-07,1.80984e-07,1.9562e-07,1.835691e-07,2.227283e-07,2.047548e-07,4.211326e-07,3.829712e-07,1.955567e-07,1.760377e-07,1.957274e-07,1.74708e-07,1.724567e-07,1.550363e-07,1.971547e-07,1.765104e-07,1.752589e-07,1.570139e-07,1.950402e-07,1.755459e-07,1.925041e-07,1.730376e-07,1.915739e-07,1.756467e-07,1.914481e-07,1.791643e-07,1.947125e-07,1.864684e-07,100.47,151.15,169.87,142.52,124.45,113.80,95.66,80.85,76.15,100.59,75.23,66.27,59.56,54.89,58.77,56.46,56.83,59.46,58.70,72.82,96.32,149.36,9492.91,14281.20,16050.09,13466.03,11758.39,10752.22,9038.86,7639.16,7195.24,9504.27,7107.88,6261.53,5627.13,5185.99,5552.83,5334.69,5369.49,5618.52,5546.15,6880.81,9100.34,14112.40,49.00,78.42,89.29,73.41,62.92,56.73,46.21,37.60,34.88,49.07,34.34,29.14,25.24,22.53,24.78,23.44,23.66,25.19,24.74,32.94,46.58,77.38
