Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.99400,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776239999999999,0.7335824799999999,2.38,22252680,17073150,41049510,31772680,inf,inf,inf,inf,inf,inf
1.99450,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577622,0.7335799399999999,2.38,22482860,17117010,41565820,31995390,inf,inf,inf,inf,inf,inf
1.99500,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776199999999999,0.7335773999999999,2.38,22803550,17242960,42005020,32176040,inf,inf,inf,inf,inf,inf
1.99550,1,0.0754,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577618,0.7335748599999999,2.38,23130260,17376130,42453540,32365930,inf,inf,inf,inf,inf,inf
1.99600,1,0.0754,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776159999999999,0.7335723199999999,2.38,23486600,17527270,42764510,32495340,inf,inf,inf,inf,inf,inf
1.99650,1,0.0755,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577614,0.73356978,2.38,23833290,17675610,42940510,32599320,inf,inf,inf,inf,inf,inf
1.99700,1,0.0755,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577612,0.7335672400000001,2.38,24104030,17803880,42975410,32629550,inf,inf,inf,inf,inf,inf
1.99750,1,0.0755,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.57761,0.7335647,2.38,24309760,17912530,42840820,32620590,inf,inf,inf,inf,inf,inf
1.99800,1,0.0756,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577608,0.7335621600000001,2.38,24430430,17999020,42616750,32556130,inf,inf,inf,inf,inf,inf
1.99850,1,0.0756,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577606,0.73355962,2.38,24483940,18059480,42339510,32487970,inf,inf,inf,inf,inf,inf
