Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.99400,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776239999999999,0.7335824799999999,2.38,15624670,9410496,17460390,13909490,inf,inf,inf,inf,inf,inf
1.99450,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577622,0.7335799399999999,2.38,14614620,9316747,17526010,13939090,inf,inf,inf,inf,inf,inf
1.99500,1,0.0753,0.236,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776199999999999,0.7335773999999999,2.38,14127000,9321617,17533090,13937710,inf,inf,inf,inf,inf,inf
1.99550,1,0.0754,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577618,0.7335748599999999,2.38,14020170,9327581,17540220,13932940,inf,inf,inf,inf,inf,inf
1.99600,1,0.0754,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.5776159999999999,0.7335723199999999,2.38,14212730,9327648,17515280,13898820,inf,inf,inf,inf,inf,inf
1.99650,1,0.0755,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577614,0.73356978,2.38,14673470,9309938,17454180,13835960,inf,inf,inf,inf,inf,inf
1.99700,1,0.0755,0.235,0.187,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577612,0.7335672400000001,2.38,15285340,9281382,17364730,13750560,inf,inf,inf,inf,inf,inf
1.99750,1,0.0755,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.57761,0.7335647,2.38,15828370,9238559,17234430,13640300,inf,inf,inf,inf,inf,inf
1.99800,1,0.0756,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577608,0.7335621600000001,2.38,16228040,9180686,17095350,13524260,inf,inf,inf,inf,inf,inf
1.99850,1,0.0756,0.235,0.186,5.595,5.712,0.9883,0.00985,255.77,55.58,0.577606,0.73355962,2.38,16390770,9133261,16949940,13403310,inf,inf,inf,inf,inf,inf
1.99900,1,0.0756,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577604,0.73355708,2.38,16288300,9075854,16771750,13265520,inf,inf,inf,inf,inf,inf
1.99950,1,0.0757,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577602,0.73355454,2.38,15898710,9020661,16617470,13132960,inf,inf,inf,inf,inf,inf
2.00000,1,0.0757,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.5776,0.733552,2.38,15235560,8977798,16530250,13075270,inf,inf,inf,inf,inf,inf
2.00050,1,0.0757,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577598,0.73354946,2.38,14450470,8925470,16342130,12931480,inf,inf,inf,inf,inf,inf
2.00100,1,0.0758,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577596,0.73354692,2.38,13905630,8879093,16246260,12852070,inf,inf,inf,inf,inf,inf
2.00150,1,0.0758,0.234,0.186,5.595,5.712,0.9883,0.00986,255.77,55.58,0.5775939999999999,0.7335443799999999,2.38,13696390,8837840,16179620,12811690,inf,inf,inf,inf,inf,inf
2.00200,1,0.0758,0.233,0.185,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577592,0.73354184,2.38,13747970,8802333,16147710,12782790,inf,inf,inf,inf,inf,inf
2.00250,1,0.0759,0.233,0.185,5.595,5.712,0.9883,0.00986,255.77,55.58,0.5775899999999999,0.7335392999999999,2.38,13868860,8747683,16140410,12792230,inf,inf,inf,inf,inf,inf
2.00300,1,0.0759,0.233,0.185,5.595,5.712,0.9883,0.00986,255.77,55.58,0.577588,0.73353676,2.38,14012320,8698523,16166530,12819300,inf,inf,inf,inf,inf,inf
2.00350,1,0.0760,0.233,0.185,5.594,5.712,0.9883,0.00986,255.77,55.58,0.5775859999999999,0.7335342199999999,2.38,14167230,8645306,16219730,12874210,inf,inf,inf,inf,inf,inf
2.00400,1,0.0760,0.233,0.185,5.594,5.712,0.9883,0.00986,255.77,55.58,0.577584,0.73353168,2.38,14243400,8596353,16312100,12955120,inf,inf,inf,inf,inf,inf
