Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0456,0.582,0.435,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796239999999999,0.7361224799999999,1.45,163579,138568.9,96654.17,80681.72,57.99,52.87,5478.98,4995.20,25.17,22.21
1.49450,1,0.0456,0.582,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579622,0.73611994,1.45,163123.1,138222,97516.15,81275.77,58.10,52.38,5489.71,4949.44,25.24,21.93
1.49500,1,0.0456,0.581,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796199999999999,0.7361173999999999,1.45,162866,137999.9,98241.65,81835.46,58.08,52.21,5488.08,4932.68,25.23,21.82
1.49550,1,0.0457,0.581,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579618,0.7361148599999999,1.45,162743,137734.5,98955.28,82286.32,57.77,51.78,5458.63,4892.69,25.05,21.58
1.49600,1,0.0457,0.580,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796159999999999,0.7361123199999999,1.45,162401.7,137616.3,99434.04,82701.17,58.24,51.84,5502.52,4898.11,25.32,21.61
1.49650,1,0.0457,0.579,0.433,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579614,0.7361097799999999,1.45,162187.7,137466.9,99864.86,83066.25,58.32,51.86,5510.38,4900.01,25.37,21.62
1.49700,1,0.0458,0.579,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.5796119999999999,0.7361072399999999,1.45,162105,137363,100255.5,83351.28,inf,51.83,inf,4897.12,inf,21.61
1.49750,1,0.0458,0.578,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.57961,0.7361047,1.45,161986.2,137313,100461.7,83510.27,58.49,51.78,5526.73,4892.33,25.47,21.58
1.49800,1,0.0458,0.578,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579608,0.7361021600000001,1.45,162007.7,137348.7,100688.8,83693.35,58.55,51.76,5531.88,4890.82,25.50,21.57
1.49850,1,0.0459,0.577,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579606,0.73609962,1.45,161980.9,137414.9,100962.5,83899.64,58.92,51.79,5566.93,4893.56,25.72,21.58
1.49900,1,0.0459,0.577,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579604,0.7360970800000001,1.45,162069.8,137515.7,101192.2,84112.69,58.99,51.87,5573.71,4901.20,25.76,21.63
1.49950,1,0.0459,0.576,0.430,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579602,0.73609454,1.45,162213.6,137668.1,101461.2,84327.11,59.08,51.84,5581.84,4898.04,25.81,21.61
1.50000,1,0.0460,0.576,0.430,6.483,6.553,0.9839,0.00983,248.14,38.34,0.5796,0.736092,1.45,163610.9,138384.3,102325,85075.93,57.90,52.06,5471.12,4919.14,25.13,21.74
1.50050,1,0.0460,0.575,0.429,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579598,0.73608946,1.45,162888.9,138279.6,102177.7,84914.59,59.31,51.92,5604.12,4905.82,25.95,21.66
1.50100,1,0.0460,0.575,0.429,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579596,0.73608692,1.45,163326.9,138709,102610,85314.04,59.48,52.07,5619.56,4919.54,26.04,21.75
1.50150,1,0.0460,0.574,0.429,6.483,6.553,0.9839,0.00984,248.14,38.34,0.5795939999999999,0.73608438,1.45,163948,139129.3,103097.2,85783.77,59.17,52.30,5590.45,4941.16,25.86,21.88
1.50200,1,0.0461,0.574,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579592,0.73608184,1.45,164463.8,139630,103661.5,86379.33,59.48,52.87,5619.71,4995.63,26.04,22.21
1.50250,1,0.0461,0.573,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795899999999999,0.7360792999999999,1.45,165318.9,140329.1,104391.8,87054.89,59.40,53.11,5612.06,5018.33,25.99,22.35
1.50300,1,0.0461,0.573,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579588,0.73607676,1.45,166021.3,141134.6,105258.2,87957.71,59.98,53.78,5667.66,5081.04,26.34,22.74
1.50350,1,0.0462,0.572,0.427,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795859999999999,0.7360742199999999,1.45,166941,141986.6,106214.1,88944.84,60.31,54.59,5698.57,5158.37,26.53,23.21
1.50400,1,0.0462,0.572,0.427,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579584,0.73607168,1.45,167850.2,143009.4,107378.1,90063.44,61.02,55.14,5765.87,5209.55,26.94,23.53
1.50450,1,0.0462,0.571,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795819999999999,0.7360691399999999,1.45,169128.6,144034.2,108789.3,91439.21,60.84,55.86,5748.50,5278.33,26.83,23.95
1.50500,1,0.0463,0.570,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.57958,0.7360666,1.45,170458.1,145244.8,110385,92951.43,61.19,56.63,5781.25,5350.82,27.03,24.39
1.50550,1,0.0463,0.570,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795779999999999,0.7360640599999999,1.45,171805.6,146389.9,112191.2,94743.56,61.18,57.68,5780.43,5449.59,27.03,25.00
1.50600,1,0.0463,0.569,0.425,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579576,0.73606152,1.45,173241.3,147741.2,114331.9,96784.63,61.54,58.58,5814.48,5535.38,27.24,25.53
1.50650,1,0.0463,0.569,0.425,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795739999999999,0.7360589799999999,1.45,174768.8,148936.6,116552,99011.12,61.24,59.95,5786.17,5664.78,27.06,26.32
1.50700,1,0.0464,0.568,0.424,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579572,0.73605644,1.45,176104.8,150336.1,119026.1,101568.8,62.10,61.93,5867.40,5851.38,27.56,27.47
