Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0456,0.582,0.435,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796239999999999,0.7361224799999999,1.45,154994,151476.1,192662.5,186155.7,450.66,299.43,42580.44,28291.66,252.77,165.12
1.49450,1,0.0456,0.582,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579622,0.73611994,1.45,154932.8,151449.3,192033.4,185585.1,455.07,301.25,42997.43,28463.54,255.33,166.17
1.49500,1,0.0456,0.581,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796199999999999,0.7361173999999999,1.45,154967,151607.9,191479.8,185059.4,472.37,301.67,44632.21,28503.53,265.36,166.42
1.49550,1,0.0457,0.581,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579618,0.7361148599999999,1.45,155125.4,151773.6,191277,184905.7,474.99,304.43,44879.41,28764.13,266.88,168.02
1.49600,1,0.0457,0.580,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796159999999999,0.7361123199999999,1.45,155271.2,151867.1,191102.9,184675.5,467.94,301.37,44212.89,28474.85,262.79,166.24
1.49650,1,0.0457,0.579,0.433,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579614,0.7361097799999999,1.45,155279.8,151990.2,190778.2,184554,484.57,310.97,45784.52,29382.32,272.43,171.81
1.49700,1,0.0458,0.579,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.5796119999999999,0.7361072399999999,1.45,155577.6,152113.3,190732.1,184433.4,461.54,307.79,43608.91,29081.19,259.08,169.96
1.49750,1,0.0458,0.578,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.57961,0.7361047,1.45,155753.6,152333.4,190652.6,184388.1,468.13,309.36,44230.91,29229.99,262.90,170.87
1.49800,1,0.0458,0.578,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579608,0.7361021600000001,1.45,155825.2,152429.1,190277.7,184168,471.79,316.85,44577.01,29937.66,265.02,175.22
1.49850,1,0.0459,0.577,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579606,0.73609962,1.45,155941.1,152682.5,190128.3,183988.6,493.53,315.64,46630.97,29823.60,277.62,174.52
1.49900,1,0.0459,0.577,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579604,0.7360970800000001,1.45,155977.1,152784.2,189844.8,183586.4,504.02,308.98,47622.20,29193.99,283.70,170.65
1.49950,1,0.0459,0.576,0.430,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579602,0.73609454,1.45,156097.6,152976.8,189348.7,183177.8,516.31,312.66,48783.83,29542.05,290.82,172.79
1.50000,1,0.0460,0.576,0.430,6.483,6.553,0.9839,0.00983,248.14,38.34,0.5796,0.736092,1.45,162771.4,158278.2,191580.8,188719.7,371.84,696.26,35132.88,65785.86,207.08,395.12
1.50050,1,0.0460,0.575,0.429,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579598,0.73608946,1.45,156109.7,152958.6,188210.5,181910.8,512.39,304.81,48412.78,28799.63,288.55,168.23
1.50100,1,0.0460,0.575,0.429,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579596,0.73608692,1.45,156107.4,152901.5,187456.8,181123.1,503.44,301.86,47567.48,28521.00,283.36,166.52
1.50150,1,0.0460,0.574,0.429,6.483,6.553,0.9839,0.00984,248.14,38.34,0.5795939999999999,0.73608438,1.45,156074.7,152877.8,186517,180191,504.73,inf,47689.48,inf,284.11,inf
1.50200,1,0.0461,0.574,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579592,0.73608184,1.45,155847.3,152776.8,185499.6,179179.1,526.34,299.88,49730.95,28334.42,296.63,165.38
1.50250,1,0.0461,0.573,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795899999999999,0.7360792999999999,1.45,155884.1,152646,184538.2,178184,498.62,296.61,47112.11,28024.97,280.56,163.48
1.50300,1,0.0461,0.573,0.428,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579588,0.73607676,1.45,155562.6,152384.5,183414.3,177211.9,507.16,302.21,47919.31,28554.23,285.51,166.73
1.50350,1,0.0462,0.572,0.427,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795859999999999,0.7360742199999999,1.45,155359.3,152153.1,182279.6,176229.8,503.03,308.77,47528.68,29174.53,283.12,170.53
1.50400,1,0.0462,0.572,0.427,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579584,0.73607168,1.45,155126.7,152058.2,181196.7,175290.1,525.27,314.57,49630.57,29722.50,296.01,173.89
1.50450,1,0.0462,0.571,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795819999999999,0.7360691399999999,1.45,154824.1,151798.8,180067.8,174248.8,531.87,317.41,50253.39,29990.72,299.83,175.54
1.50500,1,0.0463,0.570,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.57958,0.7360666,1.45,154570.6,151629.4,179133.7,173296.4,547.58,315.33,51738.00,29793.97,308.94,174.33
1.50550,1,0.0463,0.570,0.426,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795779999999999,0.7360640599999999,1.45,154343.7,151511.4,178327.5,172437.8,568.19,310.98,53685.48,29382.59,320.88,171.81
1.50600,1,0.0463,0.569,0.425,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579576,0.73606152,1.45,154133.2,151336,177447.1,171742,574.65,319.74,54296.21,30210.93,324.63,176.89
1.50650,1,0.0463,0.569,0.425,6.482,6.553,0.9839,0.00984,248.14,38.34,0.5795739999999999,0.7360589799999999,1.45,153980.4,151136.8,176762.1,170973.7,564.53,313.73,53339.94,29642.96,318.76,173.40
1.50700,1,0.0464,0.568,0.424,6.482,6.553,0.9839,0.00984,248.14,38.34,0.579572,0.73605644,1.45,153847.8,150993.4,176305.9,170506.2,563.06,312.93,53200.81,29567.17,317.91,172.94
