Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0456,0.582,0.435,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796239999999999,0.7361224799999999,1.45,211987.2,181245.7,282325.9,250129.9,61.71,81.31,5830.32,7682.69,27.33,38.69
1.49450,1,0.0456,0.582,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579622,0.73611994,1.45,214730,184976.1,281930.7,252631.3,65.07,90.25,6148.41,8527.46,29.28,43.88
1.49500,1,0.0456,0.581,0.434,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796199999999999,0.7361173999999999,1.45,217644.7,187227.4,281787.6,249448.1,64.42,80.73,6086.93,7627.75,28.90,38.36
1.49550,1,0.0457,0.581,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.579618,0.7361148599999999,1.45,220944.7,190522.6,282330.8,250140.1,65.69,81.51,6207.06,7701.62,29.64,38.81
1.49600,1,0.0457,0.580,0.433,6.483,6.553,0.9839,0.00983,248.13,38.34,0.5796159999999999,0.7361123199999999,1.45,224444.2,194131.9,283682.1,251015.7,67.17,80.60,6346.96,7615.30,30.50,38.28
1.49650,1,0.0457,0.579,0.433,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579614,0.7361097799999999,1.45,228122.1,197120,284964.2,250999.7,66.68,77.51,6300.66,7323.09,30.22,36.49
1.49700,1,0.0458,0.579,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.5796119999999999,0.7361072399999999,1.45,231877,200977.5,287155.9,254249.4,68.37,81.22,6459.81,7673.65,31.19,38.64
1.49750,1,0.0458,0.578,0.432,6.483,6.553,0.9839,0.00983,248.14,38.34,0.57961,0.7361047,1.45,235796.1,204924.1,289469.8,257402.7,69.77,84.37,6591.90,7971.42,32.00,40.46
1.49800,1,0.0458,0.578,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579608,0.7361021600000001,1.45,239356.8,207474.3,291251.8,255733.9,68.40,75.68,6463.02,7150.96,31.21,35.43
1.49850,1,0.0459,0.577,0.431,6.483,6.553,0.9839,0.00983,248.14,38.34,0.579606,0.73609962,1.45,242884.2,210718.4,293169.7,256868.9,69.00,74.53,6519.65,7042.25,31.56,34.77
