Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0464,0.879,0.437,7.523,7.618,0.9781,0.01074,247.39,31.92,0.5796239999999999,0.7361224799999999,1.15,2.206801e+08,1.881522e+08,2.016019e+08,1.691081e+08,62.94,56.62,5946.43,5350.16,27.27,23.62
1.49450,1,0.0465,0.878,0.437,7.523,7.618,0.9781,0.01074,247.39,31.92,0.579622,0.73611994,1.15,2.233589e+08,1.908276e+08,2.020356e+08,1.69479e+08,63.95,56.75,6042.27,5362.13,27.86,23.69
1.49500,1,0.0465,0.877,0.436,7.523,7.618,0.9781,0.01074,247.39,31.92,0.5796199999999999,0.7361173999999999,1.15,2.26315e+08,1.93781e+08,2.025614e+08,1.700285e+08,64.93,56.98,6135.27,5383.43,28.43,23.82
1.49550,1,0.0465,0.877,0.436,7.523,7.618,0.9781,0.01074,247.40,31.92,0.579618,0.7361148599999999,1.15,2.296055e+08,1.970865e+08,2.031026e+08,1.705984e+08,66.07,57.22,6242.81,5406.25,29.09,23.96
1.49600,1,0.0466,0.876,0.436,7.522,7.618,0.9781,0.01074,247.40,31.92,0.5796159999999999,0.7361123199999999,1.15,2.331092e+08,2.003942e+08,2.035433e+08,1.71242e+08,66.91,57.91,6321.99,5471.50,29.58,24.36
1.49650,1,0.0466,0.875,0.435,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579614,0.7361097799999999,1.15,2.366799e+08,2.040818e+08,2.041685e+08,1.718307e+08,68.39,58.04,6461.42,5484.11,30.43,24.44
1.49700,1,0.0466,0.874,0.435,7.522,7.618,0.9781,0.01074,247.40,31.92,0.5796119999999999,0.7361072399999999,1.15,2.403484e+08,2.078979e+08,2.045702e+08,1.722927e+08,69.97,58.30,6611.57,5508.62,31.36,24.59
1.49750,1,0.0466,0.873,0.434,7.523,7.618,0.9781,0.01074,247.40,31.92,0.57961,0.7361047,1.15,2.44377e+08,2.118138e+08,2.049006e+08,1.729081e+08,71.05,59.03,6712.79,5577.55,31.98,25.01
1.49800,1,0.0467,0.873,0.434,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579608,0.7361021600000001,1.15,2.484816e+08,2.160225e+08,2.053179e+08,1.734305e+08,72.84,59.53,6882.28,5624.40,33.02,25.30
1.49850,1,0.0467,0.872,0.434,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579606,0.73609962,1.15,2.526238e+08,2.202636e+08,2.054327e+08,1.738623e+08,74.49,60.27,7038.20,5694.50,33.97,25.73
1.49900,1,0.0467,0.871,0.433,7.522,7.618,0.9781,0.01075,247.40,31.92,0.579604,0.7360970800000001,1.15,2.565822e+08,2.242504e+08,2.056541e+08,1.742534e+08,75.90,60.73,7171.88,5738.15,34.79,26.00
1.49950,1,0.0468,0.870,0.433,7.522,7.619,0.9781,0.01075,247.40,31.92,0.579602,0.73609454,1.15,2.60097e+08,2.279743e+08,2.056817e+08,1.745139e+08,77.82,61.40,7352.85,5801.04,35.90,26.38
1.50000,1,0.0468,0.869,0.433,7.522,7.619,0.9781,0.01075,247.40,31.92,0.5796,0.736092,1.15,2.814345e+08,2.541786e+08,2.128727e+08,1.871756e+08,102.25,79.86,9660.98,7545.84,50.06,37.09
1.50050,1,0.0468,0.869,0.432,7.522,7.619,0.9781,0.01075,247.40,31.92,0.579598,0.73608946,1.15,2.660745e+08,2.343092e+08,2.049727e+08,1.745527e+08,80.88,62.92,7642.20,5944.97,37.68,27.27
