Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0464,0.879,0.437,7.523,7.618,0.9781,0.01074,247.39,31.92,0.5796239999999999,0.7361224799999999,1.15,-3.305981e+08,-3.225001e+08,-1.211261e+09,-1.209432e+09,433.30,7194.62,40940.69,679783.81,241.95,4160.97
1.49450,1,0.0465,0.878,0.437,7.523,7.618,0.9781,0.01074,247.39,31.92,0.579622,0.73611994,1.15,-3.102358e+08,-3.038806e+08,-1.219333e+09,-1.22007e+09,521.28,-18047.40,49253.15,-1705208.63,292.94,-10469.88
1.49500,1,0.0465,0.877,0.436,7.523,7.618,0.9781,0.01074,247.39,31.92,0.5796199999999999,0.7361173999999999,1.15,-2.853897e+08,-2.787564e+08,-1.224029e+09,-1.222175e+09,458.13,7186.56,43286.80,679022.13,256.34,4156.27
1.49550,1,0.0465,0.877,0.436,7.523,7.618,0.9781,0.01074,247.40,31.92,0.579618,0.7361148599999999,1.15,-2.604661e+08,-2.534771e+08,-1.223153e+09,-1.219195e+09,395.39,3358.11,37358.03,317290.92,219.97,1937.22
1.49600,1,0.0466,0.876,0.436,7.522,7.618,0.9781,0.01074,247.40,31.92,0.5796159999999999,0.7361123199999999,1.15,-2.307151e+08,-2.231949e+08,-1.217322e+09,-1.213552e+09,324.20,3516.17,30631.67,332225.38,178.71,2028.82
1.49650,1,0.0466,0.875,0.435,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579614,0.7361097799999999,1.15,-1.99706e+08,-1.912702e+08,-1.207073e+09,-1.203788e+09,247.67,4002.83,23401.13,378207.73,134.35,2310.90
1.49700,1,0.0466,0.874,0.435,7.522,7.618,0.9781,0.01074,247.40,31.92,0.5796119999999999,0.7361072399999999,1.15,-1.668317e+08,-1.639617e+08,-1.192736e+09,-1.189892e+09,623.98,4569.74,58957.16,431771.49,352.47,2639.47
1.49750,1,0.0466,0.873,0.434,7.523,7.618,0.9781,0.01074,247.40,31.92,0.57961,0.7361047,1.15,-1.395286e+08,-1.329698e+08,-1.175358e+09,-1.1725e+09,221.43,4480.88,20922.07,423376.39,119.14,2587.96
1.49800,1,0.0467,0.873,0.434,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579608,0.7361021600000001,1.15,-1.086744e+08,-1.016972e+08,-1.157231e+09,-1.153325e+09,159.53,3231.66,15072.92,305343.77,83.26,1863.90
1.49850,1,0.0467,0.872,0.434,7.522,7.618,0.9781,0.01074,247.40,31.92,0.579606,0.73609962,1.15,-81836480,-73836660,-1.139626e+09,-1.135387e+09,inf,2931.21,inf,276955.76,inf,1689.75
1.49900,1,0.0467,0.871,0.433,7.522,7.618,0.9781,0.01075,247.40,31.92,0.579604,0.7360970800000001,1.15,-54174620,-43905920,-1.119462e+09,-1.11809e+09,inf,8918.46,inf,842660.35,inf,5159.97
1.49950,1,0.0468,0.870,0.433,7.522,7.619,0.9781,0.01075,247.40,31.92,0.579602,0.73609454,1.15,-31643100,-24170500,-1.104179e+09,-1.101614e+09,inf,4709.35,inf,444963.32,inf,2720.35
1.50000,1,0.0468,0.869,0.433,7.522,7.619,0.9781,0.01075,247.40,31.92,0.5796,0.736092,1.15,29332580,36832010,-1.059464e+09,-1.05838e+09,-10.96,10705.13,-1035.96,1011474.34,-15.56,6195.49
1.50050,1,0.0468,0.869,0.432,7.522,7.619,0.9781,0.01075,247.40,31.92,0.579598,0.73608946,1.15,5081887,12260320,-1.083597e+09,-1.080457e+09,-10.97,3773.09,-1036.05,356500.36,-15.56,2177.67
1.50100,1,0.0469,0.868,0.432,7.522,7.619,0.9781,0.01075,247.40,31.92,0.579596,0.73608692,1.15,16748760,22552300,-1.079185e+09,-1.077922e+09,-10.99,9376.78,-1038.08,885965.23,-15.57,5425.54
1.50150,1,0.0469,0.867,0.431,7.522,7.619,0.9781,0.01075,247.41,31.92,0.5795939999999999,0.73608438,1.15,25783470,32618950,-1.085194e+09,-1.079988e+09,-10.99,2279.21,-1038.08,215351.28,-15.57,1311.82
1.50200,1,0.0469,0.866,0.431,7.522,7.619,0.9781,0.01075,247.41,31.92,0.579592,0.73608184,1.15,25925170,34930710,-1.090279e+09,-1.08864e+09,-10.99,7296.85,-1037.99,689443.20,-15.57,4220.00
1.50250,1,0.0470,0.865,0.431,7.522,7.619,0.9781,0.01075,247.41,31.92,0.5795899999999999,0.7360792999999999,1.15,23738560,31557100,-1.104413e+09,-1.100958e+09,-11.01,3507.53,-1040.02,331409.41,-15.58,2023.73
1.50300,1,0.0470,0.865,0.430,7.522,7.619,0.9781,0.01075,247.41,31.92,0.579588,0.73607676,1.15,21435260,26062430,-1.122568e+09,-1.121586e+09,-11.01,12573.03,-1040.12,1187962.35,-15.58,7277.98
1.50350,1,0.0470,0.864,0.430,7.522,7.619,0.9781,0.01075,247.41,31.92,0.5795859999999999,0.7360742199999999,1.15,9193418,18114520,-1.146034e+09,-1.145712e+09,-11.01,39165.07,-1040.02,3700511.19,-15.58,22690.32
1.50400,1,0.0470,0.863,0.429,7.522,7.619,0.9781,0.01075,247.41,31.92,0.579584,0.73607168,1.15,-2531395,3853160,-1.173952e+09,-1.170568e+09,-5.50,3807.55,-520.01,359756.31,-12.39,2197.60
