Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796239999999999,0.7361224799999999,3.09,4.079561,3.712981,3.477298,3.138477,96.13,87.91,9083.01,8306.63,46.68,41.92
1.49450,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579622,0.73611994,3.09,4.163632,3.804056,3.523653,3.178573,100.41,87.42,9487.07,8260.16,49.16,41.63
1.49500,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796199999999999,0.7361173999999999,3.09,4.252881,3.888421,3.572483,3.216551,101.50,85.98,9590.44,8123.41,49.79,40.79
1.49550,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579618,0.7361148599999999,3.09,4.338309,3.974441,3.612859,3.253985,103.92,86.26,9818.55,8150.58,51.19,40.96
1.49600,1,0.0413,0.515,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796159999999999,0.7361123199999999,3.09,4.416264,4.055148,3.648078,3.284956,106.82,86.06,10093.21,8131.05,52.88,40.84
1.49650,1,0.0414,0.515,0.392,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579614,0.7361097799999999,3.09,4.490764,4.131208,3.677921,3.311744,109.56,86.24,10351.82,8148.39,54.46,40.94
1.49700,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.5796119999999999,0.7361072399999999,3.09,4.566857,4.204536,3.703903,3.337091,110.65,86.75,10455.16,8196.54,55.10,41.24
1.49750,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.57961,0.7361047,3.09,4.62915,4.267628,3.714736,3.346799,112.56,86.74,10635.50,8195.25,56.20,41.23
1.49800,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579608,0.7361021600000001,3.09,4.683862,4.313921,3.719044,3.348372,111.19,86.14,10506.21,8138.61,55.41,40.89
1.49850,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579606,0.73609962,3.09,4.719007,4.351566,3.711838,3.340799,113.20,86.06,10695.43,8131.51,56.57,40.84
1.49900,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579604,0.7360970800000001,3.09,4.743834,4.382265,3.695464,3.328593,115.85,86.72,10945.81,8193.85,58.11,41.22
1.49950,1,0.0415,0.512,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579602,0.73609454,3.09,4.763917,4.391252,3.667516,3.304658,112.62,87.04,10640.57,8224.03,56.23,41.41
