Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796239999999999,0.7361224799999999,3.09,2.726034,2.374438,2.060089,1.74245,64.10,52.06,6056.10,4919.29,28.11,21.14
1.49450,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579622,0.73611994,3.09,2.755338,2.404282,2.060767,1.745844,65.00,52.62,6141.65,4971.38,28.63,21.46
1.49500,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796199999999999,0.7361173999999999,3.09,2.789407,2.4372,2.063053,1.747249,65.83,52.64,6220.26,4973.39,29.12,21.47
1.49550,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579618,0.7361148599999999,3.09,2.823147,2.473844,2.066336,1.747217,67.38,52.09,6366.27,4921.63,30.01,21.15
1.49600,1,0.0413,0.515,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796159999999999,0.7361123199999999,3.09,2.857268,2.503199,2.065956,1.750678,67.25,52.82,6354.44,4990.94,29.94,21.58
1.49650,1,0.0414,0.515,0.392,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579614,0.7361097799999999,3.09,2.887438,2.529003,2.067775,1.753825,67.28,53.27,6356.90,5033.06,29.96,21.83
1.49700,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.5796119999999999,0.7361072399999999,3.09,2.913506,2.557664,2.0689,1.754466,68.54,53.21,6475.79,5027.15,30.69,21.80
1.49750,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.57961,0.7361047,3.09,2.940156,2.573003,2.06743,1.754997,66.82,53.56,6313.92,5060.88,29.69,22.01
1.49800,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579608,0.7361021600000001,3.09,2.961148,2.591824,2.066901,1.754011,66.92,53.45,6322.72,5050.64,29.75,21.94
1.49850,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579606,0.73609962,3.09,2.980984,2.609454,2.062052,1.752976,67.13,54.21,6343.02,5122.14,29.87,22.38
1.49900,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579604,0.7360970800000001,3.09,2.999132,2.627844,2.058441,1.752829,67.65,54.82,6391.89,5179.76,30.17,22.74
1.49950,1,0.0415,0.512,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579602,0.73609454,3.09,3.012417,2.640988,2.056811,1.752228,67.96,54.98,6420.75,5194.93,30.35,22.83
1.50000,1,0.0415,0.512,0.389,5.495,5.559,0.9885,0.01039,257.98,67.03,0.5796,0.736092,3.09,3.294851,2.91511,2.105571,1.79992,73.37,56.29,6932.79,5318.24,33.49,23.59
1.50050,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579598,0.73608946,3.09,3.037278,2.683708,2.053766,1.755851,72.71,56.46,6870.48,5334.85,33.11,23.69
1.50100,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579596,0.73608692,3.09,3.051136,2.70542,2.052632,1.755139,74.97,56.52,7083.41,5340.25,34.41,23.72
1.50150,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795939999999999,0.73608438,3.09,3.058934,2.716884,2.050106,1.753171,76.09,56.56,7189.66,5344.29,35.07,23.75
1.50200,1,0.0416,0.510,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579592,0.73608184,3.09,3.055922,2.724645,2.041066,1.75046,78.79,57.70,7444.67,5452.23,36.63,24.41
1.50250,1,0.0417,0.510,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795899999999999,0.7360792999999999,3.09,3.054819,2.733974,2.032376,1.74709,81.83,58.81,7731.35,5556.37,38.39,25.05
1.50300,1,0.0417,0.509,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579588,0.73607676,3.09,3.052733,2.737748,2.019947,1.740556,83.45,59.82,7885.24,5651.80,39.33,25.63
1.50350,1,0.0417,0.509,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795859999999999,0.7360742199999999,3.09,3.042412,2.728712,2.006841,1.731932,83.53,60.50,7892.23,5716.08,39.38,26.03
1.50400,1,0.0418,0.509,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579584,0.73607168,3.09,3.020047,2.707974,1.98916,1.718753,83.52,61.18,7891.72,5780.68,39.37,26.42
1.50450,1,0.0418,0.508,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795819999999999,0.7360691399999999,3.09,3.002639,2.686569,1.9719,1.703706,81.81,61.14,7729.53,5776.75,38.38,26.40
1.50500,1,0.0418,0.508,0.386,5.495,5.559,0.9885,0.01040,257.99,67.03,0.57958,0.7360666,3.09,2.993221,2.680579,1.953143,1.692157,82.53,62.41,7797.67,5896.67,38.80,27.14
1.50550,1,0.0418,0.507,0.386,5.495,5.559,0.9885,0.01040,257.99,67.03,0.5795779999999999,0.7360640599999999,3.09,2.988298,2.685886,1.94132,1.682875,85.48,62.67,8076.57,5921.37,40.51,27.29
1.50600,1,0.0419,0.507,0.386,5.494,5.559,0.9885,0.01040,258.00,67.03,0.579576,0.73606152,3.09,2.986006,2.688315,1.931004,1.672973,87.12,62.55,8231.47,5909.90,41.46,27.22
1.50650,1,0.0419,0.506,0.385,5.494,5.559,0.9885,0.01040,258.00,67.03,0.5795739999999999,0.7360589799999999,3.09,2.9886,2.693648,1.922227,1.65902,88.10,60.81,8324.39,5745.36,42.03,26.21
1.50700,1,0.0419,0.506,0.385,5.495,5.559,0.9885,0.01040,258.00,67.03,0.579572,0.73605644,3.09,2.985723,2.694402,1.915329,1.65307,89.23,60.81,8430.51,5745.45,42.68,26.21
1.50750,1,0.0420,0.506,0.385,5.494,5.559,0.9885,0.01040,258.00,67.03,0.5795699999999999,0.7360538999999999,3.09,2.993062,2.700472,1.909518,1.650301,89.25,61.56,8432.68,5816.81,42.69,26.65
1.50800,1,0.0420,0.505,0.385,5.494,5.559,0.9884,0.01040,258.00,67.03,0.579568,0.7360513599999999,3.09,2.988727,2.69771,1.901069,1.644652,89.62,62.01,8467.86,5859.01,42.91,26.90
1.50850,1,0.0420,0.505,0.384,5.494,5.559,0.9884,0.01040,258.00,67.03,0.5795659999999999,0.7360488199999999,3.09,2.985015,2.691003,1.894702,1.640598,88.50,62.43,8361.63,5898.38,42.26,27.15
1.50900,1,0.0420,0.504,0.384,5.494,5.559,0.9884,0.01040,258.00,67.03,0.579564,0.7360462799999999,3.09,2.981323,2.6859,1.887686,1.636362,87.90,62.95,8305.06,5947.61,41.91,27.45
1.50950,1,0.0421,0.504,0.384,5.494,5.559,0.9884,0.01040,258.00,67.03,0.5795619999999999,0.73604374,3.09,2.981158,2.681279,1.884432,1.634982,86.65,63.52,8186.78,6001.32,41.18,27.78
1.51000,1,0.0421,0.504,0.383,5.494,5.559,0.9884,0.01040,258.00,67.03,0.57956,0.7360412,3.09,2.970914,2.666526,1.88176,1.631026,84.90,63.04,8021.95,5956.75,40.17,27.51
1.51050,1,0.0421,0.503,0.383,5.494,5.559,0.9884,0.01041,258.01,67.03,0.5795579999999999,0.7360386599999998,3.09,2.95713,2.648485,1.879343,1.625415,83.16,62.03,7856.97,5860.99,39.16,26.92
1.51100,1,0.0421,0.503,0.383,5.494,5.559,0.9884,0.01041,258.01,67.03,0.579556,0.73603612,3.09,2.947537,2.639816,1.87526,1.622008,83.13,62.07,7854.77,5864.31,39.15,26.94
1.51150,1,0.0422,0.502,0.382,5.494,5.559,0.9884,0.01041,258.01,67.03,0.579554,0.7360335800000001,3.09,2.930535,2.631534,1.876067,1.618993,85.49,61.17,8077.39,5779.91,40.51,26.42
1.51200,1,0.0422,0.502,0.382,5.494,5.559,0.9884,0.01041,258.01,67.03,0.579552,0.73603104,3.09,2.912061,2.623354,1.876493,1.61911,88.26,61.10,8339.39,5773.39,42.12,26.38
1.51250,1,0.0422,0.502,0.382,5.494,5.559,0.9884,0.01041,258.01,67.03,0.57955,0.7360285,3.09,2.892014,2.610451,1.871962,1.619434,90.06,62.29,8508.92,5885.57,43.16,27.07
1.51300,1,0.0423,0.501,0.382,5.494,5.559,0.9884,0.01041,258.01,67.03,0.579548,0.73602596,3.09,2.861428,2.601291,1.86533,1.622623,97.35,65.08,9197.97,6149.51,47.39,28.69
1.51350,1,0.0423,0.501,0.381,5.494,5.559,0.9884,0.01041,258.01,67.03,0.579546,0.73602342,3.09,2.836921,2.589625,1.861357,1.626862,101.95,67.55,9633.18,6382.15,50.06,30.12
1.51400,1,0.0423,0.500,0.381,5.494,5.560,0.9884,0.01041,258.01,67.03,0.579544,0.73602088,3.09,2.808238,2.567185,1.855391,1.627278,103.68,69.45,9796.02,6561.71,51.06,31.22
1.51450,1,0.0423,0.500,0.381,5.520,5.560,0.9884,0.01041,258.01,67.03,0.579542,0.73601834,3.09,2.758738,2.513414,1.839482,1.612575,99.74,69.19,9423.87,6536.98,48.77,31.06
1.51500,1,0.0424,0.499,0.380,5.519,5.560,0.9884,0.01041,258.02,67.03,0.5795399999999999,0.7360157999999999,3.09,2.702708,2.447214,1.820608,1.598018,93.46,70.05,8830.99,6619.03,45.14,31.57
1.51550,1,0.0424,0.499,0.380,5.519,5.560,0.9884,0.01041,258.02,67.03,0.579538,0.73601326,3.09,2.647232,2.390788,1.794662,1.582695,90.97,72.86,8595.41,6884.10,43.69,33.19
