Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.524,0.396,5.574,5.638,0.9889,0.01082,258.17,68.72,0.5796239999999999,0.7361224799999999,3.20,2.761665,2.763268,2.8819,2.885289,-16374.16,-8087.00,-1547112.33,-764099.85,-9500.09,-4696.65
1.49450,1,0.0412,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579622,0.73611994,3.20,2.759762,2.759469,2.886828,2.892574,89450.27,-4781.26,8451709.02,-451757.63,51838.11,-2780.56
1.49500,1,0.0413,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796199999999999,0.7361173999999999,3.20,2.76069,2.764255,2.893361,2.900457,-7382.12,-3891.49,-697499.63,-367686.97,-4288.06,-2264.82
1.49550,1,0.0413,0.523,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579618,0.7361148599999999,3.20,2.761261,2.763178,2.90226,2.908049,-13724.45,-4783.07,-1296754.54,-451927.94,-7964.17,-2781.58
1.49600,1,0.0413,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796159999999999,0.7361123199999999,3.20,2.767512,2.768065,2.905135,2.912772,-47655.57,-3631.17,-4502736.83,-343090.83,-27631.17,-2113.92
1.49650,1,0.0414,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579614,0.7361097799999999,3.20,2.772501,2.770633,2.913291,2.917218,14154.71,-7089.36,1337407.76,-669837.86,8195.03,-4118.32
1.49700,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796119999999999,0.7361072399999999,3.20,2.782951,2.78285,2.919517,2.924479,262946.42,-5624.59,24844492.61,-531439.04,152397.67,-3269.31
1.49750,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.57961,0.7361047,3.20,2.789949,2.792792,2.923827,2.934757,-9374.77,-2562.42,-885775.04,-242110.54,-5442.94,-1494.44
1.49800,1,0.0414,0.520,0.394,5.574,5.664,0.9889,0.01083,258.18,68.72,0.579608,0.7361021600000001,3.20,2.801628,2.80463,2.937089,2.942021,-8914.94,-5692.15,-842327.70,-537822.41,-5176.43,-3308.47
1.49850,1,0.0415,0.520,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579606,0.73609962,3.20,2.815642,2.8179,2.947963,2.956189,-11938.08,-3437.76,-1127969.03,-324817.21,-6928.64,-2001.81
1.49900,1,0.0415,0.520,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579604,0.7360970800000001,3.20,2.83241,2.835618,2.972161,2.976493,-8455.63,-6572.78,-798930.32,-621029.11,-4910.17,-3818.87
1.49950,1,0.0415,0.519,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579602,0.73609454,3.20,2.849343,2.850599,2.990314,2.998572,-21708.70,-3473.18,-2051146.23,-328163.09,-12591.66,-2022.32
1.50000,1,0.0415,0.519,0.393,5.599,5.664,0.9889,0.01083,258.19,68.72,0.5796,0.736092,3.20,2.878657,2.881499,3.046541,3.055273,-9697.99,-3346.75,-916314.45,-316217.89,-5630.21,-1949.03
1.50050,1,0.0416,0.518,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579598,0.73608946,3.20,2.885553,2.888185,3.051835,3.058658,-10521.02,-4298.08,-994078.63,-406103.90,-6107.22,-2500.41
1.50100,1,0.0416,0.518,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579596,0.73608692,3.20,2.898675,2.902237,3.082401,3.09173,-7811.92,-3177.50,-738109.13,-300225.85,-4537.01,-1850.92
1.50150,1,0.0416,0.517,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.5795939999999999,0.73608438,3.20,2.912318,2.915695,3.115654,3.129763,-8277.22,-2126.61,-782073.10,-200933.12,-4806.68,-1241.83
1.50200,1,0.0416,0.517,0.391,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579592,0.73608184,3.20,2.922007,2.926666,3.142794,3.158359,-6022.81,-1945.50,-569065.25,-183820.52,-3500.03,-1136.85
1.50250,1,0.0417,0.517,0.391,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795899999999999,0.7360792999999999,3.20,2.935004,2.935806,3.164662,3.182722,-35180.40,-1693.67,-3324020.08,-160026.39,-20399.46,-990.89
1.50300,1,0.0417,0.516,0.391,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579588,0.73607676,3.20,2.942305,2.944974,3.18732,3.211279,-10603.16,-1287.99,-1001839.97,-121695.58,-6154.72,-755.76
1.50350,1,0.0417,0.516,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795859999999999,0.7360742199999999,3.20,2.945179,2.944914,3.212359,3.237297,106800.81,-1247.58,10091074.12,-117877.68,61891.00,-732.33
1.50400,1,0.0418,0.515,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579584,0.73607168,3.20,2.946396,2.947954,3.230413,3.259663,-18225.63,-1073.44,-1722048.67,-101423.60,-10572.54,-631.40
1.50450,1,0.0418,0.515,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795819999999999,0.7360691399999999,3.20,2.941144,2.944657,3.248412,3.282354,-8073.95,-931.49,-762866.84,-88011.65,-4688.77,-549.13
1.50500,1,0.0418,0.515,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.57958,0.7360666,3.20,2.94295,2.945057,3.260849,3.291734,-13464.91,-1026.72,-1272232.33,-97009.53,-7813.25,-604.32
1.50550,1,0.0418,0.514,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795779999999999,0.7360640599999999,3.20,2.939565,2.938816,3.255593,3.286954,37793.74,-1009.56,3570941.63,-95388.47,21895.17,-594.37
1.50600,1,0.0419,0.514,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579576,0.73606152,3.20,2.918445,2.917935,3.243531,3.279761,55240.68,-874.03,5219415.86,-82582.94,32006.92,-515.82
1.50650,1,0.0419,0.513,0.388,5.599,5.664,0.9889,0.01084,258.21,68.72,0.5795739999999999,0.7360589799999999,3.20,2.897509,2.896375,3.235799,3.275569,24660.13,-795.22,2330012.22,-75135.92,14283.12,-470.14
1.50700,1,0.0419,0.513,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579572,0.73605644,3.20,2.877298,2.874352,3.243773,3.284155,9420.21,-785.22,890068.99,-74191.18,5450.44,-464.34
1.50750,1,0.0420,0.512,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795699999999999,0.7360538999999999,3.20,2.840773,2.84287,3.246688,3.28771,-13118.65,-775.55,-1239515.71,-73277.41,-7612.43,-458.73
1.50800,1,0.0420,0.512,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579568,0.7360513599999999,3.20,2.807234,2.807348,3.247435,3.288633,-238298.88,-772.45,-22515669.52,-72984.85,-138119.66,-456.94
1.50850,1,0.0420,0.512,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795659999999999,0.7360488199999999,3.20,2.777917,2.777237,3.256629,3.294953,39525.69,-832.06,3734585.21,-78617.05,22898.50,-491.48
1.50900,1,0.0420,0.511,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579564,0.7360462799999999,3.20,2.748906,2.750702,3.28996,3.325317,-14820.67,-910.10,-1400330.91,-85990.63,-8598.78,-536.71
1.50950,1,0.0421,0.511,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795619999999999,0.73604374,3.20,2.725352,2.726606,3.322097,3.355108,-21089.92,-985.82,-1992681.56,-93145.29,-12232.17,-580.60
1.51000,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01085,258.21,68.72,0.57956,0.7360412,3.20,2.699116,2.69788,3.345558,3.382057,21171.63,-898.77,2000401.68,-84920.59,12260.98,-530.14
1.51050,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01085,258.22,68.72,0.5795579999999999,0.7360386599999998,3.20,2.675305,2.679478,3.368878,3.403995,-6228.05,-940.20,-588457.18,-88835.09,-3618.77,-554.15
1.51100,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579556,0.73603612,3.20,2.654935,2.654569,3.38657,3.423585,70349.84,-897.13,6647004.69,-84764.97,40762.42,-529.18
1.51150,1,0.0422,0.509,0.385,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579554,0.7360335800000001,3.20,2.638165,2.638136,3.404425,3.438272,884436.31,-987.61,83565965.03,-93314.75,512569.35,-581.62
1.51200,1,0.0422,0.509,0.385,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579552,0.73603104,3.20,2.625829,2.621739,3.418294,3.455946,6232.09,-892.37,588838.77,-84315.84,3602.57,-526.43
1.51250,1,0.0422,0.508,0.385,5.599,5.664,0.9889,0.01086,258.22,68.72,0.57955,0.7360285,3.20,2.611359,2.609239,3.436095,3.474285,11964.67,-884.38,1130481.81,-83560.56,6924.88,-521.79
1.51300,1,0.0423,0.508,0.384,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579548,0.73602596,3.20,2.595038,2.594062,3.451926,3.4948,25900.77,-794.35,2447234.61,-75053.92,15001.49,-469.61
1.51350,1,0.0423,0.508,0.384,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579546,0.73602342,3.20,2.584607,2.583644,3.466401,3.510288,26145.00,-779.45,2470310.00,-73646.47,15142.98,-460.98
1.51400,1,0.0423,0.507,0.384,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579544,0.73602088,3.20,2.574122,2.574926,3.473824,3.517681,-31206.59,-781.55,-2948554.83,-73844.48,-18094.84,-462.19
1.51450,1,0.0423,0.507,0.384,5.599,5.664,0.9889,0.01086,258.23,68.72,0.579542,0.73601834,3.20,2.566909,2.563487,3.458537,3.506615,7299.43,-710.69,689686.33,-67149.41,4221.08,-421.12
1.51500,1,0.0424,0.506,0.383,5.599,5.664,0.9889,0.01086,258.23,68.72,0.5795399999999999,0.7360157999999999,3.20,2.557179,2.558345,3.454324,3.49984,-21429.44,-750.99,-2024760.33,-70957.31,-12428.46,-444.48
1.51550,1,0.0424,0.506,0.383,5.599,5.664,0.9889,0.01087,258.23,68.72,0.579538,0.73601326,3.20,2.552144,2.554499,3.440771,3.49025,-10594.12,-688.95,-1000985.74,-65095.16,-6148.94,-408.52
1.51600,1,0.0424,0.506,0.383,5.599,5.664,0.9889,0.01087,258.23,68.72,0.5795359999999999,0.7360107199999999,3.20,2.545066,2.545091,3.418668,3.463649,-994290.99,-752.06,-93945583.81,-71058.79,-576236.67,-445.10
1.51650,1,0.0425,0.505,0.382,5.598,5.664,0.9889,0.01087,258.23,68.72,0.579534,0.73600818,3.20,2.53576,2.537205,3.384064,3.43071,-17188.90,-720.00,-1624093.31,-68028.81,-9970.80,-426.51
1.51700,1,0.0425,0.505,0.382,5.598,5.664,0.9889,0.01087,258.23,68.72,0.5795319999999999,0.7360056399999999,3.20,2.526816,2.525302,3.363347,3.408731,16328.56,-735.28,1542803.85,-69472.55,9453.68,-435.36
1.51750,1,0.0425,0.504,0.382,5.598,5.664,0.9889,0.01087,258.23,68.72,0.57953,0.7360031,3.20,2.516598,2.517114,3.362385,3.417025,-47749.54,-612.14,-4511615.55,-57838.41,-27681.54,-364.00
1.51800,1,0.0425,0.504,0.381,5.598,5.664,0.9889,0.01087,258.23,68.72,0.5795279999999999,0.7360005599999999,3.20,2.50185,2.504005,3.372349,3.446762,-11374.92,-453.44,-1074759.23,-42843.58,-6601.33,-272.03
1.51850,1,0.0426,0.503,0.381,5.598,5.664,0.9889,0.01087,258.24,68.72,0.579526,0.73599802,3.20,2.485631,2.487611,3.399013,3.497791,-12326.54,-347.42,-1164673.36,-32826.19,-7152.80,-210.59
1.51900,1,0.0426,0.503,0.381,5.598,5.664,0.9889,0.01087,258.24,68.72,0.5795239999999999,0.7359954799999999,3.20,2.468971,2.469703,3.475228,3.637596,-33102.26,-219.81,-3127667.03,-20768.30,-19192.80,-136.63
1.51950,1,0.0426,0.503,0.381,5.598,5.664,0.9889,0.01087,258.24,68.72,0.579522,0.73599294,3.20,2.4511,2.450522,3.60802,3.843092,41596.31,-160.40,3930226.97,-15155.38,24096.73,-102.20
1.52000,1,0.0426,0.502,0.380,5.598,5.664,0.9889,0.01088,258.24,68.72,0.5795199999999999,0.7359903999999999,3.20,2.432499,2.432541,3.789114,4.08675,-568244.02,-134.72,-53690536.39,-12728.57,-329318.02,-87.31
1.52050,1,0.0427,0.502,0.380,5.598,5.664,0.9889,0.01088,258.24,68.72,0.579518,0.7359878599999999,3.20,2.41116,2.409111,3.981479,4.350188,11562.31,-116.03,1092464.53,-10962.68,6691.32,-76.48
1.52100,1,0.0427,0.501,0.380,5.598,5.664,0.9889,0.01088,258.24,68.72,0.5795159999999999,0.7359853199999999,3.20,2.393834,2.387175,4.273447,4.716662,3525.01,-104.64,333060.84,-9887.09,2033.56,-69.89
1.52150,1,0.0427,0.501,0.379,5.598,5.664,0.9889,0.01088,258.24,68.72,0.579514,0.73598278,3.20,2.368677,2.361838,4.575569,5.114044,3396.15,-93.40,320885.43,-8824.53,1958.87,-63.37
1.52200,1,0.0428,0.501,0.379,5.598,5.664,0.9889,0.01088,258.24,68.72,0.5795119999999999,0.73598024,3.20,2.341667,2.331596,4.944548,5.580905,2281.99,-86.44,215613.78,-8167.70,1313.20,-59.34
1.52250,1,0.0428,0.500,0.379,5.598,5.664,0.9889,0.01088,258.25,68.72,0.57951,0.7359777,3.20,2.304657,2.298642,5.348698,6.118674,3766.38,-78.32,355866.77,-7400.00,2173.41,-54.63
1.52300,1,0.0428,0.500,0.378,5.598,5.664,0.9889,0.01088,258.25,68.72,0.5795079999999999,0.7359751599999999,3.20,2.272586,2.267364,5.823402,6.777675,4279.74,-70.01,404371.16,-6614.60,2470.90,-49.81
1.52350,1,0.0428,0.499,0.378,5.598,5.664,0.9889,0.01088,258.25,68.72,0.579506,0.73597262,3.20,2.239182,2.235868,6.22976,7.322273,6649.40,-66.06,628268.65,-6241.24,3844.13,-47.52
1.52400,1,0.0429,0.499,0.378,5.598,5.664,0.9889,0.01088,258.25,68.72,0.5795039999999999,0.7359700799999999,3.20,2.209296,2.207657,6.427578,7.672477,13305.85,-60.88,1257203.19,-5752.47,7701.55,-44.52
1.52450,1,0.0429,0.499,0.378,5.598,5.664,0.9889,0.01089,258.25,68.72,0.579502,0.73596754,3.20,2.183094,2.184013,6.781272,8.135664,-23476.30,-59.34,-2218158.30,-5606.62,-13613.81,-43.63
1.52500,1,0.0429,0.498,0.377,5.598,5.664,0.9889,0.01089,258.25,68.72,0.5795,0.735965,3.20,2.161005,2.159072,7.131451,8.561244,11033.80,-59.15,1042528.90,-5588.77,6384.85,-43.52
