Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.524,0.396,5.574,5.638,0.9889,0.01082,258.17,68.72,0.5796239999999999,0.7361224799999999,3.20,2.181846,2.188866,2.717206,2.729101,-2961.77,-2179.34,-279842.98,-205914.78,-1725.95,-1272.43
1.49450,1,0.0412,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579622,0.73611994,3.20,2.186431,2.195886,2.687693,2.695079,-2205.83,-3465.66,-208417.84,-327452.89,-1287.78,-2018.01
1.49500,1,0.0413,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796199999999999,0.7361173999999999,3.20,2.190533,2.19668,2.650409,2.666314,-3402.25,-1596.03,-321461.52,-150800.59,-1981.25,-934.32
1.49550,1,0.0413,0.523,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579618,0.7361148599999999,3.20,2.18907,2.201435,2.658892,2.673277,-1695.20,-1769.47,-160170.59,-167188.01,-991.80,-1034.85
1.49600,1,0.0413,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796159999999999,0.7361123199999999,3.20,2.181298,2.194616,2.631964,2.645147,-1568.85,-1910.28,-148233.02,-180493.25,-918.56,-1116.46
1.49650,1,0.0414,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579614,0.7361097799999999,3.20,2.165637,2.181726,2.59882,2.615154,-1294.11,-1527.93,-122273.65,-144366.50,-759.32,-894.84
1.49700,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796119999999999,0.7361072399999999,3.20,2.157671,2.17319,2.610229,2.629544,-1336.39,-1299.23,-126268.69,-122757.33,-783.82,-762.28
1.49750,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.57961,0.7361047,3.20,2.140191,2.155637,2.601938,2.619043,-1331.86,-1461.23,-125840.75,-138064.26,-781.19,-856.18
1.49800,1,0.0414,0.520,0.394,5.574,5.664,0.9889,0.01083,258.18,68.72,0.579608,0.7361021600000001,3.20,2.111034,2.130352,2.553976,2.572031,-1052.31,-1359.35,-99427.24,-128438.40,-619.18,-797.15
1.49850,1,0.0415,0.520,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579606,0.73609962,3.20,2.091675,2.109873,2.553497,2.57404,-1109.09,-1198.63,-104792.01,-113252.28,-652.09,-703.99
