Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.524,0.396,5.574,5.638,0.9889,0.01082,258.17,68.72,0.5796239999999999,0.7361224799999999,3.20,1.608034,1.605362,1.954836,1.967876,5706.98,-1433.47,539223.59,-135441.73,3298.67,-840.11
1.49450,1,0.0412,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579622,0.73611994,3.20,1.617861,1.616642,1.983099,1.997014,12596.04,-1363.08,1190136.54,-128790.71,7291.71,-799.31
1.49500,1,0.0413,0.523,0.396,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796199999999999,0.7361173999999999,3.20,1.629544,1.628845,2.016205,2.031445,22185.29,-1269.06,2096177.21,-119907.27,12849.80,-744.81
1.49550,1,0.0413,0.523,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579618,0.7361148599999999,3.20,1.642002,1.63987,2.056723,2.067502,7323.70,-1826.31,691979.53,-172559.35,4235.71,-1067.80
1.49600,1,0.0413,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796159999999999,0.7361123199999999,3.20,1.653253,1.651828,2.08794,2.098913,11036.02,-1821.09,1042738.41,-172065.77,6387.42,-1064.77
1.49650,1,0.0414,0.522,0.395,5.574,5.638,0.9889,0.01082,258.18,68.72,0.579614,0.7361097799999999,3.20,1.665601,1.662966,2.113349,2.12277,6022.84,-2150.33,569068.38,-203173.77,3481.69,-1255.59
1.49700,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.5796119999999999,0.7361072399999999,3.20,1.676121,1.673249,2.143887,2.153587,5560.00,-2118.80,525336.83,-200194.62,3213.41,-1237.31
1.49750,1,0.0414,0.521,0.394,5.574,5.638,0.9889,0.01082,258.18,68.72,0.57961,0.7361047,3.20,1.687171,1.685776,2.165261,2.175596,11532.53,-2008.94,1089650.86,-189814.54,6675.14,-1173.63
1.49800,1,0.0414,0.520,0.394,5.574,5.664,0.9889,0.01083,258.18,68.72,0.579608,0.7361021600000001,3.20,1.697169,1.696554,2.194138,2.206343,26323.64,-1725.00,2487188.89,-162986.43,15248.13,-1009.08
1.49850,1,0.0415,0.520,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579606,0.73609962,3.20,1.707976,1.708005,2.222992,2.23372,-563409.04,-1991.79,-53233702.90,-188193.88,-326564.52,-1163.71
1.49900,1,0.0415,0.520,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579604,0.7360970800000001,3.20,1.718286,1.716749,2.266322,2.282007,10684.78,-1391.76,1009551.49,-131500.68,6183.68,-815.93
1.49950,1,0.0415,0.519,0.393,5.574,5.664,0.9889,0.01083,258.19,68.72,0.579602,0.73609454,3.20,1.727464,1.725796,2.310889,2.33436,9896.48,-951.31,935068.76,-89884.82,5726.76,-560.64
1.50000,1,0.0415,0.519,0.393,5.599,5.664,0.9889,0.01083,258.19,68.72,0.5796,0.736092,3.20,1.740365,1.739804,2.364604,2.390818,29663.66,-872.37,2802770.89,-82425.84,17183.80,-514.88
1.50050,1,0.0416,0.518,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579598,0.73608946,3.20,1.743869,1.741342,2.422371,2.45712,6606.90,-677.96,624252.73,-64056.86,3820.09,-402.20
1.50100,1,0.0416,0.518,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579596,0.73608692,3.20,1.749415,1.747168,2.488187,2.529203,7455.05,-591.22,704390.05,-55861.42,4311.66,-351.92
1.50150,1,0.0416,0.517,0.392,5.599,5.664,0.9889,0.01083,258.19,68.72,0.5795939999999999,0.73608438,3.20,1.757744,1.753968,2.553714,2.596058,4453.11,-587.75,420751.81,-55533.98,2571.74,-349.91
1.50200,1,0.0416,0.517,0.391,5.599,5.664,0.9889,0.01083,258.19,68.72,0.579592,0.73608184,3.20,1.761049,1.760326,2.587439,2.634775,23343.91,-533.67,2205649.11,-50423.57,13520.69,-318.56
1.50250,1,0.0417,0.517,0.391,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795899999999999,0.7360792999999999,3.20,1.76474,1.765742,2.616836,2.665979,-16935.86,-521.37,-1600184.94,-49261.28,-9825.11,-311.43
1.50300,1,0.0417,0.516,0.391,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579588,0.73607676,3.20,1.768985,1.76775,2.653907,2.700135,13754.87,-561.28,1299628.87,-53032.96,7962.90,-334.57
1.50350,1,0.0417,0.516,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795859999999999,0.7360742199999999,3.20,1.773011,1.774351,2.668483,2.715583,-12725.72,-554.10,-1202390.10,-52354.36,-7384.91,-330.40
1.50400,1,0.0418,0.515,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579584,0.73607168,3.20,1.77753,1.776831,2.679717,2.723518,24484.90,-598.93,2313455.34,-56589.83,14181.80,-356.38
1.50450,1,0.0418,0.515,0.390,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795819999999999,0.7360691399999999,3.20,1.782139,1.782389,2.685889,2.726947,-68673.91,-639.75,-6488654.62,-60446.49,-39811.42,-380.04
1.50500,1,0.0418,0.515,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.57958,0.7360666,3.20,1.787931,1.787007,2.708758,2.746206,18630.68,-706.45,1760319.67,-66748.54,10788.72,-418.69
1.50550,1,0.0418,0.514,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.5795779999999999,0.7360640599999999,3.20,1.793557,1.792411,2.717444,2.757513,15065.46,-662.89,1423459.63,-62632.72,8722.35,-393.45
1.50600,1,0.0419,0.514,0.389,5.599,5.664,0.9889,0.01084,258.20,68.72,0.579576,0.73606152,3.20,1.799388,1.798307,2.709145,2.751006,16061.71,-634.51,1517590.52,-59951.27,9299.73,-377.00
1.50650,1,0.0419,0.513,0.388,5.599,5.664,0.9889,0.01084,258.21,68.72,0.5795739999999999,0.7360589799999999,3.20,1.807275,1.805328,2.706311,2.74995,8952.49,-608.42,845875.86,-57486.58,5179.38,-361.88
1.50700,1,0.0419,0.513,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579572,0.73605644,3.20,1.815026,1.814798,2.69836,2.747111,76850.56,-544.06,7261225.24,-51405.45,44531.18,-324.57
1.50750,1,0.0420,0.512,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795699999999999,0.7360538999999999,3.20,1.826645,1.824047,2.707216,2.757735,6794.03,-528.24,641933.95,-49910.42,3928.36,-315.40
1.50800,1,0.0420,0.512,0.388,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579568,0.7360513599999999,3.20,1.837315,1.835958,2.717632,2.766485,13092.23,-547.98,1237018.97,-51776.24,7578.58,-326.85
1.50850,1,0.0420,0.512,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795659999999999,0.7360488199999999,3.20,1.850648,1.847558,2.733998,2.780326,5786.49,-580.80,546736.34,-54877.02,3344.40,-345.86
1.50900,1,0.0420,0.511,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.579564,0.7360462799999999,3.20,1.863999,1.862373,2.764719,2.809676,11083.49,-604.77,1047224.01,-57141.60,6414.34,-359.75
1.50950,1,0.0421,0.511,0.387,5.599,5.664,0.9889,0.01085,258.21,68.72,0.5795619999999999,0.73604374,3.20,1.880601,1.879221,2.809502,2.854994,13208.36,-608.72,1247992.06,-57515.28,7645.81,-362.04
1.51000,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01085,258.21,68.72,0.57956,0.7360412,3.20,1.898452,1.897083,2.838432,2.890696,13441.05,-536.48,1269977.24,-50688.90,7780.64,-320.17
1.51050,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01085,258.22,68.72,0.5795579999999999,0.7360386599999998,3.20,1.916281,1.91446,2.872846,2.929086,10197.33,-505.17,963494.86,-47730.93,5900.70,-302.02
1.51100,1,0.0421,0.510,0.386,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579556,0.73603612,3.20,1.937282,1.933839,2.911966,2.977311,5447.95,-441.94,514749.99,-41756.58,3148.14,-265.38
1.51150,1,0.0422,0.509,0.385,5.599,5.664,0.9889,0.01086,258.22,68.72,0.579554,0.7360335800000001,3.20,1.958618,1.953199,2.979943,3.048926,3504.25,-429.71,331098.79,-40600.84,2021.65,-258.29
