Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0428,0.552,0.338,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796239999999999,0.7361224799999999,1.77,1.325944,1.114442,0.9538176,0.810902,52.37,56.40,4948.65,5328.84,22.14,24.48
1.49450,1,0.0429,0.552,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579622,0.73611994,1.77,1.342094,1.131139,0.9639885,0.8192005,53.42,56.37,5047.83,5326.43,22.75,24.46
1.49500,1,0.0429,0.551,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796199999999999,0.7361173999999999,1.77,1.35981,1.147311,0.9752656,0.8288899,53.79,56.42,5082.29,5330.44,22.96,24.49
1.49550,1,0.0429,0.551,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579618,0.7361148599999999,1.77,1.378062,1.165845,0.987162,0.838702,54.73,56.28,5171.26,5317.82,23.51,24.41
1.49600,1,0.0430,0.550,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796159999999999,0.7361123199999999,1.77,1.397475,1.182948,0.9980991,0.8493961,55.06,57.03,5201.94,5388.55,23.70,24.84
1.49650,1,0.0430,0.550,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579614,0.7361097799999999,1.77,1.414575,1.198558,1.009554,0.8587601,55.40,56.87,5234.75,5372.95,23.90,24.75
1.49700,1,0.0430,0.549,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796119999999999,0.7361072399999999,1.77,1.432038,1.215161,1.020473,0.8686827,55.94,57.14,5285.69,5398.82,24.21,24.91
1.49750,1,0.0430,0.549,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.57961,0.7361047,1.77,1.451046,1.231713,1.030175,0.8772461,56.07,57.27,5297.69,5411.44,24.29,24.98
1.49800,1,0.0431,0.548,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579608,0.7361021600000001,1.77,1.46707,1.245683,1.039238,0.8861564,56.30,57.92,5319.62,5472.84,24.42,25.36
1.49850,1,0.0431,0.548,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579606,0.73609962,1.77,1.483722,1.261785,1.046994,0.8903845,56.89,56.89,5375.57,5375.62,24.76,24.77
1.49900,1,0.0431,0.547,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579604,0.7360970800000001,1.77,1.500988,1.276964,1.051918,0.8961551,57.04,57.57,5389.01,5439.32,24.85,25.16
1.49950,1,0.0432,0.547,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579602,0.73609454,1.77,1.516582,1.290584,1.054596,0.8978252,57.27,57.43,5411.18,5426.72,24.98,25.08
1.50000,1,0.0432,0.546,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796,0.736092,1.77,1.661667,1.339702,1.085178,0.906779,41.73,50.97,3942.85,4816.37,15.98,21.34
1.50050,1,0.0432,0.546,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579598,0.73608946,1.77,1.547837,1.319444,1.052487,0.8957589,57.94,57.32,5474.17,5415.70,25.37,25.01
1.50100,1,0.0432,0.545,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579596,0.73608692,1.77,1.564054,1.336786,1.048882,0.8918601,58.98,56.96,5573.02,5381.50,25.98,24.80
1.50150,1,0.0433,0.545,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795939999999999,0.73608438,1.77,1.583636,1.352741,1.043401,0.8864077,58.88,56.75,5563.53,5361.70,25.92,24.68
1.50200,1,0.0433,0.544,0.333,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579592,0.73608184,1.77,1.601485,1.370726,1.03645,0.8794863,59.70,56.31,5640.82,5320.84,26.39,24.43
1.50250,1,0.0433,0.544,0.333,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795899999999999,0.7360792999999999,1.77,1.620708,1.38748,1.029249,0.8725673,59.79,55.97,5649.32,5288.48,26.45,24.23
