Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0428,0.552,0.338,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796239999999999,0.7361224799999999,1.77,1.200476,1.061379,1.243017,1.075568,75.85,63.85,7166.32,6032.52,35.75,28.79
1.49450,1,0.0429,0.552,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579622,0.73611994,1.77,1.221759,1.082431,1.242904,1.082522,77.41,67.25,7313.76,6354.19,36.65,30.77
1.49500,1,0.0429,0.551,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796199999999999,0.7361173999999999,1.77,1.243513,1.104125,1.243153,1.087327,78.92,69.52,7456.38,6568.34,37.53,32.08
1.49550,1,0.0429,0.551,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579618,0.7361148599999999,1.77,1.266765,1.126593,1.249845,1.092136,80.07,68.99,7565.56,6518.62,38.20,31.78
1.49600,1,0.0430,0.550,0.337,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796159999999999,0.7361123199999999,1.77,1.288038,1.146942,1.255263,1.097659,81.16,69.54,7668.46,6570.25,38.83,32.09
1.49650,1,0.0430,0.550,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579614,0.7361097799999999,1.77,1.310055,1.168307,1.259269,1.10323,82.30,70.60,7776.15,6670.49,39.49,32.71
1.49700,1,0.0430,0.549,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796119999999999,0.7361072399999999,1.77,1.330159,1.189714,1.266909,1.10998,84.58,70.62,7991.30,6672.57,40.81,32.72
1.49750,1,0.0430,0.549,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.57961,0.7361047,1.77,1.34892,1.209828,1.274628,1.115329,86.84,69.91,8205.46,6604.98,42.12,32.31
1.49800,1,0.0431,0.548,0.336,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579608,0.7361021600000001,1.77,1.365645,1.227841,1.281494,1.121279,89.15,70.03,8423.75,6616.61,43.46,32.38
1.49850,1,0.0431,0.548,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579606,0.73609962,1.77,1.381726,1.243364,1.289476,1.127369,89.93,69.59,8496.70,6575.56,43.91,32.13
1.49900,1,0.0431,0.547,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579604,0.7360970800000001,1.77,1.395842,1.258765,1.291885,1.133832,91.88,71.78,8681.71,6782.21,45.05,33.39
1.49950,1,0.0432,0.547,0.335,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579602,0.73609454,1.77,1.409352,1.271741,1.297739,1.139679,92.68,72.31,8757.01,6832.36,45.51,33.70
1.50000,1,0.0432,0.546,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5796,0.736092,1.77,1.443364,1.316821,1.34443,1.158224,104.36,62.38,9860.50,5893.99,52.28,27.95
1.50050,1,0.0432,0.546,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579598,0.73608946,1.77,1.4266,1.29405,1.312966,1.154194,97.91,72.90,9250.85,6888.35,48.54,34.05
1.50100,1,0.0432,0.545,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579596,0.73608692,1.77,1.43509,1.302315,1.319463,1.159288,98.36,72.58,9293.23,6857.47,48.80,33.86
1.50150,1,0.0433,0.545,0.334,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795939999999999,0.73608438,1.77,1.438486,1.309261,1.32989,1.168077,101.83,72.55,9621.21,6855.01,50.81,33.84
1.50200,1,0.0433,0.544,0.333,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579592,0.73608184,1.77,1.440428,1.309493,1.33612,1.175088,100.52,73.34,9497.24,6929.60,50.05,34.30
1.50250,1,0.0433,0.544,0.333,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795899999999999,0.7360792999999999,1.77,1.43829,1.306792,1.3451,1.182032,99.88,72.85,9437.08,6883.52,49.68,34.02
1.50300,1,0.0434,0.543,0.333,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579588,0.73607676,1.77,1.430461,1.300977,1.349878,1.188862,101.20,74.37,9561.84,7026.68,50.45,34.89
1.50350,1,0.0434,0.543,0.332,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795859999999999,0.7360742199999999,1.77,1.418622,1.289677,1.356686,1.195742,100.75,74.84,9519.35,7071.21,50.19,35.17
1.50400,1,0.0434,0.542,0.332,6.065,6.106,0.9880,0.00958,255.02,44.64,0.579584,0.73607168,1.77,1.403488,1.274401,1.363581,1.203048,99.44,75.48,9395.32,7131.92,49.42,35.54
1.50450,1,0.0434,0.542,0.332,6.065,6.106,0.9880,0.00958,255.02,44.64,0.5795819999999999,0.7360691399999999,1.77,1.383929,1.257247,1.372191,1.208849,99.96,74.54,9444.82,7043.07,49.73,35.00
1.50500,1,0.0435,0.541,0.332,6.064,6.106,0.9880,0.00958,255.02,44.64,0.57958,0.7360666,1.77,1.359993,1.233665,1.377282,1.21635,98.57,76.29,9313.68,7208.41,48.92,36.01
1.50550,1,0.0435,0.541,0.331,6.064,6.106,0.9880,0.00958,255.02,44.64,0.5795779999999999,0.7360640599999999,1.77,1.333019,1.207838,1.38554,1.221502,97.40,75.17,9203.16,7102.58,48.25,35.36
1.50600,1,0.0435,0.541,0.331,6.064,6.106,0.9880,0.00958,255.02,44.64,0.579576,0.73606152,1.77,1.305355,1.179962,1.395428,1.225418,94.99,72.76,8975.56,6875.06,46.85,33.96
1.50650,1,0.0436,0.540,0.331,6.064,6.106,0.9880,0.00958,255.02,44.64,0.5795739999999999,0.7360589799999999,1.77,1.274684,1.150805,1.39164,1.229401,93.98,76.66,8879.82,7243.33,46.26,36.22
1.50700,1,0.0436,0.540,0.330,6.064,6.106,0.9880,0.00958,255.02,44.64,0.579572,0.73605644,1.77,1.24474,1.121634,1.393502,1.233854,92.18,78.20,8709.94,7388.28,45.22,37.11
1.50750,1,0.0436,0.539,0.330,6.064,6.106,0.9880,0.00958,255.02,44.64,0.5795699999999999,0.7360538999999999,1.77,1.215453,1.093481,1.396953,1.237427,90.70,78.47,8569.42,7414.61,44.36,37.28
1.50800,1,0.0436,0.539,0.330,6.064,6.106,0.9880,0.00958,255.02,44.64,0.579568,0.7360513599999999,1.77,1.190134,1.0672,1.401954,1.239526,87.82,77.20,8298.01,7294.49,42.69,36.54
1.50850,1,0.0437,0.538,0.330,6.064,6.106,0.9880,0.00958,255.02,44.64,0.5795659999999999,0.7360488199999999,1.77,1.16567,1.042401,1.39997,1.241057,85.73,79.18,8100.52,7481.08,41.48,37.68
1.50900,1,0.0437,0.538,0.329,6.064,6.106,0.9880,0.00958,255.02,44.64,0.579564,0.7360462799999999,1.77,1.142619,1.020869,1.403106,1.242318,85.02,78.34,8032.96,7402.08,41.07,37.20
1.50950,1,0.0437,0.537,0.329,6.064,6.106,0.9880,0.00958,255.02,44.64,0.5795619999999999,0.73604374,1.77,1.124032,1.001637,1.401704,1.243313,82.97,79.58,7839.32,7519.38,39.88,37.92
1.51000,1,0.0438,0.537,0.329,6.064,6.106,0.9880,0.00958,255.03,44.64,0.57956,0.7360412,1.77,1.108265,0.9877506,1.400642,1.243437,83.28,80.37,7868.87,7593.84,40.06,38.37
1.51050,1,0.0438,0.536,0.329,6.064,6.106,0.9880,0.00958,255.03,44.64,0.5795579999999999,0.7360386599999998,1.77,1.094683,0.975548,1.398137,1.241209,83.20,80.36,7860.87,7592.87,40.01,38.37
1.51100,1,0.0438,0.536,0.328,6.064,6.106,0.9880,0.00958,255.03,44.64,0.579556,0.73603612,1.77,1.084546,0.96596,1.394963,1.238854,82.77,80.64,7820.42,7618.97,39.77,38.53
1.51150,1,0.0438,0.535,0.328,6.064,6.106,0.9880,0.00958,255.03,44.64,0.579554,0.7360335800000001,1.77,1.075435,0.9567859,1.389488,1.235461,81.93,81.49,7741.26,7700.05,39.28,39.03
1.51200,1,0.0439,0.535,0.328,6.064,6.106,0.9880,0.00958,255.03,44.64,0.579552,0.73603104,1.77,1.067387,0.9503723,1.384703,1.229913,82.70,80.91,7814.21,7644.75,39.73,38.69
1.51250,1,0.0439,0.534,0.327,6.064,6.106,0.9880,0.00958,255.03,44.64,0.57955,0.7360285,1.77,1.06306,0.9474391,1.37668,1.223449,83.44,81.30,7884.00,7681.94,40.16,38.92
1.51300,1,0.0439,0.534,0.327,6.064,6.106,0.9880,0.00958,255.03,44.64,0.579548,0.73602596,1.77,1.052468,0.9382634,1.364484,1.214454,83.66,82.43,7904.47,7788.15,40.28,39.57
1.51350,1,0.0440,0.534,0.327,6.064,6.106,0.9880,0.00958,255.03,44.64,0.579546,0.73602342,1.77,1.047378,0.933705,1.354125,1.205246,83.83,82.62,7920.49,7806.24,40.38,39.68
1.51400,1,0.0440,0.533,0.327,6.064,6.106,0.9880,0.00959,255.03,44.64,0.579544,0.73602088,1.77,1.042263,0.9296615,1.341922,1.194079,84.25,82.42,7960.45,7787.35,40.62,39.56
1.51450,1,0.0440,0.533,0.326,6.064,6.106,0.9880,0.00959,255.03,44.64,0.579542,0.73601834,1.77,1.036105,0.925513,1.327068,1.183344,85.41,84.03,8069.72,7939.29,41.30,40.50
1.51500,1,0.0440,0.532,0.326,6.064,6.106,0.9880,0.00959,255.03,44.64,0.5795399999999999,0.7360157999999999,1.77,1.03087,0.9213344,1.313013,1.172138,85.83,84.91,8109.97,8022.36,41.54,41.00
1.51550,1,0.0441,0.532,0.326,6.064,6.106,0.9880,0.00959,255.03,44.64,0.579538,0.73601326,1.77,1.026534,0.9175694,1.300214,1.158856,86.12,83.84,8137.23,7921.95,41.71,40.39
1.51600,1,0.0441,0.531,0.326,6.064,6.132,0.9880,0.00959,255.03,44.64,0.5795359999999999,0.7360107199999999,1.77,1.023066,0.9151134,1.288505,1.149225,86.69,84.38,8190.73,7972.55,42.01,40.67
1.51650,1,0.0441,0.531,0.325,6.064,6.132,0.9880,0.00959,255.03,44.64,0.579534,0.73600818,1.77,1.018904,0.9123137,1.275493,1.13919,87.54,85.48,8270.84,8076.33,42.50,41.31
1.51700,1,0.0442,0.530,0.325,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795319999999999,0.7360056399999999,1.77,1.015837,0.9102653,1.26556,1.130344,88.37,85.68,8349.59,8095.19,42.99,41.43
1.51750,1,0.0442,0.530,0.325,6.063,6.132,0.9880,0.00959,255.03,44.64,0.57953,0.7360031,1.77,1.010473,0.9068404,1.252382,1.120037,89.68,86.74,8473.82,8195.39,43.75,42.04
1.51800,1,0.0442,0.529,0.325,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795279999999999,0.7360005599999999,1.77,1.006982,0.9043578,1.243914,1.112058,90.31,86.43,8532.82,8166.39,44.11,41.86
1.51850,1,0.0442,0.529,0.324,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579526,0.73599802,1.77,1.00461,0.9020365,1.236917,1.106449,90.13,86.92,8515.96,8212.44,44.01,42.15
1.51900,1,0.0443,0.529,0.324,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795239999999999,0.7359954799999999,1.77,1.001969,0.9010749,1.230689,1.101057,91.74,87.25,8667.66,8243.36,44.94,42.33
1.51950,1,0.0443,0.528,0.324,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579522,0.73599294,1.77,0.9991589,0.8997342,1.225192,1.096448,92.94,87.47,8781.81,8264.67,45.64,42.47
1.52000,1,0.0443,0.528,0.323,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795199999999999,0.7359903999999999,1.77,1.005539,0.9068813,1.227415,1.101082,94.42,89.53,8921.26,8458.81,46.49,43.66
1.52050,1,0.0443,0.527,0.323,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579518,0.7359878599999999,1.77,0.9929043,0.8943488,1.217838,1.091553,93.20,88.78,8806.24,8387.98,45.79,43.22
1.52100,1,0.0444,0.527,0.323,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795159999999999,0.7359853199999999,1.77,0.9903793,0.8928868,1.215886,1.089441,94.27,88.69,8907.37,8379.65,46.41,43.17
1.52150,1,0.0444,0.526,0.323,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579514,0.73598278,1.77,0.9879435,0.8929971,1.215334,1.089774,96.80,89.33,9146.47,8440.48,47.87,43.54
1.52200,1,0.0444,0.526,0.322,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795119999999999,0.73598024,1.77,0.9881723,0.8911706,1.21525,1.089929,94.57,89.52,8935.23,8458.60,46.58,43.66
1.52250,1,0.0445,0.525,0.322,6.063,6.132,0.9880,0.00959,255.03,44.64,0.57951,0.7359777,1.77,0.9880957,0.8906891,1.217317,1.091974,94.32,89.86,8912.05,8490.86,46.44,43.85
1.52300,1,0.0445,0.525,0.322,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795079999999999,0.7359751599999999,1.77,0.9872939,0.8906013,1.220588,1.096127,95.01,90.85,8976.97,8583.56,46.83,44.42
1.52350,1,0.0445,0.524,0.322,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579506,0.73597262,1.77,0.9878383,0.8905198,1.225677,1.100774,94.38,90.90,8917.55,8588.61,46.47,44.45
1.52400,1,0.0445,0.524,0.321,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795039999999999,0.7359700799999999,1.77,0.9874044,0.8904376,1.23126,1.106975,94.72,91.87,8949.94,8680.78,46.67,45.02
1.52450,1,0.0446,0.524,0.321,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579502,0.73596754,1.77,0.9860533,0.8896808,1.237827,1.113901,95.44,92.92,9017.30,8779.70,47.08,45.63
1.52500,1,0.0446,0.523,0.321,6.063,6.132,0.9880,0.00959,255.03,44.64,0.5795,0.735965,1.77,0.9866978,0.8905137,1.249959,1.125698,95.70,93.64,9042.54,8847.90,47.24,46.04
1.52550,1,0.0446,0.523,0.321,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579498,0.73596246,1.77,0.9853468,0.8896656,1.257876,1.133233,96.11,93.98,9081.42,8879.83,47.48,46.24
1.52600,1,0.0447,0.522,0.320,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579496,0.73595992,1.77,0.9873379,0.9377206,1.341535,1.872919,195.79,-36.51,18498.96,-3449.99,105.24,-29.38
1.52650,1,0.0447,0.522,0.320,6.063,6.132,0.9880,0.00959,255.03,44.64,0.579494,0.73595738,1.77,1.01466,1.505397,2.226042,10.57959,-31.78,-13.12,-3002.68,-1239.67,-26.64,-15.83
1.52700,1,0.0447,0.521,0.320,6.063,6.132,0.9880,0.00959,255.04,44.64,0.579492,0.73595484,1.77,1.015211,1.420049,2.125358,8.839696,-36.33,-13.64,-3433.11,-1288.54,-29.28,-16.12
1.52750,1,0.0447,0.521,0.319,6.063,6.132,0.9880,0.00959,255.04,44.64,0.57949,0.7359522999999999,1.77,1.022173,1.752277,2.637718,10.77017,-24.86,-13.72,-2349.23,-1296.31,-22.63,-16.17
1.52800,1,0.0448,0.520,0.319,6.063,6.132,0.9880,0.00959,255.04,44.64,0.579488,0.73594976,1.77,1.010109,1.150993,1.436473,2.276696,-84.81,-28.13,-8013.60,-2657.83,-57.37,-24.52
1.52850,1,0.0448,0.520,0.319,6.063,6.132,0.9880,0.00959,255.04,44.64,0.579486,0.7359472199999999,1.77,1.01342,1.213001,1.545785,3.153433,-63.10,-20.36,-5961.54,-1924.02,-44.78,-20.02
1.52900,1,0.0448,0.520,0.319,6.063,6.132,0.9880,0.00959,255.04,44.64,0.579484,0.73594468,1.77,1.017206,1.359227,1.929816,6.193181,-41.26,-15.08,-3898.13,-1424.88,-32.13,-16.96
