AllTrace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,801
Sweep Time,24
Start Frequency,100000000
Stop Frequency,12000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,0
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,High
RF Coupling,AC
FFT Width,4010
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite
Detector,Normal,Normal,Normal,Normal,Normal,Normal
Trace Math,Off,Off,LogDifference,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBm
DATA
100000000,-65.0817184448242,-67.4130096435547,-65.0817184448242,-1000,-1000,-1000
114875000,-64.9700088500977,-67.2153167724609,-64.9700088500977,-1000,-1000,-1000
129750000,-64.6523208618164,-66.9480667114258,-64.6523208618164,-1000,-1000,-1000
144625000,-64.6913681030273,-66.837028503418,-64.6913681030273,-1000,-1000,-1000
159500000,-64.5342788696289,-66.5431747436523,-64.5342788696289,-1000,-1000,-1000
174375000,-63.4308547973633,-64.9720916748047,-63.4308547973633,-1000,-1000,-1000
189250000,-57.2786521911621,-59.6099472045898,-57.2786521911621,-1000,-1000,-1000
204125000,-63.1998023986816,-63.7819519042969,-63.1998023986816,-1000,-1000,-1000
219000000,-56.1943702697754,-56.1545181274414,-56.1943702697754,-1000,-1000,-1000
233875000,-56.0780410766602,-61.0748062133789,-56.0780410766602,-1000,-1000,-1000
248750000,-54.0067443847656,-50.8452377319336,-54.0067443847656,-1000,-1000,-1000
263625000,-48.4218330383301,-49.0421981811523,-48.4218330383301,-1000,-1000,-1000
278500000,-44.8839836120605,-47.6682739257813,-44.8839836120605,-1000,-1000,-1000
293375000,-42.4345741271973,-45.7109985351563,-42.4345741271973,-1000,-1000,-1000
308250000,-38.5970458984375,-41.9306182861328,-38.5970458984375,-1000,-1000,-1000
323125000,-28.4018478393555,-29.9783630371094,-28.4018478393555,-1000,-1000,-1000
338000000,-25.5445518493652,-23.263521194458,-25.5445518493652,-1000,-1000,-1000
352875000,-31.7735576629639,-33.3383140563965,-31.7735576629639,-1000,-1000,-1000
367750000,-39.2659912109375,-39.5572242736816,-39.2659912109375,-1000,-1000,-1000
382625000,-39.0184364318848,-43.3455963134766,-39.0184364318848,-1000,-1000,-1000
397500000,-39.0803031921387,-41.2809143066406,-39.0803031921387,-1000,-1000,-1000
412375000,-39.4354858398438,-42.7824668884277,-39.4354858398438,-1000,-1000,-1000
427250000,-37.5869026184082,-40.9390296936035,-37.5869026184082,-1000,-1000,-1000
442125000,-32.0649185180664,-35.781566619873,-32.0649185180664,-1000,-1000,-1000
457000000,-26.3807430267334,-25.9031810760498,-26.3807430267334,-1000,-1000,-1000
471875000,-27.609748840332,-29.1370239257813,-27.609748840332,-1000,-1000,-1000
486750000,-34.7210273742676,-39.6121063232422,-34.7210273742676,-1000,-1000,-1000
501625000,-38.4954109191895,-42.0583953857422,-38.4954109191895,-1000,-1000,-1000
516500000,-40.4396209716797,-43.0209541320801,-40.4396209716797,-1000,-1000,-1000
531375000,-39.7406997680664,-41.9955635070801,-39.7406997680664,-1000,-1000,-1000
546250000,-36.7923126220703,-40.1833877563477,-36.7923126220703,-1000,-1000,-1000
561125000,-30.1773281097412,-32.1676139831543,-30.1773281097412,-1000,-1000,-1000
576000000,-27.2360820770264,-27.9184284210205,-27.2360820770264,-1000,-1000,-1000
590875000,-31.5001430511475,-34.7038078308105,-31.5001430511475,-1000,-1000,-1000
605750000,-38.3441200256348,-41.6345062255859,-38.3441200256348,-1000,-1000,-1000
620625000,-40.7264060974121,-43.4665184020996,-40.7264060974121,-1000,-1000,-1000
635500000,-40.5990562438965,-42.7451477050781,-40.5990562438965,-1000,-1000,-1000
650375000,-39.2635345458984,-41.2369155883789,-39.2635345458984,-1000,-1000,-1000
665250000,-29.0053157806396,-29.7304058074951,-29.0053157806396,-1000,-1000,-1000
680125000,-37.5107650756836,-39.2085418701172,-37.5107650756836,-1000,-1000,-1000
695000000,-31.4052619934082,-31.7617835998535,-31.4052619934082,-1000,-1000,-1000
709875000,-41.8230400085449,-43.6148910522461,-41.8230400085449,-1000,-1000,-1000
