AllTrace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,801
Sweep Time,24
Start Frequency,100000000
Stop Frequency,12000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,0
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,High
RF Coupling,AC
FFT Width,4010
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite,Clearwrite
Detector,Normal,Normal,Normal,Normal,Normal,Normal
Trace Math,Off,Off,LogDifference,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBm
DATA
100000000,-64.6416931152344,-67.2058792114258,-64.6416931152344,-1000,-1000,-1000
114875000,-64.5143203735352,-66.9459609985352,-64.5143203735352,-1000,-1000,-1000
129750000,-64.2563323974609,-66.6727981567383,-64.2563323974609,-1000,-1000,-1000
144625000,-64.3577575683594,-66.6816253662109,-64.3577575683594,-1000,-1000,-1000
159500000,-64.2931365966797,-66.6581573486328,-64.2931365966797,-1000,-1000,-1000
174375000,-64.109130859375,-66.3790969848633,-64.109130859375,-1000,-1000,-1000
189250000,-59.3829231262207,-60.0061416625977,-59.3829231262207,-1000,-1000,-1000
204125000,-62.5446357727051,-63.5654525756836,-62.5446357727051,-1000,-1000,-1000
219000000,-57.6959838867188,-57.6180725097656,-57.6959838867188,-1000,-1000,-1000
233875000,-56.5277900695801,-61.5180244445801,-56.5277900695801,-1000,-1000,-1000
248750000,-53.3123474121094,-54.4325523376465,-53.3123474121094,-1000,-1000,-1000
263625000,-47.1041984558105,-50.2482528686523,-47.1041984558105,-1000,-1000,-1000
278500000,-44.546745300293,-46.5365676879883,-44.546745300293,-1000,-1000,-1000
293375000,-41.5556793212891,-44.2905502319336,-41.5556793212891,-1000,-1000,-1000
308250000,-38.0670585632324,-42.4700584411621,-38.0670585632324,-1000,-1000,-1000
323125000,-27.5846691131592,-29.659387588501,-27.5846691131592,-1000,-1000,-1000
338000000,-25.3697052001953,-24.5459690093994,-25.3697052001953,-1000,-1000,-1000
352875000,-32.9237937927246,-36.6690254211426,-32.9237937927246,-1000,-1000,-1000
367750000,-34.128059387207,-35.4008293151855,-34.128059387207,-1000,-1000,-1000
382625000,-38.3911666870117,-41.1008720397949,-38.3911666870117,-1000,-1000,-1000
397500000,-35.6960830688477,-37.5510559082031,-35.6960830688477,-1000,-1000,-1000
412375000,-38.6064949035645,-41.9712677001953,-38.6064949035645,-1000,-1000,-1000
427250000,-35.8267364501953,-39.4992065429688,-35.8267364501953,-1000,-1000,-1000
442125000,-31.1499214172363,-34.3263092041016,-31.1499214172363,-1000,-1000,-1000
457000000,-24.5359725952148,-21.7230339050293,-24.5359725952148,-1000,-1000,-1000
471875000,-25.071268081665,-23.8858089447021,-25.071268081665,-1000,-1000,-1000
486750000,-33.7979278564453,-38.98583984375,-33.7979278564453,-1000,-1000,-1000
501625000,-37.9000816345215,-41.7276268005371,-37.9000816345215,-1000,-1000,-1000
516500000,-39.5687026977539,-42.8142127990723,-39.5687026977539,-1000,-1000,-1000
531375000,-38.8951797485352,-41.0804290771484,-38.8951797485352,-1000,-1000,-1000
546250000,-37.3294906616211,-41.087532043457,-37.3294906616211,-1000,-1000,-1000
561125000,-31.0672645568848,-32.925178527832,-31.0672645568848,-1000,-1000,-1000
576000000,-25.7514228820801,-24.4846343994141,-25.7514228820801,-1000,-1000,-1000
590875000,-31.3097133636475,-34.799919128418,-31.3097133636475,-1000,-1000,-1000
605750000,-37.9883193969727,-42.0899963378906,-37.9883193969727,-1000,-1000,-1000
620625000,-41.4075927734375,-44.4205169677734,-41.4075927734375,-1000,-1000,-1000
635500000,-41.7881851196289,-44.2119979858398,-41.7881851196289,-1000,-1000,-1000
650375000,-40.3408279418945,-42.6882095336914,-40.3408279418945,-1000,-1000,-1000
665250000,-26.596061706543,-25.0861282348633,-26.596061706543,-1000,-1000,-1000
680125000,-33.9888038635254,-35.4888038635254,-33.9888038635254,-1000,-1000,-1000
695000000,-28.7916889190674,-29.0871276855469,-28.7916889190674,-1000,-1000,-1000
709875000,-40.5815811157227,-43.1457672119141,-40.5815811157227,-1000,-1000,-1000
