Trace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,656.175767597013
Start Frequency,300000000
Stop Frequency,6000000000
Average Count,1
Average Type,LogPower(Video)
RBW,100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
300000000,-93.0495166966091
305700000,-91.924418724824
311400000,-92.8296949413067
317100000,-92.2230461402084
322800000,-92.7091415238014
328500000,-92.4948810813889
334200000,-90.6266256325519
339900000,-92.3475828612359
345600000,-92.2147820440676
351300000,-92.6234173785987
357000000,-92.5656820954516
362700000,-92.7185741771385
368400000,-93.1738515078786
374100000,-92.9517474145292
379800000,-93.332073714545
385500000,-89.9388310466278
391200000,-91.9230819324648
396900000,-92.4130318828649
402600000,-92.9684431760281
408300000,-93.0328330222502
414000000,-94.0701038872407
419700000,-93.8970603839136
425400000,-94.6696349379294
431100000,-93.039386039366
436800000,-94.4059258632544
442500000,-94.1815953020938
448200000,-93.1690872232534
453900000,-94.7792546645735
459600000,-95.3159904589303
465300000,-95.8818703404152
471000000,-95.6473088394731
476700000,-96.1118855496732
482400000,-95.37840871113
488100000,-96.3445463499105
493800000,-96.4990138739702
499500000,-96.4934689070623
505200000,-96.2301241746257
510900000,-96.3953001667972
516600000,-96.8930890444415
522300000,-96.7744898244409
528000000,-95.1435682163091
533700000,-96.6465264713159
539400000,-95.5356402629899
545100000,-97.04381404505
550800000,-97.1313371204277
556500000,-96.4020702786691
562200000,-96.7106499106148
567900000,-96.7868497766377
573600000,-96.2210577759773
579300000,-95.5829249851921
585000000,-96.316825060505
590700000,-95.8713506270652
596400000,-95.1101197778005
602100000,-94.7891603710524
607800000,-94.8414804551968
613500000,-94.3931918466717
619200000,-94.7034013468568
624900000,-90.3140942611492
630600000,-93.0494650822291
636300000,-93.7592356054352
642000000,-93.7415998754423
647700000,-93.4518674365546
653400000,-93.7631805378505
659100000,-93.6602628507386
664800000,-93.1129059484738
670500000,-94.1972947437166
676200000,-94.3170963565515
681900000,-93.4019676698673
687600000,-94.5560477314001
693300000,-94.6660469342451
699000000,-94.6592304657942
704700000,-90.3056493115519
710400000,-93.6047912492699
716100000,-92.5119168522339
721800000,-84.8362503618915
727500000,-93.8981809147431
733200000,-94.001302681734
738900000,-92.9053681628582
744600000,-93.5631582907315
750300000,-94.22291558233
756000000,-93.9380614282194
761700000,-94.4621393835389
767400000,-95.0166736469472
773100000,-94.3284785566579
778800000,-94.1739247789426
784500000,-94.9787101346888
790200000,-94.5397256164595
795900000,-95.5909112224068
801600000,-95.9795759624986
807300000,-95.7355858338816
813000000,-96.1195368347483
818700000,-88.6355937601717
824400000,-96.510758715512
830100000,-96.5323336322025
835800000,-96.3912676417019
841500000,-96.9196036095956
847200000,-95.6160009282378
852900000,-96.6578143137265
858600000,-95.9684005924268
864300000,-95.6100026773606
870000000,-95.9549055751633
875700000,-95.6822783527232
881400000,-96.4060934054037
887100000,-94.8970813429029
892800000,-96.0690474335595
898500000,-96.0187576423442
904200000,-95.9616185248341
909900000,-94.8159576086412
915600000,-95.6497897645429
921300000,-94.3418942010181
927000000,-95.3791435879335
932700000,-94.7425399725733
938400000,-94.7393524161938
944100000,-95.0350219401819
949800000,-93.8890349622192
955500000,-94.3127568904086
961200000,-93.661342244614
966900000,-92.2068438326286
972600000,-93.6236643429266
978300000,-93.4427535909811
984000000,-93.8950582354557
989700000,-94.2389430701501
995400000,-93.5014778766074
1001100000,-94.1958994708548
1006800000,-94.42156690833
1012500000,-94.95082399868
1018200000,-94.4210852875787
1023900000,-94.1043556781034
1029600000,-95.3628352152911
1035300000,-95.0515908877024
1041000000,-95.2894679622302
1046700000,-96.4797913278868
1052400000,-95.3673320308535
1058100000,-93.7774894571522
1063800000,-96.1712600291454
1069500000,-96.1545771694732
1075200000,-95.3308714780468
1080900000,-96.6038874249755
1086600000,-96.5702242744594
1092300000,-96.5995622100449
1098000000,-97.2777630546565
1103700000,-89.7742770943156
1109400000,-97.6345837948684
1115100000,-97.8190880534302
1120800000,-98.0611662036845
1126500000,-97.3453782387403
1132200000,-97.7053650113141
1137900000,-97.9076037423879
1143600000,-98.2993113028522
1149300000,-97.998593880834
1155000000,-97.8722489699833
1160700000,-97.8208131054165
1166400000,-97.5497604183855
1172100000,-97.8130803687351
1177800000,-97.9886168842582
1183500000,-97.8480157320712
1189200000,-98.0117400922405
1194900000,-97.9838343050995
1200600000,-97.1609920833011
1206300000,-98.2034550018078
1212000000,-97.9733000836772
1217700000,-97.7615412560917
1223400000,-97.9402987037969
1229100000,-97.8074149070189
1234800000,-97.4146267653255
1240500000,-97.1898558205849
1246200000,-97.1265175022614
1251900000,-96.1589518411181
1257600000,-97.0826231650461
1263300000,-96.7945547389083
1269000000,-97.2065037036065
1274700000,-96.1941093095815
1280400000,-96.7791047394056
1286100000,-95.3054679517198
1291800000,-95.8896943441405
1297500000,-95.1110954886054
1303200000,-96.3641356694756
1308900000,-96.1801967162136
1314600000,-94.9970940286281
1320300000,-95.6310232976458
1326000000,-94.4637503955977
1331700000,-94.225568803516
1337400000,-95.2968347363371
1343100000,-94.4842963397081
1348800000,-95.195345178836
1354500000,-95.0415290722586
1360200000,-94.9191229966682
1365900000,-95.1903098346493
1371600000,-94.8437084487653
1377300000,-94.8902395321855
1383000000,-95.1381302210215
1388700000,-94.7398863935245
1394400000,-93.8242301927344
1400100000,-94.7245261662389
1405800000,-95.1261688235736
1411500000,-94.9868814156727
1417200000,-95.5870502798189
1422900000,-95.1911779342706
1428600000,-95.1953975094901
1434300000,-95.836766251056
1440000000,-94.4605917709459
1445700000,-95.7006263271845
1451400000,-96.0494041233433
1457100000,-96.1544013280602
1462800000,-96.8217240703378
1468500000,-96.5598013781414
1474200000,-96.7236837653469
1479900000,-95.8567871362624
1485600000,-97.237336289756
1491300000,-97.1702698906171
1497000000,-96.6529207047589
1502700000,-96.4609149982844
1508400000,-97.3078436782851
1514100000,-97.0317870623596
1519800000,-98.0395097933336
