Trace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,656.175767597013
Start Frequency,300000000
Stop Frequency,6000000000
Average Count,1
Average Type,LogPower(Video)
RBW,100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
300000000,-54.1488717780656
305700000,-69.7045049271129
311400000,-59.2231615112834
317100000,-80.696957147684
322800000,-58.7181425079502
328500000,-47.3846132438906
334200000,-79.7317113463334
339900000,-62.8693617446114
345600000,-81.696864852493
351300000,-56.2378651812968
357000000,-70.5180399002306
362700000,-55.1783430706901
368400000,-60.6992899806964
374100000,-64.3733390211934
379800000,-70.3072171784619
385500000,-74.0115210626758
391200000,-65.2184826426109
396900000,-75.5315012018062
402600000,-55.316506500792
408300000,-75.9513009243296
414000000,-82.5967899320713
419700000,-83.4161761445258
425400000,-76.0966004383125
431100000,-69.1765241406157
436800000,-87.2075939998883
442500000,-75.7092097056025
448200000,-61.7296043571551
453900000,-85.2280822551197
459600000,-69.6689827986654
465300000,-94.2053457788448
471000000,-57.559632344404
476700000,-76.7890022158995
482400000,-75.5246914821028
488100000,-75.1505868297797
493800000,-96.2286373156105
499500000,-63.143009047638
505200000,-94.0368268497281
510900000,-75.8352667964999
516600000,-95.9244154843678
522300000,-81.8116910326739
528000000,-90.5593449094172
533700000,-96.418094493189
539400000,-96.054403510354
545100000,-95.4199683631359
550800000,-73.6972714361675
556500000,-96.5742806670386
562200000,-87.7561414557975
567900000,-86.5823515175768
573600000,-77.8967867050335
579300000,-62.038777897331
585000000,-93.3303462759179
590700000,-60.7519821171167
596400000,-85.1578885704984
602100000,-61.7029611129602
607800000,-57.426147053314
613500000,-82.0449103981566
619200000,-75.9706114597072
624900000,-78.894772925814
630600000,-60.0326726765109
636300000,-86.5715915774807
642000000,-74.9799960606041
647700000,-77.1633577568037
653400000,-82.7206427006777
659100000,-62.4920410587181
664800000,-79.2699649332391
670500000,-54.1910275272712
676200000,-68.0054636011917
681900000,-58.6047642994015
687600000,-76.242189578714
693300000,-86.2831626640757
699000000,-59.9599373259934
704700000,-71.9756268078667
710400000,-66.7316440568574
716100000,-83.8666838589639
721800000,-64.2326014673887
727500000,-59.9495912398519
733200000,-80.0483815904396
738900000,-57.1481696570863
744600000,-81.8229889788737
750300000,-52.6371729332451
756000000,-86.8226924208544
761700000,-73.072846684196
767400000,-59.6793076683818
773100000,-69.8219494852001
778800000,-57.8843601789099
784500000,-88.208126367243
790200000,-64.1521867839764
795900000,-84.2007899925803
801600000,-61.6302131402671
807300000,-60.4264608758237
813000000,-73.1850359549436
818700000,-61.4341903732069
824400000,-87.4138438208765
830100000,-71.901136999077
835800000,-78.8939136242378
841500000,-70.7514834599351
847200000,-75.3484490944306
852900000,-85.2572781864285
858600000,-71.7715071477317
864300000,-79.0233720133431
870000000,-63.5782368161338
875700000,-54.1917202488498
881400000,-65.7967223636827
887100000,-91.4421126944765
892800000,-75.1277794357985
898500000,-60.4509055526933
904200000,-85.2862243652344
909900000,-66.3180905362778
915600000,-78.0118797019094
921300000,-80.5728492540767
927000000,-82.9739066856931
932700000,-74.147328915769
938400000,-54.3111872456848
944100000,-87.9966554262259
949800000,-77.7964886339362
955500000,-83.6295978740308
961200000,-66.1376674465728
966900000,-88.902049661136
972600000,-74.2917423081167
978300000,-54.1867807194267
984000000,-78.4695844648067
989700000,-69.8103951538655
995400000,-84.1301567786165
1001100000,-52.3645058362879
1006800000,-75.8260657874032
1012500000,-75.8845896651632
1018200000,-73.0960452332514
1023900000,-77.5944966260867
1029600000,-35.6721833281541
1035300000,-78.6623445779807
1041000000,-76.0584728165122
1046700000,-77.4281297973458
1052400000,-79.4507687684723
1058100000,-80.8036410010015
1063800000,-86.6216133983898
1069500000,-87.4219371254948
1075200000,-82.2434565103811
1080900000,-58.3911106545039
1086600000,-82.1080850961042
1092300000,-70.8777891458659
1098000000,-70.1112107898917
1103700000,-81.8502976356696
1109400000,-74.9070083944304
1115100000,-88.1462346791865
1120800000,-80.2352846972877
1126500000,-63.4919651971899
1132200000,-85.2067897902771
1137900000,-76.9210257620271
1143600000,-81.7356588824437
1149300000,-69.5791059486609
1155000000,-83.0118820306287
1160700000,-77.3915813411995
1166400000,-94.6149775847445
1172100000,-89.3262785615061
1177800000,-74.4301303303901
1183500000,-84.476707006746
1189200000,-88.260372277235
1194900000,-84.0491923409586
1200600000,-68.3153718730562
1206300000,-87.782874393647
1212000000,-88.9708046307379
1217700000,-79.0086194510889
1223400000,-89.2998642495357
1229100000,-92.852289508695
1234800000,-90.8067064686065
1240500000,-91.4221000910795
1246200000,-91.8714060193067
1251900000,-77.2404903626126
1257600000,-88.8277388070382
1263300000,-88.0727292066406
1269000000,-87.7178475189966
1274700000,-85.1606262022172
1280400000,-79.1727876878029
1286100000,-84.4166678509973
1291800000,-80.2510991665257
1297500000,-78.5326429376473
1303200000,-81.4191303038343
1308900000,-84.9678962634153
1314600000,-87.6106667023212
1320300000,-82.0611565753699
1326000000,-83.3285104469679
1331700000,-86.7001503491469
1337400000,-82.7622771627891
1343100000,-83.4525353233237
1348800000,-78.4914977615918
1354500000,-90.0548449412633
1360200000,-86.3077511458098
1365900000,-82.9492121247258
1371600000,-86.2367372783379
1377300000,-70.9297951669936
1383000000,-83.8398502598091
1388700000,-81.1667680982974
1394400000,-80.0802791872101
1400100000,-77.5709923180178
1405800000,-72.7211479563447
1411500000,-82.2011568616088
1417200000,-83.4612552527647
1422900000,-81.5674545943494
1428600000,-79.3558765919062
1434300000,-82.8669911502414
1440000000,-68.8499101673138
1445700000,-86.3660464955091
1451400000,-83.0349351886139
1457100000,-89.8041445691724
1462800000,-84.8009307868451
1468500000,-82.7305838051433
1474200000,-81.8415551482236
1479900000,-78.3486101402768
1485600000,-86.5876202332252
1491300000,-87.9023396404622
1497000000,-88.3884138880733
1502700000,-52.6610331520067
1508400000,-85.3887848255093
1514100000,-93.3921559805357
1519800000,-85.9511063342306
1525500000,-89.7042706630807
