Trace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,656.175767597013
Start Frequency,300000000
Stop Frequency,6000000000
Average Count,1
Average Type,LogPower(Video)
RBW,100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
300000000,-54.6783923300803
305700000,-76.8316824825721
311400000,-57.8800623635294
317100000,-80.0716242888042
322800000,-64.1031890735944
328500000,-47.5902600174069
334200000,-78.9922054637197
339900000,-62.5024928078253
345600000,-72.3615050932727
351300000,-60.0257846793707
357000000,-75.6132063443908
362700000,-56.2413708223505
368400000,-58.9145010396669
374100000,-62.1147373457354
379800000,-68.2197400081239
385500000,-74.2455542692022
391200000,-59.8617019965912
396900000,-78.9021607712059
402600000,-52.9141042497206
408300000,-68.4775086854447
414000000,-83.2949984255452
419700000,-70.8809559688826
425400000,-76.6238597001889
431100000,-74.5944592277857
436800000,-84.2531223763317
442500000,-73.9995668945133
448200000,-64.0052098267664
453900000,-89.8164863887458
459600000,-68.677351037303
465300000,-94.0068115141333
471000000,-62.1991734985684
476700000,-74.6042181658577
482400000,-72.3902709646813
488100000,-73.0793747375406
493800000,-93.2832171872371
499500000,-63.546210392171
505200000,-94.722354302898
510900000,-75.8719039669249
516600000,-95.3791014413894
522300000,-76.3632659912109
528000000,-78.8505849376493
533700000,-96.6182583770325
539400000,-73.4408093407655
545100000,-96.0393748553152
550800000,-77.2347203568766
556500000,-91.4896506863075
562200000,-72.7891165911482
567900000,-65.9302250958005
573600000,-70.8980081279893
579300000,-71.7446539098601
585000000,-95.9484152636586
590700000,-69.3413862676704
596400000,-92.9547317497425
602100000,-73.52165615664
607800000,-62.1932087767669
613500000,-90.6528103181409
619200000,-68.5625971072673
624900000,-75.3974606457316
630600000,-64.0305802940174
636300000,-88.7360746492244
642000000,-67.411469814651
647700000,-61.5530556538128
653400000,-84.8354108068827
659100000,-58.4648887113689
664800000,-72.2952452429537
670500000,-64.6385776977042
676200000,-60.6805612741518
681900000,-62.7576797441726
687600000,-67.4886481871376
693300000,-87.5332342844394
699000000,-62.6672746986015
704700000,-81.2441209861206
710400000,-68.5425382855306
716100000,-89.2807863430525
721800000,-59.4869377298503
727500000,-54.6426255227516
733200000,-89.5219588314548
738900000,-57.4669037003261
744600000,-77.5926588552789
750300000,-55.5339145052554
756000000,-87.1225473408566
761700000,-60.9582535580173
767400000,-53.8280375021081
773100000,-67.227728657958
778800000,-56.9416176324526
784500000,-86.6013165143566
790200000,-63.2004687499834
795900000,-85.2424632425124
801600000,-63.3473040403905
807300000,-65.7794314916373
813000000,-80.9303577799596
818700000,-64.3088953446089
824400000,-78.0600068780214
830100000,-68.8414843233373
835800000,-80.7601989656746
841500000,-73.3495197939092
847200000,-76.2471940446686
852900000,-85.0459968489702
858600000,-68.1926975142935
864300000,-88.9496165780813
870000000,-72.904341055765
875700000,-57.2095696900608
881400000,-69.1318096383736
887100000,-94.9024952836364
892800000,-62.650046342666
898500000,-56.9235868004441
904200000,-94.0477730886427
909900000,-64.0279446693011
915600000,-85.4936121920523
921300000,-60.4021372961656
927000000,-79.411083545639
932700000,-62.8848248386036
938400000,-59.8489625342974
944100000,-91.940089658034
949800000,-77.3009668466108
955500000,-91.2702373866011
961200000,-76.4447426400617
966900000,-91.2126053592698
972600000,-84.1489485558804
978300000,-64.0084699915707
984000000,-83.8497082903905
989700000,-79.9488063264105
995400000,-94.5436366055622
1001100000,-62.6750275605363
1006800000,-82.7797888214617
1012500000,-83.3398446155764
1018200000,-77.0232682930449
1023900000,-80.5821026339133
1029600000,-48.5171661796519
1035300000,-80.5241862596595
1041000000,-79.3768948784319
1046700000,-82.1982473862883
1052400000,-75.5567875372329
1058100000,-72.1593622190977
1063800000,-89.3253033532131
1069500000,-84.9371222698646
1075200000,-89.2871367915209
1080900000,-79.8268186505234
1086600000,-87.1229998304171
1092300000,-85.4373816722418
1098000000,-79.7858481295269
1103700000,-82.5598563838749
1109400000,-83.9550948432259
1115100000,-90.2176036008506
1120800000,-76.360753912336
1126500000,-60.1664350936601
1132200000,-80.5462537603835
1137900000,-84.7589968380653
1143600000,-84.0261598022979
1149300000,-77.8536123738728
1155000000,-90.0147767853499
1160700000,-90.176713832244
1166400000,-94.5413901710051
1172100000,-92.276866537309
1177800000,-78.8835554442461
1183500000,-87.5186488882904
1189200000,-90.126321958152
1194900000,-90.9978849686349
1200600000,-66.7638691507728
1206300000,-97.4961744570407
1212000000,-81.9520772544598
1217700000,-92.1189534553659
1223400000,-91.2970012677329
1229100000,-87.7245406719563
1234800000,-97.2495455306318
1240500000,-89.2992499984439
1246200000,-91.4082391018858
1251900000,-82.6817963002601
1257600000,-92.7353594564079
1263300000,-97.5213325304518
1269000000,-96.4912889933032
1274700000,-87.2036414065501
1280400000,-83.3715352052382
1286100000,-96.0393248016021
1291800000,-83.8897185174383
1297500000,-80.7837953983305
1303200000,-94.0381874176575
1308900000,-92.9807609797916
1314600000,-96.1659668297352
1320300000,-86.0774206359006
1326000000,-86.3971429448179
1331700000,-90.225769075063
1337400000,-95.6758218728223
1343100000,-90.2996147093405
1348800000,-86.1771071292006
1354500000,-95.6447779386957
1360200000,-95.5229571440011
1365900000,-95.053080754711
1371600000,-93.7098826488453
1377300000,-83.2716781392798
1383000000,-92.0422700119974
1388700000,-95.034859675802
1394400000,-89.7036486460195
1400100000,-93.4837587118083
1405800000,-76.6442042431975
1411500000,-95.2379828512202
1417200000,-95.1017893492558
1422900000,-85.7535040337224
1428600000,-95.4474430275186
1434300000,-90.7957805422925
1440000000,-73.5979022552673
1445700000,-93.8301701871616
1451400000,-86.40504164596
1457100000,-96.3185917685751
1462800000,-95.5642039251768
1468500000,-91.0941186387662
1474200000,-89.222359197442
1479900000,-83.3567303279712
1485600000,-95.8702956743526
1491300000,-95.1393624649645
1497000000,-97.0113450696091
1502700000,-59.9800563718379
1508400000,-87.7705342842132
1514100000,-97.6400988938159
1519800000,-97.3745585828656
1525500000,-94.0623785688132
