Trace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,656.175767597013
Start Frequency,300000000
Stop Frequency,6000000000
Average Count,1
Average Type,LogPower(Video)
RBW,100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
300000000,-38.402995260305
305700000,-59.0638464230204
311400000,-52.8490685697402
317100000,-64.8811944989101
322800000,-41.0065682233286
328500000,-54.1903026207635
334200000,-68.1335764551445
339900000,-48.6469389712858
345600000,-58.0643712302161
351300000,-41.8508801303804
357000000,-62.0399412876901
362700000,-52.5410526700406
368400000,-51.1688832761195
374100000,-50.9897451319225
379800000,-60.509683351674
385500000,-50.8544922505467
391200000,-45.5838180797409
396900000,-62.3290729655717
402600000,-44.0637236387005
408300000,-52.8347679469454
414000000,-69.0177219481221
419700000,-64.8473552811741
425400000,-60.1499105362865
431100000,-42.8036933759186
436800000,-73.9235715812458
442500000,-55.5937938662444
448200000,-38.047624847988
453900000,-71.3200829914328
459600000,-56.3347851067666
465300000,-76.0340120232653
471000000,-40.768781883429
476700000,-61.0010376187148
482400000,-60.2411217987179
488100000,-45.2625865857458
493800000,-71.6405428915111
499500000,-41.6300370927348
505200000,-70.5370542756043
510900000,-55.003461564175
516600000,-78.2659195533455
522300000,-52.8287573682611
528000000,-55.6657340366208
533700000,-82.9387376928232
539400000,-65.2833711712743
545100000,-78.5783694943275
550800000,-58.1945345388633
556500000,-79.132217300344
562200000,-53.2058321329182
567900000,-65.5325121930665
573600000,-46.9104199595902
579300000,-45.2770410610381
585000000,-76.1258863096358
590700000,-39.9111670814231
596400000,-67.7420157816484
602100000,-52.4636283629337
607800000,-43.700048296255
613500000,-66.8961657280996
619200000,-47.1782095273554
624900000,-45.4241785839048
630600000,-35.2361920982781
636300000,-63.5782159856255
642000000,-41.4031213584346
647700000,-50.2218255474267
653400000,-65.3485100511098
659100000,-39.6508935544214
664800000,-54.858796917869
670500000,-39.8714043693352
676200000,-43.9757308370899
681900000,-40.7304324879678
687600000,-39.2723857006174
693300000,-53.5716277986131
699000000,-38.4493793060638
704700000,-52.6933439236021
710400000,-37.5805387571287
716100000,-60.1615455464716
721800000,-49.6957308019277
727500000,-42.1128798062545
733200000,-60.6576396245014
738900000,-35.6254841937303
744600000,-59.9123336045635
750300000,-33.3558894031045
756000000,-64.6729529447249
761700000,-38.3958857763298
767400000,-37.8841546237586
773100000,-50.9692953371589
778800000,-51.3092449161148
784500000,-60.1777799299377
790200000,-44.3711998802347
795900000,-61.7559039553947
801600000,-46.0837543831383
807300000,-39.1467676770518
813000000,-62.9813101002293
818700000,-35.4207833675628
824400000,-61.3646598750295
830100000,-41.5762228084412
835800000,-63.0784750168297
841500000,-45.8331649843063
847200000,-48.6349946643473
852900000,-58.1906115540216
858600000,-46.4490107849085
864300000,-65.522187398908
870000000,-46.6455602429202
875700000,-36.6549084187422
881400000,-45.9959625725663
887100000,-64.5778086748661
892800000,-47.0380059896844
898500000,-48.3496931496379
904200000,-60.9632610922342
909900000,-49.434792428549
915600000,-59.9561441929124
921300000,-42.4213081351217
927000000,-63.3258315882094
932700000,-52.2412291148529
938400000,-53.8712759612979
944100000,-62.5793953139306
949800000,-53.8190385272538
955500000,-67.3511192352923
961200000,-55.3029143272929
966900000,-65.6965970232912
972600000,-54.5460327657359
978300000,-46.5995315091458
984000000,-64.7116540558033
989700000,-47.765311076578
995400000,-65.2302369565329
1001100000,-44.6314921757897
1006800000,-68.3835792277375
1012500000,-60.3240986947671
1018200000,-48.7490274401912
1023900000,-60.1163692322299
1029600000,-30.4917519964083
1035300000,-62.0723265376381
1041000000,-61.3220986125567
1046700000,-64.0151673844777
1052400000,-56.0578657103984
1058100000,-51.3369813606756
1063800000,-68.0973511380165
1069500000,-56.5098027957593
1075200000,-67.0329500914939
1080900000,-52.0733049913552
1086600000,-70.9233362874934
1092300000,-66.4797726832674
1098000000,-55.0388184219945
1103700000,-65.7618586582141
1109400000,-60.8841090134746
1115100000,-69.2044088511651
1120800000,-68.0836469245459
1126500000,-36.0990453206612
1132200000,-61.8908625731285
1137900000,-58.5913243388319
1143600000,-67.1214416613647
1149300000,-67.1574731407246
1155000000,-69.5925980746421
1160700000,-56.6753595926736
1166400000,-70.5738020887503
1172100000,-62.0100995032029
1177800000,-64.2950113806719
1183500000,-69.5136611110455
1189200000,-66.9001495419255
1194900000,-68.6179302891397
1200600000,-56.9138093844795
1206300000,-68.1915136710576
1212000000,-64.8928046390749
1217700000,-62.2966594528816
1223400000,-68.748248454649
1229100000,-66.3863449626726
1234800000,-72.8167329538374
1240500000,-63.9591881638047
1246200000,-65.5840129152321
1251900000,-63.2624270294567
1257600000,-57.1956987693408
1263300000,-70.7431126443204
1269000000,-66.9753555178484
1274700000,-63.1113175374405
1280400000,-60.4508898522162
1286100000,-68.8194282421414
1291800000,-61.3855711392017
1297500000,-66.7128365816966
1303200000,-69.7913209645129
1308900000,-69.8868160317927
1314600000,-69.5287021492153
1320300000,-64.8871614457725
1326000000,-67.6720305406788
1331700000,-70.7427539816632
1337400000,-65.7446349314862
1343100000,-66.2410117637648
1348800000,-46.144313428591
1354500000,-66.0361159896245
1360200000,-61.0112454882119
1365900000,-67.3564620125576
1371600000,-65.5404893380731
1377300000,-59.0387307551608
1383000000,-65.6659197036776
1388700000,-65.2404686577367
1394400000,-63.625026543472
1400100000,-63.9685746364658
1405800000,-58.5178999658602
1411500000,-65.6279174694004
1417200000,-63.853200067577
1422900000,-67.2710527519729
1428600000,-65.1684143884758
1434300000,-69.2482373013625
1440000000,-57.3966019749145
1445700000,-67.6966693320565
1451400000,-62.2156142515862
1457100000,-71.30807670076
1462800000,-61.0446262593199
1468500000,-67.2027956757235
1474200000,-69.1769320348916
1479900000,-67.4400616294155
1485600000,-69.9454695445167
1491300000,-62.309562340065
1497000000,-69.099517575739
1502700000,-54.0717243643954
1508400000,-65.9389925095982
1514100000,-70.3209582245705
1519800000,-69.1864835518611
1525500000,-69.7580342742008
