Trace
Swept SA
A.16.17,N9010A
526 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,656.175767597013
Start Frequency,300000000
Stop Frequency,6000000000
Average Count,1
Average Type,LogPower(Video)
RBW,100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
300000000,-39.1018473241162
305700000,-59.7691486368974
311400000,-52.1799324456472
317100000,-61.3430326914637
322800000,-40.5405971219951
328500000,-52.1646094473336
334200000,-67.3783496828869
339900000,-52.6483427395738
345600000,-58.9966852568865
351300000,-42.3489890397244
357000000,-63.4028676350068
362700000,-54.5425430443613
368400000,-54.9965821743888
374100000,-50.9545784488807
379800000,-62.4624237227711
385500000,-52.4174475625401
391200000,-48.9719911128767
396900000,-58.5424475357661
402600000,-44.3004073748171
408300000,-51.9409241398484
414000000,-68.172097925669
419700000,-65.0274171581448
425400000,-58.5717217327812
431100000,-45.2892394991934
436800000,-74.2511639564482
442500000,-55.6988246225894
448200000,-40.560230649148
453900000,-71.0910980128571
459600000,-56.4347338109744
465300000,-75.2194767574173
471000000,-41.5704747550498
476700000,-61.4598704375482
482400000,-59.9340136971975
488100000,-48.5863850703178
493800000,-72.9071913161606
499500000,-43.5751802053754
505200000,-70.0490809050738
510900000,-66.9652335123238
516600000,-77.8897199383267
522300000,-52.8609617836453
528000000,-54.5140134160171
533700000,-82.8239374068923
539400000,-65.9076436535659
545100000,-77.4200678751973
550800000,-56.1924552830443
556500000,-80.4927479117069
562200000,-55.4868795207963
567900000,-70.2724670374405
573600000,-47.5771348851325
579300000,-47.1607977498363
585000000,-74.5686669072055
590700000,-40.4643137124032
596400000,-67.7015644915692
602100000,-53.7688246816817
607800000,-44.4252922211869
613500000,-64.8222433705604
619200000,-47.7172962328933
624900000,-45.0105531679206
630600000,-36.7297693275149
636300000,-64.5668625635497
642000000,-41.5333323634767
647700000,-49.682914442877
653400000,-65.4301276869214
659100000,-39.5003508913737
664800000,-57.0626352676416
670500000,-41.851002244515
676200000,-45.0137010609419
681900000,-45.6321187241123
687600000,-41.8300382978696
693300000,-54.6782264709473
699000000,-34.1455561684221
704700000,-52.6228719494703
710400000,-37.3091647958826
716100000,-62.9245368830024
721800000,-45.8513772487176
727500000,-41.3512301380961
733200000,-62.5077194645392
738900000,-35.316783060943
744600000,-58.7617790177791
750300000,-34.8112649112734
756000000,-65.2143880396617
761700000,-40.9792267655917
767400000,-37.9911233791908
773100000,-51.4728012153496
778800000,-48.4678643613991
784500000,-59.0501220780669
790200000,-43.9414342291253
795900000,-61.8534706656277
801600000,-47.0535847056564
807300000,-39.3621281098282
813000000,-60.6140902148805
818700000,-35.3089628063905
824400000,-60.9831142594638
830100000,-42.7700220531343
835800000,-61.4894287329664
841500000,-48.2241484203353
847200000,-49.9888866421035
852900000,-59.2531713623849
858600000,-46.4844982561896
864300000,-65.1791655588652
870000000,-47.2438433466829
875700000,-36.9121143957859
881400000,-48.6300337266047
887100000,-66.0600452470823
892800000,-47.8200933714313
898500000,-46.7810639327383
904200000,-62.3681659701598
909900000,-47.9112159208869
915600000,-60.6250262782101
921300000,-41.3018497438938
927000000,-62.4593206306651
932700000,-51.2672369416222
938400000,-53.3370437630024
944100000,-62.7292031739145
949800000,-53.8998589360869
955500000,-67.2356013316753
961200000,-55.4064108830118
966900000,-65.0601184793931
972600000,-53.4721644149837
978300000,-47.6077276976174
984000000,-63.6115645635449
989700000,-47.7877222339969
995400000,-65.2106084658748
1001100000,-44.0338769926949
1006800000,-68.5084179278784
1012500000,-58.9841913932591
1018200000,-48.919477864674
1023900000,-58.2543470372997
1029600000,-29.5444447362965
1035300000,-61.5533956703796
1041000000,-59.9062406749541
1046700000,-64.9787732224081
1052400000,-56.5159287045138
1058100000,-51.5556176063121
1063800000,-69.3016473104043
1069500000,-55.8664761629253
1075200000,-67.4119590053168
1080900000,-52.6839281016657
1086600000,-69.3864616874019
1092300000,-65.4025045502704
1098000000,-56.0399254784675
1103700000,-64.7739035390868
1109400000,-62.2067326627231
1115100000,-69.4095929025581
1120800000,-68.11728212316
1126500000,-36.1911849188686
1132200000,-61.5366504407947
1137900000,-57.9055281458294
1143600000,-66.5613820300633
1149300000,-65.4374442734822
1155000000,-68.4730032212905
1160700000,-56.6619942975865
1166400000,-70.8316313343422
1172100000,-61.3065944946464
1177800000,-63.707133618253
1183500000,-69.8013176544348
1189200000,-65.3024737115409
1194900000,-67.1450327734449
1200600000,-56.3750018963505
1206300000,-68.0278587119621
1212000000,-61.8618957052963
1217700000,-65.08733217246
1223400000,-71.5567617289835
1229100000,-64.8773731568275
1234800000,-73.0311200269826
1240500000,-65.980861100632
1246200000,-65.5472735431113
1251900000,-62.6645164412967
1257600000,-58.4989075830295
1263300000,-72.9783143265458
1269000000,-68.1917726698416
1274700000,-64.5283722577508
1280400000,-59.9267561040812
1286100000,-70.0524155282633
1291800000,-61.4856608287037
1297500000,-65.3407059962126
1303200000,-69.6882208076428
1308900000,-69.561489239196
1314600000,-68.3267089615978
1320300000,-67.0479514470264
1326000000,-68.8186691765763
1331700000,-70.9119702112255
1337400000,-64.9837052478173
1343100000,-66.9440721668128
1348800000,-44.8638045025304
1354500000,-66.4934725130899
1360200000,-60.8868058224074
1365900000,-67.1766402898737
1371600000,-65.6420779941456
1377300000,-60.4334739955782
1383000000,-64.800932825203
1388700000,-64.8584695120708
1394400000,-62.8373739505345
1400100000,-63.4601509197778
1405800000,-59.2452198248508
1411500000,-65.8140229845951
1417200000,-62.8759805107978
1422900000,-66.8671639651138
1428600000,-65.3701362462128
1434300000,-68.6511208821709
1440000000,-57.7391938317299
1445700000,-68.0150888424751
1451400000,-62.0225728298568
1457100000,-70.9556066284518
1462800000,-61.7682128228647
1468500000,-66.4386197284192
1474200000,-67.9611527015248
1479900000,-66.1482474036633
1485600000,-69.7121304121686
1491300000,-62.154015147026
1497000000,-69.1299729831971
1502700000,-50.5766093933718
1508400000,-66.2499739017108
1514100000,-69.4175812106015
1519800000,-68.5656741085915
